mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
93,93,w93,3.521100498444613e10,187645.9564830698,true,true,53.31616892320054,6.428325377300659,-1.0,289,0.9999982861593574,65,1.0,true,0.0,0.0
94,94,w94,3.521100515901818e10,187645.9569482332,true,true,53.3161286621676,6.428320457519613,-0.9999968128872648,79,1.0,275,1.0,true,0.0,0.0
95,95,w95,3.525618755997332e10,187766.31103574816,true,true,53.566227002986565,5.762222040358232,-1.0,233,0.9999964428617554,241,1.0,true,0.0,0.0
96,96,w96,3.5475703763769745e10,188349.9502621908,true,true,82.41877336472682,6.830847402052199,-0.999999801177931,163,1.0,191,1.0,true,0.0,0.0
97,97,w97,3.547570392829364e10,188349.95069894136,true,true,82.41873216453286,6.830843909225495,-1.0,161,0.9999993994907455,193,1.0,true,0.0,0.0
98,98,w98,3.591385283901839e10,189509.5059331283,true,true,98.1715537904696,7.710734697275912,-1.0,206,0.9999996899474624,208,1.0,true,0.0,0.0
99,99,w99,3.612735319482469e10,190071.96846148747,true,true,74.10234126729767,7.615551648821567,-1.0,275,0.9999999164041946,289,1.0,true,0.0,0.0
100,100,w100,3.654637255712387e10,191171.05575144966,true,true,11.899326727272085,7.944780294137451,-1.0,90,0.999999791428581,270,1.0,true,0.0,0.0
101,101,w101,3.655401561367889e10,191191.04480513433,true,true,11.819926920851312,7.82427833757353,-1.0,258,0.9999997903395174,108,1.0,true,0.0,0.0
102,102,w102,3.678888042971442e10,191804.2763592992,true,true,74.33011374633105,6.71589961855609,-0.9999998735995707,233,1.0,121,1.0,true,0.0,0.0
103,103,w103,3.678888065859401e10,191804.276955948,true,true,74.33012617268355,6.71590035875052,-0.9999995346788703,241,1.0,113,1.0,true,0.0,0.0
104,104,w104,3.775999113205285e10,194319.30200588115,true,true,64.83463264676453,6.073697274102859,-1.0,116,0.9999998302222817,236,1.0,true,0.0,0.0
105,105,w105,3.7894998017755615e10,194666.37618694096,true,true,51.92894028668277,5.733471715657646,-1.0,241,0.9999999272589384,121,1.0,true,0.0,0.0
106,106,w106,3.8275373442821655e10,195640.9298761935,true,true,2406.522597569982,5.676986745772821,-1.0,260,0.999999207703403,80,1.0,true,0.0,0.0
107,107,w107,3.8461538437505165e10,196116.1350769109,true,true,4.943872937422461e8,5.364574020344924,-0.7327273450307411,95,1.0,96,1.0,true,0.0,0.0
108,108,w108,3.846153843784228e10,196116.1350777704,true,true,6.119969433828641e9,4.923346008542383,-0.8159378535985203,93,1.0,169,1.0,true,0.0,0.0
109,109,w109,3.850712291993608e10,196232.31874473704,true,true,2349.3673245285304,6.24330196107007,-1.0,258,0.9999999477264961,82,1.0,true,0.0,0.0
110,110,w110,3.8575714002119774e10,196407.0110818852,true,true,1331.4754267311714,5.655176860843232,-1.0,77,0.9999978044061335,277,1.0,true,0.0,0.0
111,111,w111,3.857571400429861e10,196407.01108743192,true,true,1331.475946619382,5.655178852734723,-1.0,259,0.9999991133659347,95,1.0,true,0.0,0.0
112,112,w112,3.858529195282714e10,196431.39248304264,true,true,59.034204467542516,7.962047932774011,-0.9369971565254228,147,1.0,177,1.0,true,0.0,0.0
113,113,w113,3.8893772458355125e10,197215.04115648766,true,true,3936.878288580454,4.717014911777937,-1.0,233,0.99999996616375,241,1.0,true,0.0,0.0
114,114,w114,3.910053993448837e10,197738.56461117638,true,true,1046.842065340953,6.61755312719083,-0.9999999591828674,95,1.0,109,1.0,true,0.0,0.0
115,115,w115,3.9121278130077324e10,197790.99607939014,true,true,70.17316311018064,6.543158215745615,-0.9999998797267826,289,1.0,65,1.0,true,0.0,0.0
116,116,w116,3.91212782100147e10,197790.99628146552,true,true,70.17317335172828,6.54315721609447,-0.9999997423926869,275,1.0,79,1.0,true,0.0,0.0
117,117,w117,3.917752875249068e10,197933.14212756458,true,true,5074.017136946789,7.700536882446827,-1.0,201,0.9999980980559371,89,1.0,true,0.0,0.0
118,118,w118,3.9232359986071434e10,198071.60317943466,true,true,513.3945742697555,5.106583161821531,-0.9999999592202626,289,1.0,65,1.0,true,0.0,0.0
119,119,w119,3.9232359989353424e10,198071.60318771953,true,true,513.3940844469411,5.1065820182745,-0.9999995659623586,275,1.0,79,1.0,true,0.0,0.0
120,120,w120,3.972347898257522e10,199307.4985608299,true,true,12.106353891726139,6.0874576415215955,-1.0,81,0.9999999654605702,273,1.0,true,0.0,0.0
121,121,w121,3.972347921670306e10,199307.4991481832,true,true,12.106353646388914,6.0874576977125825,-1.0,93,0.9999999590662503,261,1.0,true,0.0,0.0
122,122,w122,3.994412746492149e10,199860.2698510174,true,true,2929.2212558255596,7.187573751745846,-0.37668183895881685,247,1.0,129,1.0,true,0.0,0.0
123,123,w123,3.9961056265308105e10,199902.61695462646,true,true,1205.6116278186898,5.970171697192618,-0.9999985803720308,92,1.0,258,1.0,true,0.0,0.0
124,124,w124,4.000520015483984e10,200012.9999646019,true,true,1098.8316762653722,5.31755426894989,-0.9999992915160811,109,1.0,245,1.0,true,0.0,0.0
125,125,w125,4.000520015650566e10,200012.99996876618,true,true,1098.8324113835051,5.317557665051829,-0.9999994084946298,287,1.0,67,1.0,true,0.0,0.0
126,126,w126,4.055068054228404e10,201371.99542708028,true,true,2946.6019465240756,7.952537290721467,-0.9999991281623117,266,1.0,168,1.0,true,0.0,0.0
127,127,w127,4.059115643525283e10,201472.47066349495,true,true,997.0544275772321,5.080049009529069,-0.9999996559212996,191,1.0,161,1.0,true,0.0,0.0
128,128,w128,4.0625240787757385e10,201557.04102749025,true,true,1148.6266129250907,3.8717532087545106,-0.25460816246824075,273,1.0,177,1.0,true,0.0,0.0
