mode_rank,omega,freq_hz,omega_sq,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,boundary_max_abs_w,center_w,relative_residual,residual_within_tolerance
62,1171080089.4145873,186383184.98683035,1.3714285758232776e+18,2.8281647883841448,2.828164788384063,-1.0,8,0.9999999998279482,16,1.0,5.819641489615465e-12,9.810010453326845e-16,1.0
63,1171080089.4145875,186383184.98683038,1.371428575823278e+18,2.999761457208241,2.999761457208156,-1.0,11,0.999999999831769,7,1.0,1.5472675916953424e-15,7.12258636068377e-16,1.0
64,1171080090.4923267,186383185.15835792,1.371428578347516e+18,2.91497674618662,2.914976746186494,-0.9999999999834028,12,1.0,6,1.0,3.1727669259284523e-12,1.593459157853614e-15,1.0
65,1171080090.492327,186383185.15835795,1.371428578347517e+18,2.914976170409889,2.914976170409811,-0.9999999999721711,9,1.0,15,1.0,9.610003832158778e-13,1.0031675805479336e-15,1.0
66,1183215958.153325,188314668.48531488,1.4000000036286917e+18,2.9312621145199707,2.931262114519908,-0.9993087152594808,9,1.0,12,1.0,9.875496538658244e-05,8.227614460088897e-16,1.0
67,1183215958.153325,188314668.48531488,1.4000000036286917e+18,2.977418381581401,2.9774183815813338,-0.4040767596347964,19,1.0,9,1.0,0.2856155057041014,5.740075394509949e-16,1.0
68,1183215958.6627655,188314668.56639484,1.400000004834248e+18,2.955211671300147,2.955211671300048,-0.999918695370136,10,1.0,16,1.0,9.839493521915796e-05,1.2283628254320962e-15,1.0
69,1183215958.6627662,188314668.56639495,1.4000000048342487e+18,2.9552117363935007,2.955211736393413,-0.9999188205993498,8,1.0,7,1.0,2.517447878052177e-08,6.827996333797498e-16,1.0
70,1183215959.7294512,188314668.73616314,1.4000000073584865e+18,3.054639991026323,3.0546399910261792,-0.7071994524722065,7,1.0,12,1.0,0.2856820430424706,7.70662438457509e-16,1.0
71,1183215959.7294514,188314668.73616317,1.400000007358487e+18,2.852125474757813,2.8521254747577305,-0.9997743763464868,12,1.0,9,1.0,3.2231950205609505e-05,1.3997529549164373e-15,1.0
