mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
18.0,18.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.576261459584479,2.1352756261393497e11,2598.2486089005206,NaN,NaN,726.5264685659777,0.0
19.0,19.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.0993949450901512,1.1946072483387225e11,5275.64757152359,NaN,NaN,1702.1540219909402,0.0
20.0,20.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.2134274489170345,1.808255115167167e11,2509.856860457764,NaN,NaN,781.0529101267301,0.0
21.0,21.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.7392297896313864,1.3104569209719662e11,2071.0236030067213,NaN,NaN,756.060557915229,0.0
22.0,22.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.023396702263325,1.8445986086340274e11,2509.7352106035914,NaN,NaN,1240.3574681110529,0.0
23.0,23.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.9441508942978443,3.662633638186981e11,3119.7789635730464,NaN,NaN,1059.6532160139461,0.0
24.0,24.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.307069628999249,5.610256329371602e11,2346.754566746104,NaN,NaN,1017.2014477794801,0.0
25.0,25.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.7633161333585003,3.9896015820329504e11,2283.493326343283,NaN,NaN,826.3597851788147,0.0
26.0,26.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.7277305035753803,3.639714507626989e11,1139.5545616479176,NaN,NaN,417.76654994114824,0.0
27.0,27.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.7959662477449454,4.1168309177806946e11,2222.349001231968,NaN,NaN,794.8411405267778,0.0
28.0,28.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.767225018018365,7.892877817298114e11,1438.5357248133434,NaN,NaN,814.0082389883834,0.0
29.0,29.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.4841764261599226,7.665766930263843e11,1723.4713553116017,NaN,NaN,1161.230784247677,0.0
30.0,30.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.8717236909981927,6.654739138680941e11,2001.8001143635197,NaN,NaN,1069.4955264983355,0.0
31.0,31.0,0.9999999999999997,0.0,1.0,0.0,0.0,1.0,5.342178073143183,8.367932623411456e18,8.36793262341146e18,9669.200289754237,1.1555064703439589e-15,1.566389683915574e18,1.0
32.0,32.0,1.0000000000000009,0.0,1.0,0.0,0.0,1.0,5.581813749903941,1.0307721500607515e19,1.0307721500607502e19,12263.580166136087,1.1897469450851286e-15,1.8466616699249219e18,1.0
33.0,33.0,1.0000000000000009,0.0,1.0,0.0,0.0,1.0,4.293538761294625,1.3086594466741658e19,1.3086594466741654e19,15081.67840392551,1.15245249191867e-15,3.047973989361556e18,1.0
34.0,34.0,1.000000006789041,0.0,1.0,0.0,0.0,1.0,4.991943152780162,1.119692621237263e19,1.1196926136356243e19,14885.369925645564,1.3294157381511711e-15,2.2429995281737818e18,1.0
35.0,35.0,1.0000000155086266,0.0,1.0,0.0,0.0,1.0,4.907307432275531,8.116769480610088e18,8.116769354730137e18,11872.144070304355,1.4626686268059444e-15,1.654016885379111e18,1.0
36.0,36.0,1.000000024486273,0.0,1.0,0.0,0.0,1.0,4.170720217109652,7.062537073652096e18,7.062536900716887e18,8861.80146237001,1.2547617619495906e-15,1.6933614659031936e18,1.0
37.0,37.0,1.0000000249082737,0.0,1.0,0.0,0.0,1.0,3.917460456758835,7.173086329136994e18,7.173086150467799e18,10566.551886304454,1.4730830498140309e-15,1.831055151582194e18,1.0
38.0,38.0,1.0000000308128068,0.0,1.0,0.0,0.0,1.0,4.3202254608686665,7.912091086440103e18,7.91209084264638e18,13450.053252467964,1.6999366040564074e-15,1.8314069287151273e18,1.0
39.0,39.0,1.0000000509736935,0.0,1.0,0.0,0.0,1.0,4.439491875196822,4.788859655850248e18,4.788859411744396e18,7710.711061762292,1.610135108541467e-15,1.0786953882041028e18,1.0
40.0,40.0,1.0000000684856472,0.0,1.0,0.0,0.0,1.0,3.8155219479385267,6.524096268071914e18,6.524095821264997e18,12548.082645451525,1.9233441889660963e-15,1.709882923040156e18,1.0
41.0,41.0,1.0000000685744501,0.0,1.0,0.0,0.0,1.0,3.953532121520532,6.397362650288442e18,6.397362211592847e18,12964.716494805694,2.02657207407511e-15,1.6181384177378117e18,1.0
42.0,42.0,1.0000000895888155,0.0,1.0,0.0,0.0,1.0,3.521540850841008,6.531855088763891e18,6.531854503582782e18,15703.125784830445,2.404083613527035e-15,1.85482854814047e18,1.0
