method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Mix,25,4.000000e-02,-1.397940,6,1.388465e+08,7.681180,18.777778,-5.909431e-01
Mix,9,1.111111e-01,-0.954243,1,2.149458e+08,11.891098,4.000000,1.972774e+00
Mix,9,1.111111e-01,-0.954243,2,2.410420e+08,13.334772,6.250000,1.133564e+00
Mix,9,1.111111e-01,-0.954243,3,2.576203e+08,14.251908,11.111111,2.826717e-01
Mix,9,1.111111e-01,-0.954243,4,2.619699e+08,14.492530,16.000000,-9.421685e-02
Mix,9,1.111111e-01,-0.954243,5,2.807794e+08,15.533100,18.062500,-1.400360e-01
Mix,9,1.111111e-01,-0.954243,6,3.480512e+08,19.254669,18.777778,2.539658e-02
Mix,10,1.000000e-01,-1.000000,1,2.144978e+08,11.866313,4.000000,1.966578e+00
Mix,10,1.000000e-01,-1.000000,2,2.321665e+08,12.843769,6.250000,1.055003e+00
Mix,10,1.000000e-01,-1.000000,3,2.335316e+08,12.919289,11.111111,1.627360e-01
Mix,10,1.000000e-01,-1.000000,4,2.488675e+08,13.767691,16.000000,-1.395193e-01
Mix,10,1.000000e-01,-1.000000,5,2.551571e+08,14.115641,18.062500,-2.185112e-01
Mix,10,1.000000e-01,-1.000000,6,3.049631e+08,16.870977,18.777778,-1.015456e-01
Mix,11,9.090909e-02,-1.041393,1,2.102979e+08,11.633967,4.000000,1.908492e+00
Mix,11,9.090909e-02,-1.041393,2,2.112368e+08,11.685909,6.250000,8.697455e-01
Mix,11,9.090909e-02,-1.041393,3,2.145499e+08,11.869195,11.111111,6.822758e-02
Mix,11,9.090909e-02,-1.041393,4,2.319371e+08,12.831075,16.000000,-1.980578e-01
Mix,11,9.090909e-02,-1.041393,5,2.539222e+08,14.047321,18.062500,-2.222936e-01
Mix,11,9.090909e-02,-1.041393,6,2.599715e+08,14.381978,18.777778,-2.340958e-01
Mix,12,8.333333e-02,-1.079181,1,1.916655e+08,10.603196,4.000000,1.650799e+00
Mix,12,8.333333e-02,-1.079181,2,1.925461e+08,10.651914,6.250000,7.043063e-01
Mix,12,8.333333e-02,-1.079181,3,2.084263e+08,11.530426,11.111111,3.773836e-02
Mix,12,8.333333e-02,-1.079181,4,2.259292e+08,12.498710,16.000000,-2.188306e-01
Mix,12,8.333333e-02,-1.079181,5,2.326582e+08,12.870971,18.062500,-2.874203e-01
Mix,12,8.333333e-02,-1.079181,6,2.516201e+08,13.919969,18.777778,-2.586999e-01
Mix,13,7.692308e-02,-1.113943,1,1.746405e+08,9.661351,4.000000,1.415338e+00
Mix,13,7.692308e-02,-1.113943,2,1.760857e+08,9.741304,6.250000,5.586087e-01
Mix,13,7.692308e-02,-1.113943,3,2.054635e+08,11.366522,11.111111,2.298697e-02
Mix,13,7.692308e-02,-1.113943,4,2.151388e+08,11.901771,16.000000,-2.561393e-01
Mix,13,7.692308e-02,-1.113943,5,2.228995e+08,12.331102,18.062500,-3.173092e-01
Mix,13,7.692308e-02,-1.113943,6,2.300107e+08,12.724507,18.777778,-3.223636e-01
Mix,14,7.142857e-02,-1.146128,1,1.614448e+08,8.931346,4.000000,1.232837e+00
