method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Mixtwo,24,4.166667e-02,-1.380211,1,1.913427e+08,10.585341,4.000000,1.646335e+00
Mixtwo,24,4.166667e-02,-1.380211,2,2.187108e+08,12.099383,6.250000,9.359012e-01
Mixtwo,24,4.166667e-02,-1.380211,3,3.613669e+08,19.991310,11.111111,7.992179e-01
Mixtwo,24,4.166667e-02,-1.380211,4,4.769991e+08,26.388243,16.000000,6.492652e-01
Mixtwo,24,4.166667e-02,-1.380211,5,4.990816e+08,27.609874,18.062500,5.285744e-01
Mixtwo,24,4.166667e-02,-1.380211,6,5.064696e+08,28.018589,18.777778,4.921142e-01
Mixtwo,25,4.000000e-02,-1.397940,1,1.905841e+08,10.543374,4.000000,1.635844e+00
Mixtwo,25,4.000000e-02,-1.397940,2,2.177829e+08,12.048050,6.250000,9.276879e-01
Mixtwo,25,4.000000e-02,-1.397940,3,3.601496e+08,19.923970,11.111111,7.931573e-01
Mixtwo,25,4.000000e-02,-1.397940,4,4.744506e+08,26.247257,16.000000,6.404536e-01
Mixtwo,25,4.000000e-02,-1.397940,5,4.974929e+08,27.521986,18.062500,5.237086e-01
Mixtwo,25,4.000000e-02,-1.397940,6,5.039853e+08,27.881158,18.777778,4.847954e-01
