mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,lambda_isfinite,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,phi_1_norm,phi_2_norm,rebuild_error,relative_rebuild_error
13,13,w13,-Inf,0.0,false,false,true,2.0800394755988654,3.826362284258212e-17,-1.8305784332010747e-17,25,2.3897973777853473e-17,23,1.381133355537435,1.555324684518158,0.0,0.0
14,14,w14,-Inf,0.0,false,false,true,2.138955882807205,2.4881898806503155e-17,-1.9676290733989758e-17,17,8.89766021325749e-18,19,1.6724983741188282,1.3333722125368532,0.0,0.0
15,15,w15,-Inf,0.0,false,false,true,2.4475092616296603,1.1236859192467893e-16,-1.9950535243154013e-17,19,7.271103613159851e-17,25,1.3273544165201392,2.0563151117247194,0.0,0.0
16,16,w16,-Inf,0.0,false,false,true,2.906529794877718,4.0563610916218257e-16,-2.458488528987181e-16,25,1.441279788083128e-16,19,2.131453383502736,1.9760622263650123,0.0,0.0
17,17,w17,-Inf,0.0,false,false,true,2.029262963455886,0.0262259678641564,-0.014762958957611316,20,0.0131045495648063,18,1.350888244055438,1.5140413883167685,0.0,0.0
18,18,w18,-Inf,0.0,false,false,true,2.189973094187871,0.007071275208285142,-0.003980518325142542,20,0.003533363456149211,18,1.7296009323309756,1.3432843203185043,0.0,0.0
19,19,w19,-Inf,0.0,false,false,true,2.9091997441740336,0.043427295743936056,-0.026139842610520644,18,0.0136065092535735,25,2.0638457638420955,2.0499019207166156,0.0,0.0
20,20,w20,-Inf,0.0,false,false,true,2.8644684381744945,0.1647403619695668,-0.015458968866653221,23,0.0977135838005234,18,2.0192872235864656,2.02497386528726,0.0,0.0
21,21,w21,-Inf,0.0,false,false,true,4.1771998405246995,1.0258138365078724,-0.5873691434873624,17,0.1755520829404332,19,2.882971742873429,2.8434448140067574,0.0,0.0
22,22,w22,-Inf,0.0,false,false,true,3.2872351997449973,0.6159294542432528,-0.24820336623238673,25,0.30174080720669316,21,2.1828193254323502,2.3794633761327786,0.0,0.0
23,23,w23,-Inf,0.0,false,false,true,3.8725182575683585,0.8730705520051041,-0.29789051229695174,22,0.5233429000227379,19,2.631771358862304,2.7033174029502782,0.0,0.0
24,24,w24,-Inf,0.0,false,false,true,3.4581090146026345,1.6804031510671926,-1.0,20,0.904613686095275,22,2.0892511996266636,2.183985492538355,0.0,0.0
25,25,w25,-Inf,0.0,false,false,true,3.080229641549061,2.105563824775048,-0.9149338382778206,25,1.0,20,1.6588969414750898,1.5173913674595365,0.0,0.0
26,26,w26,-Inf,0.0,false,false,true,2.454573343071522,1.5314433952915594,-0.30258267847012715,20,1.0,22,1.369395025725637,1.3432679133564724,0.0,0.0
27,27,w27,-Inf,0.0,false,false,true,3.5131494108733508,1.7121705739735886,-0.643954773854332,22,0.9092599751150827,23,2.2248060794910236,2.112091053292567,0.0,0.0
28,28,w28,-Inf,0.0,false,false,true,1.8604993544208317,1.610520885771705,-1.0,17,0.8082834136331741,20,0.6523884299293862,0.6648831933412993,0.0,0.0
29,29,w29,1.0000000000000002,0.0,true,true,true,5.311329774733262,1.7862841711433706,-0.46358404668235703,2,0.5642892755974901,4,0.13936801116592804,4.999998939335326,0.0,0.0
30,30,w30,1.000000000000001,0.0,true,true,true,5.511679778597396,1.9195610038401214,-0.7481294518474345,1,0.5121714311916292,3,4.999998384560135,1.3015051627756942,0.0,0.0
31,31,w31,1.000000000000001,0.0,true,true,true,4.631254742510474,3.0706833775466804,0.1261736029364813,4,1.0,2,1.0721872376782955,3.2969438291005275,0.0,0.0
32,32,w32,1.0000000043853159,0.0,true,true,true,3.990068795648193,2.49813162145431,-0.9834480631321928,4,1.0,1,2.199998573203647,2.1999985622262113,0.0,0.0
33,33,w33,1.000000011498777,0.0,true,true,true,5.308570021275674,2.5352030950727746,-0.9524711278540433,12,0.9524709896439234,15,3.2980041922612053,3.298003833434363,0.0,0.0
34,34,w34,1.000000013345539,0.0,true,true,true,4.0614531807915775,2.161988142297934,-1.0,3,0.9999995944469737,1,2.431173716747106,2.431173291092845,0.0,0.0
35,35,w35,1.0000000136118707,0.0,true,true,true,3.953364409432538,2.164403802146912,-0.9999998478535561,2,1.0,4,2.3392783688727667,2.3392783177603818,0.0,0.0
36,36,w36,1.000000014940638,0.0,true,true,true,3.1827759542075813,2.5979031747796517,-1.0,3,0.6790368561227923,9,1.3001849831466799,1.3001849402110666,0.0,0.0
37,37,w37,1.0000000270057825,0.0,true,true,true,4.387664482128494,1.4404708923267497,-0.5112659932323531,8,0.5112659074199477,7,2.9305838711573955,2.930583796823325,0.0,0.0
38,38,w38,1.0000000299326266,0.0,true,true,true,3.7143107117356298,2.4943637075734104,-0.9118606266481049,3,0.9118600879347639,1,1.9460544800191513,1.9460538837483563,0.0,0.0
39,39,w39,1.0000000303085361,0.0,true,true,true,3.8876054449748985,2.730016923614998,-0.9999996559754277,4,1.0,2,1.9571011963195586,1.957099537565408,0.0,0.0
40,40,w40,1.0000000314848831,0.0,true,true,true,3.1661441853998196,3.070437918923383,-1.0,4,0.9953659162695783,1,0.5462965226230126,0.5462967125551259,0.0,0.0
41,41,w41,1.0000000504438284,0.0,true,true,true,3.8411328581606594,2.948865780770466,-0.9999971313151544,12,1.0,15,1.7404728874323416,1.740473030286708,0.0,0.0
42,42,w42,1.0000000507210318,0.0,true,true,true,3.8206767180802275,3.167486667217169,-0.9999979572654445,9,1.0,6,1.5107279873154071,1.5107282169284155,0.0,0.0
43,43,w43,1.0000000510049738,0.0,true,true,true,3.72448620091093,3.1733665758917913,-0.9999976859117992,12,1.0,9,1.378684783694484,1.3786842651593714,0.0,0.0
44,44,w44,1.0000000514164833,0.0,true,true,true,3.442317616620505,3.3993503457721617,-0.8444352191775479,8,1.0,9,0.3833846086566455,0.3833849791524831,0.0,0.0
45,45,w45,1.5115916560756003e11,0.0,true,true,true,1.5755879726339128,8.467445573619807e-17,-2.6334912382292435e-17,19,5.3977644472320115e-17,25,1.117979958378946,1.1102244242366737,0.0,0.0
