mode_rank,eigen_index,lambda_real,lambda_imag,k_num,k_ref,relative_error_vs_ref,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,full_relative_residual,residual_within_tolerance,KGv_over_v,selected_positive_mode
13.0,28.0,1.7433601027647492e8,0.0,1928.9012556663158,4.0,481.22531391657895,1.0,1.8638261889672667e7,5.054515810275552e11,2899.296690393641,8.657155374066375e6,1.7127558102340686e-5,0.0,0.00015555617297126407,1.0
14.0,29.0,1.899894129244401e8,0.0,2102.094779914271,4.0,524.5236949785677,1.0,407.77733238119833,1.0542973949649616e8,0.5549243056614515,433.2233358374208,4.109118767665636e-6,0.0,0.0013608512822941743,1.0
15.0,30.0,1.9276385038458037e8,0.0,2132.7919140986846,4.0,532.1979785246712,1.0,366.67321620037006,7.44889340049935e7,0.3864256102023881,281.9068064544289,3.784546123797808e-6,0.0,0.001053869203228698,1.0
16.0,31.0,2.0617653411959827e8,0.0,2281.1935120089606,4.0,569.2983780022402,1.0,274.3397626004293,5.614127201333771e7,0.27229698761007765,89.22125527189608,1.5892275339023211e-6,0.0,0.0009925538501200537,1.0
17.0,32.0,2.3107528279035506e8,0.0,2556.680070978491,4.0,638.1700177446228,1.0,315.9838769205881,5.542383893592489e7,0.2398518952944881,62.647869406505436,1.1303414610516736e-6,0.0,0.00075906371436403,1.0
18.0,33.0,2.478211924840012e8,0.0,2741.9613917115003,4.0,684.4903479278751,1.0,436.6672254700369,5.38545925172367e7,0.21731216831977973,121.48047671300338,2.255712484949586e-6,0.0,0.0004976608173097049,1.0
19.0,34.0,3.0461485446590924e8,0.0,3370.3419869600625,4.0,841.5854967400156,1.0,15.387959699745856,2.5211109876928117e7,0.08276388415221315,7.15380100773975,2.8375589343992083e-7,1.0,0.005378483292595318,1.0
20.0,35.0,4.452460254330187e8,0.0,4926.323690534051,4.0,1230.5809226335127,1.0,426.2735824393395,1.680375067946601e8,0.3774036600563849,540.3288471946763,3.2155252568401407e-6,0.0,0.0008853554984493814,1.0
21.0,36.0,4.542660547317715e8,0.0,5026.123759452223,4.0,1255.5309398630557,1.0,316.5013190899246,1.0287837141236563e8,0.22647160761979598,237.69330379955423,2.310430273500464e-6,0.0,0.0007155471208492837,1.0
22.0,37.0,4.9104379280942875e8,0.0,5433.042703198021,4.0,1357.2606757995052,1.0,235.25912805119313,8.015916079669484e7,0.16324236273025025,74.67885398794873,9.316321833427667e-7,1.0,0.000693883226051608,1.0
23.0,38.0,5.572048030546284e8,0.0,6165.066199294619,4.0,1540.2665498236547,1.0,133.2203227333605,4.610892394039903e7,0.08275039845144537,30.786556260662913,6.676919266313393e-7,1.0,0.0006211544661775794,1.0
24.0,39.0,5.869707735134584e8,0.0,6494.405030113964,4.0,1622.601257528491,1.0,804.526302465591,1.3091498638983943e8,0.2230348769642443,255.37161199441766,1.9506675212413845e-6,0.0,0.0002772250904423144,1.0
25.0,40.0,1.9004417640448182e9,0.0,21027.006980217786,4.0,5255.7517450544465,1.0,815.2674705297444,3.346130398941009e8,0.1760711852467638,2377.312562699525,7.104662040223843e-6,0.0,0.00021596738691457453,1.0
26.0,41.0,1.9370372696754506e9,0.0,21431.909654374005,4.0,5356.977413593501,1.0,882.3952569682966,3.0863820097797406e8,0.15933518231849478,1824.8585994435007,5.9126141665585054e-6,0.0,0.00018057121347856417,1.0
27.0,42.0,2.0736664062565057e9,0.0,22943.61175592981,4.0,5734.902938982453,1.0,709.0633476166441,2.5834120437315145e8,0.12458185131265234,394.21576609187923,1.525950020432934e-6,0.0,0.0001756991836221771,1.0
28.0,43.0,2.335944688218106e9,0.0,25845.53033607528,4.0,6460.38258401882,1.0,1616.4159068270462,3.913474381338265e8,0.1675328495157857,546.3766638371916,1.3961420625437939e-6,0.0,0.00010364464294628563,1.0
29.0,44.0,2.542946549077055e9,0.0,28135.855488652043,4.0,7032.963872163011,1.0,1617.9765838046803,2.4106614466733843e8,0.09479799500259188,471.8772323286677,1.9574588444303936e-6,0.0,5.8590461661487034e-5,1.0
30.0,45.0,8.897306485669344e15,0.0,9.844223017974797e10,4.0,2.4610557543936993e10,1.0,10.615034627132978,2.2227676173541785e15,0.24982477797458513,4.712271891833712,2.1200020438676605e-15,1.0,0.023534994161583857,1.0
