mode_rank,eigen_index,omega_sq_real,omega_real,Omega_FEM,Omega_exact,matched_m,matched_n,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
107,107,5.331919e+04,2.309095e+02,763.0501,789.5684,4,8,99.9962,0.0019,0.0019,5.12e-08
108,108,5.382446e+04,2.320010e+02,766.6571,789.5684,4,8,99.9953,0.0024,0.0024,3.82e-08
109,109,5.406297e+04,2.325145e+02,768.3539,789.5684,4,8,99.9960,0.0020,0.0020,3.80e-08
110,110,5.408138e+04,2.325540e+02,768.4847,789.5684,4,8,99.9965,0.0018,0.0018,3.85e-08
111,111,5.559601e+04,2.357881e+02,779.1716,789.5684,4,8,99.9956,0.0022,0.0022,3.67e-08
112,112,5.603243e+04,2.367117e+02,782.2239,789.5684,4,8,99.9953,0.0024,0.0024,2.41e-08
113,113,5.644090e+04,2.375729e+02,785.0698,789.5684,4,8,99.9959,0.0020,0.0020,3.72e-08
114,114,6.123492e+04,2.474569e+02,817.7318,809.3076,1,9,99.9960,0.0020,0.0020,3.27e-08
115,115,6.222646e+04,2.494523e+02,824.3257,838.9164,2,9,99.9955,0.0022,0.0022,3.79e-08
116,116,6.263402e+04,2.502679e+02,827.0208,838.9164,2,9,99.9957,0.0021,0.0021,3.39e-08
117,117,6.382645e+04,2.526390e+02,834.8562,838.9164,2,9,99.9956,0.0022,0.0022,4.11e-08
118,118,6.667517e+04,2.582154e+02,853.2836,838.9164,2,9,99.9955,0.0022,0.0022,2.86e-08
119,119,6.787197e+04,2.605225e+02,860.9076,878.3948,5,8,99.9955,0.0022,0.0022,3.81e-08
120,120,6.929503e+04,2.632395e+02,869.8860,878.3948,5,8,99.9948,0.0026,0.0026,3.36e-08
121,121,6.958107e+04,2.637822e+02,871.6796,878.3948,5,8,99.9948,0.0026,0.0026,2.69e-08
122,122,6.969411e+04,2.639964e+02,872.3873,878.3948,5,8,99.9950,0.0025,0.0025,3.28e-08
123,123,7.116576e+04,2.667691e+02,881.5498,878.3948,5,8,99.9945,0.0028,0.0028,3.21e-08
124,124,7.142698e+04,2.672583e+02,883.1662,878.3948,5,8,99.9950,0.0025,0.0025,5.02e-08
125,125,7.405396e+04,2.721286e+02,899.2604,888.2644,3,9,99.9945,0.0027,0.0027,3.64e-08
126,126,7.424349e+04,2.724766e+02,900.4104,888.2644,3,9,99.9952,0.0024,0.0024,3.23e-08
127,127,7.473481e+04,2.733767e+02,903.3848,888.2644,3,9,99.9944,0.0028,0.0028,2.80e-08
128,128,7.788231e+04,2.790740e+02,922.2119,957.3516,4,9,99.9949,0.0026,0.0026,2.67e-08
129,129,7.856882e+04,2.803013e+02,926.2675,957.3516,4,9,99.9952,0.0024,0.0024,3.03e-08
130,130,7.954084e+04,2.820299e+02,931.9796,957.3516,4,9,99.9946,0.0027,0.0027,1.86e-08
131,131,8.089253e+04,2.844161e+02,939.8651,957.3516,4,9,99.9953,0.0023,0.0023,3.21e-08
132,132,8.348828e+04,2.889434e+02,954.8257,957.3516,4,9,99.9944,0.0028,0.0028,2.57e-08
133,133,8.394623e+04,2.897348e+02,957.4408,957.3516,4,9,99.9970,0.0015,0.0015,4.57e-08
134,134,8.457226e+04,2.908131e+02,961.0042,957.3516,4,9,99.9944,0.0028,0.0028,3.23e-08
135,135,8.568581e+04,2.927214e+02,967.3102,967.2212,7,7,99.9943,0.0028,0.0028,1.60e-08
136,136,8.856685e+04,2.976018e+02,983.4378,986.9604,6,8,99.9945,0.0027,0.0027,2.16e-08
137,137,9.090243e+04,3.015003e+02,996.3205,996.8300,1,10,99.9934,0.0033,0.0033,1.62e-08
138,138,9.265604e+04,3.043945e+02,1005.8847,996.8300,1,10,99.9947,0.0027,0.0027,2.90e-08
139,139,9.320266e+04,3.052911e+02,1008.8474,996.8300,1,10,99.9941,0.0029,0.0029,2.53e-08
140,140,9.412650e+04,3.068004e+02,1013.8350,1026.4389,2,10,99.9964,0.0018,0.0018,4.34e-08
141,141,9.518813e+04,3.085257e+02,1019.5363,1026.4389,2,10,99.9945,0.0028,0.0028,2.30e-08
142,142,9.589496e+04,3.096691e+02,1023.3147,1026.4389,2,10,99.9947,0.0026,0.0026,2.44e-08
143,143,9.718235e+04,3.117408e+02,1030.1608,1026.4389,2,10,99.9945,0.0027,0.0027,3.22e-08
144,144,9.751229e+04,3.122696e+02,1031.9080,1026.4389,2,10,99.9946,0.0027,0.0027,1.91e-08
145,145,9.925664e+04,3.150502e+02,1041.0968,1046.1781,5,9,99.9941,0.0030,0.0030,2.27e-08
146,146,9.951708e+04,3.154633e+02,1042.4618,1046.1781,5,9,99.9940,0.0030,0.0030,2.22e-08
147,147,1.006181e+05,3.172035e+02,1048.2124,1046.1781,5,9,99.9939,0.0030,0.0030,2.06e-08
148,148,1.026412e+05,3.203767e+02,1058.6984,1046.1781,5,9,99.9940,0.0030,0.0030,1.94e-08
149,149,1.032401e+05,3.213100e+02,1061.7825,1075.7869,3,10,99.9939,0.0030,0.0030,2.35e-08
150,150,1.045231e+05,3.233003e+02,1068.3595,1075.7869,3,10,99.9940,0.0030,0.0030,2.13e-08
151,151,1.049993e+05,3.240359e+02,1070.7904,1075.7869,3,10,99.9942,0.0029,0.0029,2.42e-08
152,152,1.067963e+05,3.267970e+02,1079.9146,1075.7869,3,10,99.9936,0.0032,0.0032,2.49e-08
153,153,1.072346e+05,3.274669e+02,1082.1282,1075.7869,3,10,99.9939,0.0031,0.0031,1.92e-08
154,154,1.088303e+05,3.298944e+02,1090.1499,1075.7869,3,10,99.9936,0.0032,0.0032,2.33e-08
155,155,1.111778e+05,3.334333e+02,1101.8446,1115.2653,7,8,99.9924,0.0038,0.0038,1.52e-08
156,156,1.127415e+05,3.357699e+02,1109.5660,1115.2653,7,8,99.9944,0.0028,0.0028,2.08e-08
157,157,1.162079e+05,3.408929e+02,1126.4949,1115.2653,7,8,99.9933,0.0034,0.0034,1.97e-08
