mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,node_row,x,y,w,phi_1,phi_2
38,38,w38,1.0000000299326266,0.0,22,0.5000000000012177,0.749999999999844,0.01734662696119882,-0.025034126708305262,-0.0458565767952672
38,38,w38,1.0000000299326266,0.0,23,0.7499999999995922,0.2499999999998184,3.525238156325139e-8,-0.2751676975102171,-0.27516785535481786
38,38,w38,1.0000000299326266,0.0,24,0.749999999999844,0.4999999999995339,0.017346661952704682,-0.04585652048392176,-0.02503403257859715
38,38,w38,1.0000000299326266,0.0,25,0.7500000000000953,0.7499999999995921,0.10936481761041227,-0.03685232257349925,-0.03685183294453682
39,39,w39,1.0000000303085361,0.0,1,0.0,0.0,-1.0561964256044635e-6,0.9931112022684435,-0.9931104483042855
39,39,w39,1.0000000303085361,0.0,2,1.0,0.0,1.0,0.17721471347840984,-0.17721304982713323
39,39,w39,1.0000000303085361,0.0,3,1.0,1.0,8.273506628652275e-7,0.993111289950406,-0.9931105846117991
39,39,w39,1.0000000303085361,0.0,4,0.0,1.0,-0.9999996559754277,0.17721528786100313,-0.17721294823129086
39,39,w39,1.0000000303085361,0.0,5,0.2499999999994109,0.0,0.8306591237631578,0.5774398710062272,-0.6215669335948057
39,39,w39,1.0000000303085361,0.0,6,0.4999999999986921,0.0,-0.12189279012927648,0.1501258274446558,-0.1412120923991711
39,39,w39,1.0000000303085361,0.0,7,0.7499999999993406,0.0,-0.8067359841108658,0.22470513760475913,-0.04389993828991802
39,39,w39,1.0000000303085361,0.0,8,1.0,0.2499999999994109,-0.8067347480517731,0.043900444505210516,-0.22470423431167202
39,39,w39,1.0000000303085361,0.0,9,1.0,0.4999999999986921,-0.12189297671303265,0.1412120759003705,-0.15012566694690574
39,39,w39,1.0000000303085361,0.0,10,1.0,0.7499999999993406,0.8306580789117003,0.6215673679685043,-0.5774397304489964
39,39,w39,1.0000000303085361,0.0,11,0.7500000000003471,1.0,-0.8306594547774074,0.577439906265183,-0.6215671497014045
39,39,w39,1.0000000303085361,0.0,12,0.5000000000020595,1.0,0.12189274500803579,0.15012591231384056,-0.14121208433250365
39,39,w39,1.0000000303085361,0.0,13,0.2500000000010405,1.0,0.8067362600936309,0.22470554156363837,-0.04389977114886991
39,39,w39,1.0000000303085361,0.0,14,0.0,0.7500000000003471,0.8067340646225682,0.04390094639154268,-0.2247040491594154
39,39,w39,1.0000000303085361,0.0,15,0.0,0.5000000000020595,0.12189294713401434,0.14121200361981504,-0.15012579850701033
39,39,w39,1.0000000303085361,0.0,16,0.0,0.2500000000010405,-0.8306574108066739,0.6215670922117207,-0.5774398239346877
39,39,w39,1.0000000303085361,0.0,17,0.2499999999998184,0.2500000000006332,1.2486650642136325e-7,0.27216038622007604,-0.2721604567527404
39,39,w39,1.0000000303085361,0.0,18,0.2500000000002257,0.5000000000012177,0.02867121621460268,0.04074371914074416,-0.029510728907754757
39,39,w39,1.0000000303085361,0.0,19,0.2500000000006332,0.7500000000000954,0.1162153548610043,0.0727176387978906,-0.07271707062825096
39,39,w39,1.0000000303085361,0.0,20,0.4999999999995339,0.2500000000002257,-0.028671212617956472,0.029510610316814748,-0.04074371451860298
39,39,w39,1.0000000303085361,0.0,21,0.5000000000003757,0.5000000000003757,6.279119592077235e-9,0.04186483177525043,-0.04186483965450899
39,39,w39,1.0000000303085361,0.0,22,0.5000000000012177,0.749999999999844,0.028671213973303446,0.02951065691397825,-0.040743749149199315
39,39,w39,1.0000000303085361,0.0,23,0.7499999999995922,0.2499999999998184,-0.11621537215715062,0.07271736749021573,-0.0727169951159375
39,39,w39,1.0000000303085361,0.0,24,0.749999999999844,0.4999999999995339,-0.02867121058178082,0.040743721120242396,-0.029510563417842618
39,39,w39,1.0000000303085361,0.0,25,0.7500000000000953,0.7499999999995921,-9.610325244581549e-8,0.2721605593925074,-0.2721604200222793
40,40,w40,1.0000000314848831,0.0,1,0.0,0.0,0.9953659162695783,-0.2522958329432892,-0.25229562031153285
40,40,w40,1.0000000314848831,0.0,2,1.0,0.0,-0.9999999336428277,-0.05471195072072062,0.05471186325436611
40,40,w40,1.0000000314848831,0.0,3,1.0,1.0,0.9953654071895732,0.25229523070701754,0.2522957134551961
40,40,w40,1.0000000314848831,0.0,4,0.0,1.0,-1.0,0.05471160199343697,-0.05471208953323882
40,40,w40,1.0000000314848831,0.0,5,0.2499999999994109,0.0,-0.8265944111720177,0.09777326410988436,-0.02120833016552396
40,40,w40,1.0000000314848831,0.0,6,0.4999999999986921,0.0,0.010603647680106399,0.21046577616378087,0.06549363020764111
40,40,w40,1.0000000314848831,0.0,7,0.7499999999993406,0.0,0.8183078445470946,-0.06178581843181577,-0.04407591601544455
40,40,w40,1.0000000314848831,0.0,8,1.0,0.2499999999994109,0.8183076358207219,0.044075735726686154,0.06178588487812733
40,40,w40,1.0000000314848831,0.0,9,1.0,0.4999999999986921,0.010603730227227172,-0.06549403492869746,-0.21046571732826505
40,40,w40,1.0000000314848831,0.0,10,1.0,0.7499999999993406,-0.8265941533766787,0.021208061701321668,-0.09777341507279291
40,40,w40,1.0000000314848831,0.0,11,0.7500000000003471,1.0,-0.8265941364962678,-0.09777350341404936,0.02120806043780004
40,40,w40,1.0000000314848831,0.0,12,0.5000000000020595,1.0,0.01060372976361328,-0.21046561826772917,-0.06549375067948057
40,40,w40,1.0000000314848831,0.0,13,0.2500000000010405,1.0,0.8183075263031033,0.061785795770803335,0.04407568658616471
40,40,w40,1.0000000314848831,0.0,14,0.0,0.7500000000003471,0.8183081662161825,-0.04407583394539739,-0.061785910215315716
40,40,w40,1.0000000314848831,0.0,15,0.0,0.5000000000020595,0.010603606554195422,0.06549373409400618,0.21046577656949775
40,40,w40,1.0000000314848831,0.0,16,0.0,0.2500000000010405,-0.82659456546244,-0.021208174344213918,0.09777341314115087
40,40,w40,1.0000000314848831,0.0,17,0.2499999999998184,0.2500000000006332,-0.08930233731672756,0.06750513619288348,0.06750501492589203
40,40,w40,1.0000000314848831,0.0,18,0.2500000000002257,0.5000000000012177,0.00926494040940245,-0.00134319080455202,0.11402619689337007
