mode_rank,eigen_index,omega_sq,omega,omega_sq_isfinite,omega_sq_is_positive,vector_isfinite,norm_v,norm_Kv,norm_Mv,residual_norm,relative_residual,residual_within_tolerance,Mv_over_v,selected_positive_mode
52.0,52.0,6.1092224186327835e10,247168.4125982279,1.0,1.0,1.0,878.9477823765095,1.5858711566344532e8,0.002595864223500853,11.050318764617083,6.96798001462664e-8,1.0,2.9533770669312394e-6,1.0
53.0,53.0,6.209051691626831e10,249179.6880090115,1.0,1.0,1.0,15199.044140039685,4.470512216564231e8,0.007199992229922942,213.79179226670541,4.782265956314452e-7,1.0,4.737134890578812e-7,1.0
54.0,54.0,6.3114126126016914e10,251225.24977799685,1.0,1.0,1.0,4828.788123667881,3.6755889694248855e8,0.005823718386592857,21.198501805303938,5.76737550951483e-8,1.0,1.2060413995073447e-6,1.0
55.0,55.0,6.3346110905520195e10,251686.53302375993,1.0,1.0,1.0,1042.417349444923,2.3515614694197413e8,0.0037122427644017525,22.73491011026544,9.66800587861111e-8,1.0,3.5611866651859594e-6,1.0
56.0,56.0,6.339196358425714e10,251777.60739243103,1.0,1.0,1.0,1015.6928139688345,2.3124855343649793e8,0.003647915938232584,5.227383142159343,2.26050413921363e-8,1.0,3.59155434405241e-6,1.0
57.0,57.0,6.694505493550082e10,258737.42469055537,1.0,1.0,1.0,2.5579442859646755e10,6.936875248121055e14,10362.042802093238,6.678373286919719e7,9.62735100177655e-8,1.0,4.050925916936228e-7,1.0
58.0,58.0,6.694505493771492e10,258737.42469483404,1.0,1.0,1.0,8.230171115126347e10,2.2319356392444628e15,33339.813347537936,4.6171599927837306e8,2.0686797197909772e-7,1.0,4.050925901924715e-7,1.0
59.0,59.0,6.759514806406187e10,259990.6691865342,1.0,1.0,1.0,951.1349439664665,2.0203125166873175e8,0.002988842532889531,12.282067060555349,6.07929062691532e-8,1.0,3.1423958838325535e-6,1.0
60.0,60.0,1.3714285746177216e18,1.1710800888998675e9,1.0,1.0,1.0,2.9145877243221245,6.432938752715528e15,0.004690684496280585,3.6195960060634005,5.626660139637526e-16,1.0,0.0016093818199867515,1.0
61.0,61.0,1.3714285746177219e18,1.1710800888998675e9,1.0,1.0,1.0,2.914586439112815,6.432935888360893e15,0.004690682407688668,5.827441863129526,9.0587594284487e-16,1.0,0.0016093818130562935,1.0
62.0,62.0,1.3714285758232776e18,1.1710800894145873e9,1.0,1.0,1.0,2.8281647883841448,4.713608034510938e15,0.003437005847483765,4.6240544091437705,9.810010453326845e-16,1.0,0.001215277787772571,1.0
63.0,63.0,1.371428575823278e18,1.1710800894145875e9,1.0,1.0,1.0,2.999761457208241,4.999602478662961e15,0.0036455434623430282,3.561010042336558,7.12258636068377e-16,1.0,0.001215277786032957,1.0
64.0,64.0,1.371428578347516e18,1.1710800904923267e9,1.0,1.0,1.0,2.91497674618662,3.1587248867881005e15,0.0023032368849963463,5.033299097992619,1.593459157853614e-15,1.0,0.0007901390252973533,1.0
65.0,65.0,1.3714285783475167e18,1.171080090492327e9,1.0,1.0,1.0,2.9149761704098895,3.1587242754735165e15,0.002303236439246131,3.168729789044794,1.0031675805479336e-15,1.0,0.000790139028451221,1.0
66.0,66.0,1.4000000036286917e18,1.1832159581533253e9,1.0,1.0,1.0,2.9312621145199707,6.378506890839046e15,0.00455607633879032,5.247989552884401,8.227614460088897e-16,1.0,0.0015543053336042013,1.0
67.0,67.0,1.4000000036286917e18,1.1832159581533253e9,1.0,1.0,1.0,2.977418381581401,6.486392335597067e15,0.0046331373705605985,3.7232381044698646,5.740075394509949e-16,1.0,0.001556092149904641,1.0
68.0,68.0,1.400000004834248e18,1.1832159586627657e9,1.0,1.0,1.0,2.955211671300147,4.858732240727295e15,0.0034705230171070897,5.9682860632378,1.2283628254320962e-15,1.0,0.0011743737515696232,1.0
69.0,69.0,1.4000000048342487e18,1.1832159586627662e9,1.0,1.0,1.0,2.9552117363935007,4.858732342294286e15,0.0034705230896549403,3.317540662008873,6.827996333797498e-16,1.0,0.0011743737502512488,1.0
70.0,70.0,1.4000000073584863e18,1.1832159597294512e9,1.0,1.0,1.0,3.054639991026323,3.2669549264017935e15,0.002333539220878912,2.517719449911578,7.70662438457509e-16,1.0,0.0007639326492595515,1.0
71.0,71.0,1.400000007358487e18,1.1832159597294514e9,1.0,1.0,1.0,2.8521254747578135,3.047034880374978e15,0.0021764534745425538,4.265096077538331,1.3997529549164373e-15,1.0,0.000763098781524458,1.0
