mode,vtk_w_field,lambda,k_num,node_row,node_id,x,y,w_normalized,phi_1,phi_2
20,w20,4.398188208682255e8,4866.275616225214,23,23,0.7499999999995922,0.24999999999981837,0.7978170058994887,-5.957954324439168,-65.20498187413871
20,w20,4.398188208682255e8,4866.275616225214,24,24,0.749999999999844,0.49999999999953393,-0.7721400079909634,5.876328687119345,65.74223715979248
20,w20,4.398188208682255e8,4866.275616225214,25,25,0.7500000000000953,0.7499999999995921,0.8056384261662618,-5.982583803174128,-66.27425165385782
21,w21,7.035436226288627e8,7784.198886694182,1,1,0.0,0.0,0.7657201116051543,-6.31566246891881,-121.62005767204512
21,w21,7.035436226288627e8,7784.198886694182,2,2,1.0,0.0,0.7657201129406339,-8.291341154585508,-122.14657119259235
21,w21,7.035436226288627e8,7784.198886694182,3,3,1.0,1.0,0.7657201116048277,-16.100720193212815,-128.39479167427737
21,w21,7.035436226288627e8,7784.198886694182,4,4,0.0,1.0,0.7657201129408538,-14.1257776129009,-127.86757237753122
21,w21,7.035436226288627e8,7784.198886694182,5,5,0.24999999999941094,0.0,-0.7657201118773989,11.27842619693826,126.79462347764385
21,w21,7.035436226288627e8,7784.198886694182,6,6,0.4999999999986921,0.0,0.7657201152699078,-15.14071524848821,-124.32168396627361
21,w21,7.035436226288627e8,7784.198886694182,7,7,0.7499999999993406,0.0,-0.7657201129926051,11.116406630105368,127.03045164915262
21,w21,7.035436226288627e8,7784.198886694182,8,8,1.0,0.24999999999941094,-0.7657201172593023,8.340563712219751,122.70009633687393
21,w21,7.035436226288627e8,7784.198886694182,9,9,1.0,0.4999999999986921,0.7657201187248148,-10.562104504667095,-124.83719376997475
21,w21,7.035436226288627e8,7784.198886694182,10,10,1.0,0.7499999999993406,-0.7657201164109075,13.725109942135099,127.22843319631576
21,w21,7.035436226288627e8,7784.198886694182,11,11,0.7500000000003471,1.0,-0.7657201118773873,11.13977860651846,123.22214538024
21,w21,7.035436226288627e8,7784.198886694182,12,12,0.5000000000020595,1.0,0.7657201152698272,-7.279301269073412,-125.69537287815265
