mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
36,36,w36,4.793433771566566e10,218939.11874232447,true,true,1980.227659198638,1.4742430214118363,-0.3940948745621404,17,1.0,21,1.0,true,0.0,0.0
37,37,w37,5.077097849188074e10,225324.16313365227,true,true,8613.148820004086,1.605630528527065,-0.9999999312374668,19,1.0,23,1.0,true,0.0,0.0
38,38,w38,5.077627290905543e10,225335.91127260524,true,true,2324.89845456258,1.9999998244668453,-0.9999999980494946,20,1.0,24,1.0,true,0.0,0.0
39,39,w39,5.079814296345154e10,225384.4337203693,true,true,5232.15878989443,2.050658388818596,-1.0,22,0.9999998797862851,18,1.0,true,0.0,0.0
40,40,w40,5.205233616422629e10,228149.81079156365,true,true,1748.032200331685,1.79416882657799,-0.5350311049233857,25,1.0,23,1.0,true,0.0,0.0
41,41,w41,5.355182574214336e10,231412.67411735113,true,true,876.2680446701681,1.7244356170842492,-1.0,23,0.9999998777610738,19,1.0,true,0.0,0.0
42,42,w42,5.3816786387981674e10,231984.45290144268,true,true,499.6781787677949,1.706106431886478,-0.7999290915285421,25,1.0,21,1.0,true,0.0,0.0
43,43,w43,5.3973858452357254e10,232322.74630857233,true,true,962.5643757692086,2.4105742601388642,-1.0,17,0.9999997577723835,25,1.0,true,0.0,0.0
44,44,w44,5.401884999342004e10,232419.55596167038,true,true,698.6696891760691,1.9999997846950273,-0.9999999893472232,22,1.0,18,1.0,true,0.0,0.0
45,45,w45,5.738563907300641e10,239552.99846381886,true,true,2309.6380960584265,1.7123713897387112,-0.9999991294810167,23,1.0,19,1.0,true,0.0,0.0
46,46,w46,5.752809494869299e10,239850.15102912276,true,true,1844.1667833609656,2.373860051018057,-1.0,17,0.999999970058665,25,1.0,true,0.0,0.0
47,47,w47,5.7916311959100746e10,240658.08101765614,true,true,14687.991525255353,1.999997590560229,-1.0,18,0.9999979643719344,20,1.0,true,0.0,0.0
48,48,w48,5.83741216480532e10,241607.37084793832,true,true,887.5288076912846,1.9827646395281293,-0.6216387485730138,24,1.0,21,1.0,true,0.0,0.0
49,49,w49,5.89851145368414e10,242868.51285591017,true,true,2532.9159968583826,1.99999991918866,-1.0,18,0.9999999480654826,20,1.0,true,0.0,0.0
50,50,w50,5.988683105590603e10,244717.86010813765,true,true,4451.301571914135,1.8346458229365021,-1.0,17,0.9999999883955472,25,1.0,true,0.0,0.0
51,51,w51,5.9892936148017876e10,244730.333526553,true,true,4020.9223058537923,1.856820395285518,-0.9999996471724845,19,1.0,23,1.0,true,0.0,0.0
52,52,w52,6.1092224186327835e10,247168.4125982279,true,true,878.9477823765095,1.2335864318527376,-0.3465618971843721,20,1.0,21,1.0,true,0.0,0.0
53,53,w53,6.209051691626831e10,249179.6880090115,true,true,15199.044140039685,1.7021728678625165,-0.5419284832622424,18,1.0,21,1.0,true,0.0,0.0
54,54,w54,6.3114126126016914e10,251225.24977799685,true,true,4828.788123667881,1.9999997312018836,-0.9999998498342554,20,1.0,24,1.0,true,0.0,0.0
55,55,w55,6.3346110905520195e10,251686.53302375993,true,true,1042.417349444923,1.8870401497214477,-0.9999998607450229,17,1.0,25,1.0,true,0.0,0.0
56,56,w56,6.339196358425714e10,251777.60739243103,true,true,1015.6928139688345,1.839976476129184,-1.0,23,0.9999999775674784,19,1.0,true,0.0,0.0
57,57,w57,6.694505493550082e10,258737.42469055537,true,true,2.5579442859646755e10,2.202714143949171,-0.882152651607616,22,1.0,21,1.0,true,0.0,0.0
58,58,w58,6.694505493771492e10,258737.42469483404,true,true,8.230171115126347e10,1.9054375006987623,-0.5805661425116989,18,1.0,19,1.0,true,0.0,0.0
59,59,w59,6.759514806406187e10,259990.6691865342,true,true,951.1349439664665,2.3178685602432916,-0.8118799195217238,20,1.0,21,1.0,true,0.0,0.0
60,60,w60,1.3714285746177216e18,1.1710800888998675e9,true,true,2.9145877243221245,2.914587724322065,-1.0,15,0.9999999999646615,9,1.0,true,0.0,0.0
61,61,w61,1.3714285746177219e18,1.1710800888998675e9,true,true,2.914586439112815,2.914586439112753,-1.0,6,0.999999999990889,12,1.0,true,0.0,0.0
62,62,w62,1.3714285758232776e18,1.1710800894145873e9,true,true,2.8281647883841448,2.828164788384063,-1.0,8,0.9999999998279482,16,1.0,true,0.0,0.0
63,63,w63,1.371428575823278e18,1.1710800894145875e9,true,true,2.999761457208241,2.9997614572081557,-1.0,11,0.999999999831769,7,1.0,true,0.0,0.0
64,64,w64,1.371428578347516e18,1.1710800904923267e9,true,true,2.91497674618662,2.914976746186494,-0.9999999999834028,12,1.0,6,1.0,true,0.0,0.0
65,65,w65,1.3714285783475167e18,1.171080090492327e9,true,true,2.9149761704098895,2.914976170409811,-0.9999999999721713,9,1.0,15,1.0,true,0.0,0.0
66,66,w66,1.4000000036286917e18,1.1832159581533253e9,true,true,2.9312621145199707,2.931262114519908,-0.9993087152594808,9,1.0,12,1.0,true,0.0,0.0
67,67,w67,1.4000000036286917e18,1.1832159581533253e9,true,true,2.977418381581401,2.9774183815813338,-0.4040767596347964,19,1.0,9,1.0,true,0.0,0.0
68,68,w68,1.400000004834248e18,1.1832159586627657e9,true,true,2.955211671300147,2.9552116713000474,-0.9999186953701359,10,1.0,16,1.0,true,0.0,0.0
69,69,w69,1.4000000048342487e18,1.1832159586627662e9,true,true,2.9552117363935007,2.955211736393413,-0.9999188205993498,8,1.0,7,1.0,true,0.0,0.0
70,70,w70,1.4000000073584863e18,1.1832159597294512e9,true,true,3.054639991026323,3.0546399910261792,-0.7071994524722065,7,1.0,12,1.0,true,0.0,0.0
71,71,w71,1.400000007358487e18,1.1832159597294514e9,true,true,2.8521254747578135,2.8521254747577305,-0.9997743763464868,12,1.0,9,1.0,true,0.0,0.0
72,72,w72,2.742857148569634e18,1.6561573441462722e9,true,true,2.125000000764399,2.125000000764388,-0.9999999999843596,1,1.0,4,1.0,true,0.0,0.0
73,73,w73,2.7714285775806034e18,1.6647608169285471e9,true,true,1.5232048660436754,1.5232048660436714,-0.999999999999235,2,1.0,4,1.0,true,0.0,0.0
74,74,w74,2.7714285775806044e18,1.6647608169285474e9,true,true,1.523204866044258,1.5232048660442439,-0.9999999999999863,1,1.0,3,1.0,true,0.0,0.0
75,75,w75,2.8000000065915745e18,1.6733200550377607e9,true,true,2.183673470997984,2.1836734709979693,-0.28571428692530293,8,1.0,2,1.0,true,0.0,0.0
