mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,lambda_isfinite,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,phi_1_norm,phi_2_norm,rebuild_error,relative_rebuild_error
48,48,w48,1.832694456828628e18,0.0,true,true,true,3.5561275545514435,2.806019034584977,-1.0,7,0.9999999991404742,5,1.9041116317957298,1.0708217664238164,0.0,0.0
49,49,w49,1.8612433530693834e18,0.0,true,true,true,3.5485918718078016,2.6841596083430295,-1.0,13,0.9999999990092024,11,2.0221361535476445,1.1396301356649565,0.0,0.0
50,50,w50,4.244458437189055e18,0.0,true,true,true,3.115957060138889,2.298941508534771,-0.9999999996792115,15,1.0,9,1.886702340472011,0.9297368549340698,0.0,0.0
51,51,w51,4.693442921318183e18,0.0,true,true,true,3.287617873874936,2.498546647887838,-1.0,6,0.908536348931371,2,1.5195716800513608,1.5021976707931233,0.0,0.0
52,52,w52,4.71955687568147e18,0.0,true,true,true,3.2417112783223505,2.4459910854347378,-1.0,12,0.999999939597527,6,1.2072046838754353,1.751706731506542,0.0,0.0
53,53,w53,6.410801188359062e18,0.0,true,true,true,3.3985597580575093,1.7372704707701008,-0.7577281610821676,10,0.7577281588094761,8,2.67958960745025,1.1627120349092308,0.0,0.0
54,54,w54,8.853141521714459e18,0.0,true,true,true,4.162487853088744,1.4834807375897758,-0.6771286008116181,9,0.6771286006915603,15,3.784191516212449,0.8974879369312786,0.0,0.0
55,55,w55,2.172795636236254e19,0.0,true,true,true,3.43873975446976,2.0944399888907337,-0.878904473028965,1,0.8789044718411736,2,2.3732968483015484,1.3437686935436721,0.0,0.0
56,56,w56,2.1736373493615915e19,0.0,true,true,true,3.532786383257068,1.890219479924723,-0.7929063196048725,3,0.7929063187195698,4,2.7483714426992645,1.163659898937329,0.0,0.0
57,57,w57,Inf,0.0,false,false,true,1.4200568832726561,4.754826183364997e-6,-1.8958815593109187e-6,4,1.3125081775749295e-7,1,1.0041310317424261,1.0041326719111037,0.0,0.0
58,58,w58,Inf,0.0,false,false,true,1.9405904392899027,0.0017471404779733852,-0.0006118332195811266,3,4.7819839938405785e-5,1,1.3818160538297406,1.3625243461831908,0.0,0.0
59,59,w59,Inf,0.0,false,false,true,1.828829878506501,0.01045914976017322,-0.0010557098059245003,8,0.0027399540943478444,15,1.3014727059975335,1.284787191035097,0.0,0.0
60,60,w60,Inf,0.0,false,false,true,2.839460461825296,0.24222838315957262,-0.026478646518823475,14,0.07345203670615796,16,1.9992279314817483,2.001736446849143,0.0,0.0
61,61,w61,Inf,0.0,false,false,true,2.1599088337531054,0.23645269211159503,-0.01834082520679964,15,0.09292498844337821,2,1.4171465215092716,1.6127591361055904,0.0,0.0
62,62,w62,Inf,0.0,false,false,true,2.691181561957176,0.334122771602251,-0.02440395635424377,15,0.1343980196988072,8,2.0477132263853752,1.7139692865980682,0.0,0.0
63,63,w63,Inf,0.0,false,false,true,2.3060685056082018,0.4194438488100179,-0.16475231557438164,16,0.017657780785289186,14,1.487226287116847,1.7117759144123161,0.0,0.0
64,64,w64,Inf,0.0,false,false,true,2.316492847978381,0.14305378790931672,-0.04330759797093026,14,0.04630066767392636,9,1.4765559721936026,1.7791731757980143,0.0,0.0
65,65,w65,Inf,0.0,false,false,true,2.3255969647578763,0.5625355589440978,-0.2059993029886085,4,0.054240050427705834,15,1.8390555406100095,1.3076045678897443,0.0,0.0
66,66,w66,Inf,0.0,false,false,true,3.0086012623098592,1.9265108429591555,-0.6064486142786417,2,0.5892321570895931,9,1.6751241843430482,1.5919159822560733,0.0,0.0
67,67,w67,Inf,0.0,false,false,true,2.167907314837428,0.7655231390442307,-0.15830106493507803,2,0.3002835454577895,16,1.6034050772031108,1.2421306725593653,0.0,0.0
68,68,w68,Inf,0.0,false,false,true,3.052450952083874,1.5350382778942402,-0.46744203045561183,9,0.10380803122919538,14,1.78103200369014,1.9465454790753591,0.0,0.0
69,69,w69,Inf,0.0,false,false,true,3.4273872337265368,2.603085508377502,-0.5246990210806194,7,0.9254770859535388,16,1.3683067179536252,1.7603027613423954,0.0,0.0
70,70,w70,Inf,0.0,false,false,true,3.3480128099655997,1.1321230325149891,-0.45724758835955365,15,0.10860697525840311,8,2.2042385453519726,2.2514039286914813,0.0,0.0
71,71,w71,Inf,0.0,false,false,true,2.3408270231614363,1.246514833693046,-0.35696798965262944,15,0.3258283529528868,4,1.552401853459611,1.23114597311659,0.0,0.0
72,72,w72,Inf,0.0,false,false,true,1.9713130973037232,0.7507324874027691,-0.2837566065726776,16,0.11414443596632376,2,1.4663521023674242,1.0827222967325854,0.0,0.0
73,73,w73,Inf,0.0,false,false,true,2.9319703861753696,1.8397556440750669,-0.3435430770399216,3,0.6210364662510075,15,1.4015978408925678,1.8020191474866671,0.0,0.0
74,74,w74,Inf,0.0,false,false,true,2.4682720381541365,1.3027847003310304,-0.42388011316003543,10,0.050971279497187744,5,1.6111691030020014,1.3413623673149206,0.0,0.0
75,75,w75,Inf,0.0,false,false,true,3.2412662520437308,2.4170073344589107,-1.0,14,0.2520279731724791,16,1.5718265677336536,1.4809603987872488,0.0,0.0
