index,omega_sq_real,omega_sq_imag,Omega,is_finite,is_positive,is_real_mode
109.0,4.41901527293509e10,0.0,694.6628446984276,1.0,1.0,1.0
110.0,4.425570296456718e10,0.0,695.1778739093136,1.0,1.0,1.0
111.0,4.444453488642066e10,0.0,696.6594009698812,1.0,1.0,1.0
112.0,4.465881467074523e10,0.0,698.3367784991264,1.0,1.0,1.0
113.0,4.4675921337692085e10,0.0,698.4705154890918,1.0,1.0,1.0
114.0,4.48876228504546e10,0.0,700.1234473483688,1.0,1.0,1.0
115.0,4.524034358804496e10,0.0,702.8688013999846,1.0,1.0,1.0
116.0,4.568466598913188e10,0.0,706.311937178836,1.0,1.0,1.0
117.0,4.6019034522849106e10,0.0,708.8919924710057,1.0,1.0,1.0
118.0,4.605762598162851e10,0.0,709.1891677961412,1.0,1.0,1.0
119.0,4.627380166280385e10,0.0,710.851541573779,1.0,1.0,1.0
120.0,4.7555473763731255e10,0.0,720.6287348558516,1.0,1.0,1.0
121.0,4.78634785817446e10,0.0,722.9586337492975,1.0,1.0,1.0
122.0,4.789161372134057e10,0.0,723.1710875284209,1.0,1.0,1.0
123.0,4.798898249023883e10,0.0,723.9058563055062,1.0,1.0,1.0
124.0,4.80537137196309e10,0.0,724.3939217155051,1.0,1.0,1.0
125.0,4.825171781936895e10,0.0,725.8848108257321,1.0,1.0,1.0
126.0,4.8267043890483055e10,0.0,726.0000821515621,1.0,1.0,1.0
127.0,4.836294561245459e10,0.0,726.7209685209338,1.0,1.0,1.0
128.0,4.8369458983591415e10,0.0,726.7699031335973,1.0,1.0,1.0
129.0,4.875381658486696e10,0.0,729.6517505678631,1.0,1.0,1.0
130.0,4.883214335673136e10,0.0,730.2376362907532,1.0,1.0,1.0
131.0,4.8922695834713455e10,0.0,730.9143852155812,1.0,1.0,1.0
132.0,4.896523070974506e10,0.0,731.2320557459282,1.0,1.0,1.0
133.0,4.898639415387348e10,0.0,731.3900629351608,1.0,1.0,1.0
134.0,4.967785412518004e10,0.0,736.5338872359954,1.0,1.0,1.0
135.0,4.974191727903405e10,0.0,737.0086408496524,1.0,1.0,1.0
136.0,5.040899978951545e10,0.0,741.9341464722517,1.0,1.0,1.0
137.0,5.09916620134712e10,0.0,746.2097219864571,1.0,1.0,1.0
138.0,5.100053134088628e10,0.0,746.2746158368768,1.0,1.0,1.0
139.0,5.128097146148742e10,0.0,748.3235986920649,1.0,1.0,1.0
140.0,5.132900226803143e10,0.0,748.6739642640869,1.0,1.0,1.0
141.0,5.138880145570203e10,0.0,749.1099464673167,1.0,1.0,1.0
142.0,5.141280664769266e10,0.0,749.2848914750675,1.0,1.0,1.0
143.0,5.186799291146262e10,0.0,752.5945007726085,1.0,1.0,1.0
144.0,5.2029684521010056e10,0.0,753.7666449037326,1.0,1.0,1.0
145.0,5.2290890760060234e10,0.0,755.656355164077,1.0,1.0,1.0
146.0,5.234218201706927e10,0.0,756.0268696457795,1.0,1.0,1.0
147.0,5.23820799804584e10,0.0,756.3149564742229,1.0,1.0,1.0
148.0,5.274845858591261e10,0.0,758.9553134132244,1.0,1.0,1.0
149.0,5.27677172479162e10,0.0,759.0938494990227,1.0,1.0,1.0
150.0,5.392708276251615e10,0.0,767.3876098600214,1.0,1.0,1.0
151.0,5.417997653972656e10,0.0,769.1848567241909,1.0,1.0,1.0
152.0,5.4283814624723465e10,0.0,769.9215906194477,1.0,1.0,1.0
153.0,5.43309127402737e10,0.0,770.2555206707633,1.0,1.0,1.0
154.0,5.455992570355304e10,0.0,771.8771849736195,1.0,1.0,1.0
155.0,5.5532427963902336e10,0.0,778.7259552408751,1.0,1.0,1.0
156.0,5.5561635584873985e10,0.0,778.9307161659655,1.0,1.0,1.0
157.0,5.564444994780515e10,0.0,779.5109963496552,1.0,1.0,1.0
158.0,5.595200635877247e10,0.0,781.6622732598748,1.0,1.0,1.0
159.0,5.5985194154258644e10,0.0,781.8940594252551,1.0,1.0,1.0
160.0,5.654170477179389e10,0.0,785.7705874541177,1.0,1.0,1.0
161.0,5.655427842387907e10,0.0,785.8579517882092,1.0,1.0,1.0
162.0,5.671329323528135e10,0.0,786.9619826454594,1.0,1.0,1.0
163.0,5.732254427284535e10,0.0,791.1777192638018,1.0,1.0,1.0
164.0,5.7773975087480385e10,0.0,794.286980854707,1.0,1.0,1.0
165.0,5.822505978563154e10,0.0,797.3817485113992,1.0,1.0,1.0
166.0,5.8245566847425865e10,0.0,797.5221564156637,1.0,1.0,1.0
167.0,5.8468019739160255e10,0.0,799.0436631071108,1.0,1.0,1.0
168.0,5.867947041292033e10,0.0,800.4872371931298,1.0,1.0,1.0
169.0,6.006539536786094e10,0.0,809.8852495366498,1.0,1.0,1.0
170.0,6.033171936235315e10,0.0,811.6787390568367,1.0,1.0,1.0
171.0,6.036531282742702e10,0.0,811.904684107379,1.0,1.0,1.0
172.0,6.041540377781269e10,0.0,812.2414722566896,1.0,1.0,1.0
173.0,6.04843202037391e10,0.0,812.7046060069002,1.0,1.0,1.0
174.0,6.0525994537363174e10,0.0,812.9845388123971,1.0,1.0,1.0
175.0,6.054139360310572e10,0.0,813.0879522818639,1.0,1.0,1.0
176.0,6.059705177474885e10,0.0,813.4616188734766,1.0,1.0,1.0
177.0,6.0983196762434235e10,0.0,816.0493297869815,1.0,1.0,1.0
178.0,6.110031828215812e10,0.0,816.8325872791601,1.0,1.0,1.0
179.0,6.1117738855629585e10,0.0,816.9490242992368,1.0,1.0,1.0
180.0,6.170846103930034e10,0.0,820.8875651081332,1.0,1.0,1.0
181.0,6.213451911996116e10,0.0,823.7165463859372,1.0,1.0,1.0
182.0,6.218146468257629e10,0.0,824.0276660001975,1.0,1.0,1.0
183.0,6.2425489138285065e10,0.0,825.6429866413648,1.0,1.0,1.0
184.0,6.250259353700568e10,0.0,826.1527228207276,1.0,1.0,1.0
185.0,6.2835562766172226e10,0.0,828.3503759923096,1.0,1.0,1.0
186.0,6.29357209828128e10,0.0,829.0102973620507,1.0,1.0,1.0
187.0,6.353296393325341e10,0.0,832.9345509409051,1.0,1.0,1.0
188.0,6.367589929863026e10,0.0,833.8709854294262,1.0,1.0,1.0
189.0,6.376055738584212e10,0.0,834.4251234553019,1.0,1.0,1.0
190.0,6.397995981451026e10,0.0,835.8595343563726,1.0,1.0,1.0
191.0,6.421325175187903e10,0.0,837.3820568477205,1.0,1.0,1.0
192.0,6.427165295441182e10,0.0,837.7627649055412,1.0,1.0,1.0
193.0,6.515709589740166e10,0.0,843.5137741611729,1.0,1.0,1.0
194.0,6.5219860327643616e10,0.0,843.9199457163388,1.0,1.0,1.0
195.0,6.571048904374648e10,0.0,847.0882718806297,1.0,1.0,1.0
