mode,vtk_w_field,lambda,k_num,k_ref,w_min,w_min_node,w_max,w_max_node,max_abs_w,w_norm,phi_1_norm,phi_2_norm,normalized_max_abs_w,rebuild_error,relative_rebuild_error
19,w19,3.988058847181912e8,4412.497283722909,4.0,-1.0,18,0.9986501361183723,19,1.0,4.87537999785823,5.374051205322344,93.0308985849613,true,0.0,0.0
20,w20,4.398188208682255e8,4866.275616225214,4.0,-0.9635363870862806,22,1.0,21,1.0,4.339776258800281,28.442562718421314,328.25201240396086,true,0.0,0.0
21,w21,7.035436226288627e8,7784.198886694182,4.0,-1.0,24,0.9345270119561977,25,1.0,3.9423056026170435,57.299663591156865,625.1096172144397,true,0.0,0.0
22,w22,1.803294330381383e9,19952.141228265635,4.0,-1.0,20,0.9941272717923013,21,1.0,4.961332947924694,26.3725854643515,325.0447300958185,true,0.0,0.0
23,w23,1.8381671439820368e9,20337.983567070125,4.0,-1.0,22,0.9982225400172182,17,1.0,4.946182837011742,48.618687935588795,504.3383472967102,true,0.0,0.0
24,w24,2.0281300899301226e9,22439.78550912581,4.0,-1.0,24,0.995192249301169,25,1.0,4.877970691308589,92.22532555130192,1009.9251926458298,true,0.0,0.0
25,w25,2.961388970594168e9,32765.6167812754,4.0,-1.0,24,0.9992602551467246,23,1.0,4.971188222942811,104.2706556099527,1083.9671847035697,true,0.0,0.0
26,w26,2.3587087680420295e15,2.609739833561719e10,4.0,-0.9776346762055405,13,1.0,12,1.0,3.8302072220145655,53.22725180087478,488.7624993870886,true,0.0,0.0
27,w27,4.4312981680660865e15,4.90290938002952e10,4.0,-1.0,24,0.9999999999997029,25,1.0,4.999999999993729,205.56903029973913,2109.210242935743,true,0.0,0.0
28,w28,1.4921894108762934e16,1.6509991388277515e11,4.0,-0.9717518136667668,11,1.0,3,1.0,3.3141422665875417,36.16463224784883,131.06464014396886,true,0.0,0.0
29,w29,5.000000001487092e16,5.532136628517e11,4.0,-0.9200145216090903,14,1.0,9,1.0,3.6527948763395277,272.71944081602004,112.09759683930731,true,0.0,0.0
30,w30,5.000000009265488e16,5.532136637123229e11,4.0,-1.0,16,0.7365594554783894,23,1.0,2.6427340914202544,12.289478700122634,7.291329058412553,true,0.0,0.0
31,w31,5.000000066027293e16,5.532136699926041e11,4.0,-0.9880683379097301,9,1.0,15,1.0,2.221123710694898,95.64553882962655,44.92854264718588,true,0.0,0.0
32,w32,5.636223476231866e16,6.23607166601922e11,4.0,-1.0,16,0.9999999999999428,1,1.0,4.999999999994477,410.06093361921285,239.75533557529747,true,0.0,0.0
33,w33,6.2347173728398824e16,6.898261667296088e11,4.0,-0.6543687514115749,20,1.0,6,1.0,2.4252051589036445,135.483534098068,51.652033731015926,true,0.0,0.0
34,w34,3.350781064621547e17,3.7073957312441616e12,4.0,-0.7421525843427258,5,1.0,4,1.0,2.3772622450698817,212.48842419683493,19.541557706740193,true,0.0,0.0
