mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
349,1,1,64783526509.3666,19.7392,0.024534,1.60e-11
350,1,1,64783526693.4312,19.7392,0.024534,1.28e-11
351,1,1,64783526705.0541,19.7392,0.024534,1.05e-11
352,1,1,64783839558.3365,19.7392,0.024534,1.88e-11
353,1,1,64783839586.4146,19.7392,0.024534,1.12e-11
354,1,1,64783841328.6826,19.7392,0.024534,1.09e-11
355,1,1,64783841362.5831,19.7392,0.024534,1.02e-11
356,1,1,64783992169.9186,19.7392,0.024534,4.22e-11
357,1,1,64783992350.4305,19.7392,0.024534,1.93e-11
358,1,1,64783992957.7161,19.7392,0.024534,1.62e-11
359,1,1,64783993152.1167,19.7392,0.024534,7.58e-12
360,1,1,64783998331.3308,19.7392,0.024534,3.07e-11
361,1,1,64783998368.3938,19.7392,0.024534,1.83e-11
362,1,1,64783998980.3183,19.7392,0.024534,1.08e-11
363,1,1,64783999010.5617,19.7392,0.024534,7.66e-12
364,1,1,64784235942.6334,19.7392,0.024534,1.55e-11
365,1,1,64784236014.6479,19.7392,0.024534,1.42e-11
366,1,1,64784260728.2104,19.7392,0.024534,2.05e-11
367,1,1,64784260785.1231,19.7392,0.024534,1.09e-11
368,1,1,64784611602.5592,19.7392,0.024534,3.29e-11
369,1,1,64784611607.8141,19.7392,0.024534,3.04e-11
370,1,1,64784612478.1500,19.7392,0.024534,9.56e-12
371,1,1,64784612483.6986,19.7392,0.024534,8.02e-12
372,1,1,64784771603.9465,19.7392,0.024534,1.76e-11
373,1,1,64784771631.9297,19.7392,0.024534,1.76e-11
374,1,1,64784772831.3615,19.7392,0.024534,1.21e-11
375,1,1,64784772856.6621,19.7392,0.024534,7.14e-12
376,1,1,64784989387.3257,19.7392,0.024534,2.15e-11
377,1,1,64784989410.1725,19.7392,0.024534,2.75e-11
378,1,1,64784990733.4334,19.7392,0.024534,9.91e-12
379,1,1,64784990755.0288,19.7392,0.024534,6.86e-12
380,1,1,64785135362.0719,19.7392,0.024534,9.62e-11
381,1,1,64785135371.7760,19.7392,0.024534,6.12e-11
382,1,1,64785136431.8728,19.7392,0.024534,1.02e-11
383,1,1,64785136442.6371,19.7392,0.024534,7.24e-12
384,1,1,64785153639.4741,19.7392,0.024534,5.22e-11
385,1,1,64785153649.4884,19.7392,0.024534,5.12e-11
386,1,1,64785154639.4628,19.7392,0.024534,8.01e-12
387,1,1,64785154648.7062,19.7392,0.024534,1.14e-11
388,1,1,64785195473.3017,19.7392,0.024534,3.59e-11
389,1,1,64785195477.2274,19.7392,0.024534,4.54e-11
390,1,1,64785196707.2785,19.7392,0.024534,1.24e-11
391,1,1,64785196711.2220,19.7392,0.024534,7.61e-12
392,1,1,64785220637.2626,19.7392,0.024534,1.99e-10
393,1,1,64785220637.3699,19.7392,0.024534,1.36e-10
394,1,1,64785221762.1568,19.7392,0.024534,1.09e-11
395,1,1,64785221762.2400,19.7392,0.024534,7.78e-12
396,1,1,64785300552.9292,19.7392,0.024534,3.59e-11
397,1,1,64785300561.4726,19.7392,0.024534,4.12e-11
398,1,1,64785301736.7574,19.7392,0.024534,1.09e-11
399,1,1,64785301745.2445,19.7392,0.024534,8.08e-12
400,1,1,64785352141.5157,19.7392,0.024534,3.03e-11
401,1,1,64785352248.4755,19.7392,0.024534,1.22e-11
402,1,1,64785360908.2964,19.7392,0.024534,1.38e-10
403,1,1,64785360908.8567,19.7392,0.024534,7.99e-11
404,1,1,64785362012.2937,19.7392,0.024534,1.15e-11
405,1,1,64785362012.8298,19.7392,0.024534,6.91e-12
406,1,1,64785385929.3407,19.7392,0.024534,1.46e-10
407,1,1,64785385929.4193,19.7392,0.024534,1.99e-10
408,1,1,64785387052.3419,19.7392,0.024534,9.80e-12
409,1,1,64785387052.4206,19.7392,0.024534,7.52e-12
410,1,1,64785739029.9670,19.7392,0.024534,9.63e-12
411,1,1,64785739042.8020,19.7392,0.024534,9.48e-12
412,1,1,64785739299.6803,19.7392,0.024534,1.07e-11
413,1,1,64785739390.4883,19.7392,0.024534,7.64e-12
414,1,1,64785760496.5769,19.7392,0.024534,1.04e-11
415,1,1,64785760682.9334,19.7392,0.024534,9.17e-12
416,1,1,64785792005.7196,19.7392,0.024534,1.20e-11
417,1,1,64785792174.4493,19.7392,0.024534,8.07e-12
418,1,1,64785884235.1036,19.7392,0.024534,9.40e-12
419,1,1,64785884415.4037,19.7392,0.024534,8.88e-12
420,1,1,64785901969.7855,19.7392,0.024534,1.18e-11
421,1,1,64785902135.0764,19.7392,0.024534,7.59e-12
422,1,1,64785930663.9780,19.7392,0.024534,1.09e-11
423,1,1,64785930706.3725,19.7392,0.024534,1.08e-11
424,1,1,64785930945.9869,19.7392,0.024534,1.05e-11
425,1,1,64785930989.0725,19.7392,0.024534,8.11e-12
426,1,1,64786080264.1179,19.7392,0.024534,1.60e-11
427,1,1,64786080273.3005,19.7392,0.024534,1.19e-11
428,1,1,64786080437.1783,19.7392,0.024534,2.18e-11
429,1,1,64786080451.1052,19.7392,0.024534,1.63e-11
430,1,1,64786897009.0578,19.7392,0.024534,1.99e-11
431,1,1,64786897014.6347,19.7392,0.024534,1.94e-11
432,1,1,64786906007.1923,19.7392,0.024534,1.96e-11
433,1,1,64786906008.5306,19.7392,0.024534,1.35e-11
434,1,1,64787087644.9537,19.7392,0.024534,8.34e-12
435,1,1,64787087656.2963,19.7392,0.024534,1.58e-11
436,1,1,64787096372.6434,19.7392,0.024534,1.31e-11
437,1,1,64787096400.3683,19.7392,0.024534,1.26e-11
438,1,1,64787815163.7131,19.7392,0.024534,1.92e-11
439,1,1,64787815168.1225,19.7392,0.024534,1.44e-11
440,1,1,64787815632.1817,19.7392,0.024534,1.05e-11
441,1,1,64787815634.9741,19.7392,0.024534,8.81e-12
442,1,1,64788307700.4822,19.7392,0.024534,1.31e-11
443,1,1,64788307706.8546,19.7392,0.024534,1.70e-11
444,1,1,64788307811.5409,19.7392,0.024534,1.83e-11
445,1,1,64788307902.7011,19.7392,0.024534,1.29e-11
446,1,1,64788658174.8986,19.7392,0.024534,1.88e-11
447,1,1,64788658204.0937,19.7392,0.024534,1.63e-11
448,1,1,64788658812.2382,19.7392,0.024534,1.01e-11
449,1,1,64788658838.2664,19.7392,0.024534,7.49e-12
450,1,1,64789387791.7115,19.7392,0.024534,1.77e-11
451,1,1,64789387810.1403,19.7392,0.024534,1.05e-11
452,1,1,64789390500.8659,19.7392,0.024534,9.19e-12
453,1,1,64789390539.4504,19.7392,0.024534,1.24e-11
454,1,1,64789410088.2430,19.7392,0.024534,1.19e-11
455,1,1,64789410100.3844,19.7392,0.024534,1.52e-11
456,1,1,64789421791.2634,19.7392,0.024534,1.05e-11
457,1,1,64789421797.3517,19.7392,0.024534,1.66e-11
458,1,1,64789548938.8211,19.7392,0.024534,1.73e-11
459,1,1,64789549007.8289,19.7392,0.024534,1.42e-11
460,1,1,64789639934.5349,19.7392,0.024534,1.78e-11
461,1,1,64789639984.0543,19.7392,0.024534,2.12e-11
462,1,1,64789686380.7057,19.7392,0.024534,9.47e-12
463,1,1,64789686435.7401,19.7392,0.024534,1.87e-11
