mode_rank,matched_m,matched_n,Omega_exact,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct
265,19,1,3572.7968,99.999997,0.000003,0.000000
266,2,19,3602.4056,99.999997,0.000000,0.000003
267,19,2,3602.4056,99.999997,0.000003,0.000000
268,13,14,3602.4056,99.999997,0.000001,0.000002
269,14,13,3602.4056,99.999997,0.000002,0.000001
270,12,15,3641.8840,99.999997,0.000001,0.000002
271,15,12,3641.8840,99.999997,0.000002,0.000001
272,3,19,3651.7536,99.999997,0.000000,0.000003
273,19,3,3651.7536,99.999997,0.000003,0.000000
274,9,17,3651.7536,99.999997,0.000001,0.000002
275,17,9,3651.7536,99.999997,0.000002,0.000001
276,7,18,3681.3624,99.999997,0.000000,0.000003
277,18,7,3681.3624,99.999997,0.000003,0.000000
278,4,19,3720.8409,99.999997,0.000000,0.000003
279,19,4,3720.8409,99.999997,0.000003,0.000000
280,11,16,3720.8409,99.999997,0.000001,0.000002
281,16,11,3720.8409,99.999997,0.000002,0.000001
282,5,19,3809.6673,99.999997,0.000000,0.000003
283,19,5,3809.6673,99.999997,0.000003,0.000000
284,8,18,3829.4065,99.999997,0.000001,0.000003
285,18,8,3829.4065,99.999997,0.000003,0.000001
286,10,17,3839.2761,99.999997,0.000001,0.000002
287,17,10,3839.2761,99.999997,0.000002,0.000001
288,14,14,3868.8849,99.999997,0.000002,0.000002
289,13,15,3888.6241,99.999997,0.000001,0.000002
290,15,13,3888.6241,99.999997,0.000002,0.000001
291,6,19,3918.2329,99.999997,0.000000,0.000003
292,19,6,3918.2329,99.999997,0.000003,0.000000
293,12,16,3947.8418,99.999997,0.000001,0.000002
294,16,12,3947.8418,99.999997,0.000002,0.000001
295,1,20,3957.7114,99.999997,0.000000,0.000003
296,20,1,3957.7114,99.999997,0.000003,0.000000
297,2,20,3987.3202,99.999997,0.000000,0.000003
298,20,2,3987.3202,99.999997,0.000003,0.000000
299,9,18,3997.1898,99.999997,0.000001,0.000003
300,18,9,3997.1898,99.999997,0.000003,0.000001
301,3,20,4036.6682,99.999997,0.000000,0.000003
302,20,3,4036.6682,99.999997,0.000003,0.000000
303,7,19,4046.5378,99.999997,0.000000,0.000003
304,19,7,4046.5378,99.999997,0.000003,0.000000
305,11,17,4046.5378,99.999997,0.000001,0.000002
306,17,11,4046.5378,99.999997,0.000002,0.000001
307,4,20,4105.7554,99.999997,0.000000,0.000003
308,20,4,4105.7554,99.999997,0.000003,0.000000
309,14,15,4155.1035,99.999997,0.000002,0.000002
310,15,14,4155.1035,99.999997,0.000002,0.000002
311,10,18,4184.7123,99.999997,0.000001,0.000003
312,18,10,4184.7123,99.999997,0.000003,0.000001
313,5,20,4194.5819,99.999997,0.000000,0.000003
314,20,5,4194.5819,99.999997,0.000003,0.000000
315,8,19,4194.5819,99.999997,0.000001,0.000003
316,19,8,4194.5819,99.999997,0.000003,0.000001
317,13,16,4194.5819,99.999997,0.000001,0.000002
318,16,13,4194.5819,99.999997,0.000002,0.000001
319,12,17,4273.5387,99.999996,0.000001,0.000002
320,17,12,4273.5387,99.999996,0.000002,0.000001
321,6,20,4303.1475,99.999996,0.000000,0.000003
322,20,6,4303.1475,99.999996,0.000003,0.000000
323,9,19,4362.3651,99.999996,0.000001,0.000003
324,19,9,4362.3651,99.999996,0.000003,0.000001
