mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
226,1,1,1688.8366,19.7392,-1.710786,9.13e-09
227,1,1,1698.1182,19.7392,-1.710786,5.79e-09
228,1,1,1701.0476,19.7392,-1.710786,9.91e-09
229,1,1,1725.3957,19.7392,-1.710786,5.77e-09
230,1,1,1727.1494,19.7392,-1.710786,1.54e-08
231,1,1,1732.6528,19.7392,-1.710786,1.13e-08
232,1,1,1766.6467,19.7392,-1.710786,5.76e-09
233,1,1,1775.5152,19.7392,-1.710786,6.94e-09
234,1,1,1778.9431,19.7392,-1.710786,7.03e-09
235,1,1,1807.3179,19.7392,-1.710786,5.27e-09
236,1,1,1810.6750,19.7392,-1.710786,1.20e-08
237,1,1,1812.7044,19.7392,-1.710786,9.55e-09
238,1,1,1815.4708,19.7392,-1.710786,5.21e-09
239,1,1,1839.2882,19.7392,-1.710786,6.51e-09
240,1,1,1854.3926,19.7392,-1.710786,6.62e-09
241,1,1,1859.1302,19.7392,-1.710786,6.39e-09
242,1,1,1899.9927,19.7392,-1.710786,6.39e-09
243,1,1,1901.5432,19.7392,-1.710786,6.15e-09
244,1,1,1902.2927,19.7392,-1.710786,4.91e-09
245,1,1,1915.7834,19.7392,-1.710786,6.74e-09
246,1,1,1924.4477,19.7392,-1.710786,1.09e-08
247,1,1,1924.6521,19.7392,-1.710786,5.78e-09
248,1,1,1966.7217,19.7392,-1.710786,6.31e-09
249,1,1,1968.3683,19.7392,-1.710786,1.05e-08
250,1,1,1982.6393,19.7392,-1.710786,5.48e-09
251,1,1,1983.3407,19.7392,-1.710786,4.82e-09
252,1,1,1996.8604,19.7392,-1.710786,5.62e-09
253,1,1,2008.3102,19.7392,-1.710786,6.55e-09
254,1,1,2015.6317,19.7392,-1.710786,9.30e-09
255,1,1,2040.4948,19.7392,-1.710786,4.08e-09
256,1,1,2040.8897,19.7392,-1.710786,3.98e-09
257,1,1,77766.3068,19.7392,-1.710786,4.56e-12
258,1,1,77766.3872,19.7392,-1.710786,2.07e-12
259,1,1,77766.9315,19.7392,-1.710786,2.73e-12
260,1,1,77767.3189,19.7392,-1.710786,4.66e-12
261,1,1,77767.7735,19.7392,-1.710786,5.82e-12
262,1,1,77768.5505,19.7392,-1.710786,3.34e-12
263,1,1,77769.3382,19.7392,-1.710786,3.40e-12
