mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
270,1,1,815.4443,19.7392,-1.104537,2.21e-12
271,1,1,815.8576,19.7392,-1.104537,5.99e-12
272,1,1,818.1129,19.7392,-1.104537,1.92e-12
273,1,1,818.2230,19.7392,-1.104537,3.00e-12
274,1,1,818.3329,19.7392,-1.104537,2.06e-12
275,1,1,821.1597,19.7392,-1.104537,3.78e-12
276,1,1,821.2196,19.7392,-1.104537,2.04e-11
277,1,1,822.4477,19.7392,-1.104537,3.65e-12
278,1,1,822.9469,19.7392,-1.104537,5.23e-12
279,1,1,831.0910,19.7392,-1.104537,3.99e-12
280,1,1,833.1927,19.7392,-1.104537,2.90e-12
281,1,1,833.2585,19.7392,-1.104537,1.01e-11
282,1,1,839.2594,19.7392,-1.104537,4.45e-12
283,1,1,844.1628,19.7392,-1.104537,4.11e-12
284,1,1,845.7531,19.7392,-1.104537,4.30e-12
285,1,1,846.2582,19.7392,-1.104537,4.06e-12
286,1,1,846.6067,19.7392,-1.104537,5.91e-12
287,1,1,848.2429,19.7392,-1.104537,1.17e-11
288,1,1,850.8940,19.7392,-1.104537,5.11e-12
289,1,1,851.2262,19.7392,-1.104537,2.38e-12
290,1,1,852.8766,19.7392,-1.104537,1.91e-12
291,1,1,853.1736,19.7392,-1.104537,5.19e-12
292,1,1,857.1904,19.7392,-1.104537,6.72e-12
293,1,1,863.6910,19.7392,-1.104537,7.23e-12
294,1,1,867.9130,19.7392,-1.104537,1.99e-12
295,1,1,868.0186,19.7392,-1.104537,9.13e-12
296,1,1,872.1175,19.7392,-1.104537,2.84e-11
297,1,1,875.0046,19.7392,-1.104537,8.93e-12
298,1,1,878.2579,19.7392,-1.104537,2.04e-12
299,1,1,878.7629,19.7392,-1.104537,3.97e-12
300,1,1,879.0095,19.7392,-1.104537,3.10e-12
301,1,1,879.1114,19.7392,-1.104537,1.80e-12
302,1,1,880.7691,19.7392,-1.104537,3.01e-12
303,1,1,881.6068,19.7392,-1.104537,4.35e-12
304,1,1,881.7194,19.7392,-1.104537,1.00e-11
305,1,1,884.5493,19.7392,-1.104537,4.71e-12
306,1,1,885.1735,19.7392,-1.104537,3.45e-12
307,1,1,890.6196,19.7392,-1.104537,4.20e-12
308,1,1,892.9569,19.7392,-1.104537,6.56e-12
309,1,1,897.9620,19.7392,-1.104537,1.91e-12
310,1,1,898.3879,19.7392,-1.104537,4.42e-12
311,1,1,898.6502,19.7392,-1.104537,1.87e-12
312,1,1,901.5126,19.7392,-1.104537,1.83e-12
313,1,1,902.1554,19.7392,-1.104537,6.16e-12
314,1,1,904.1050,19.7392,-1.104537,4.26e-12
315,1,1,908.4337,19.7392,-1.104537,4.17e-12
316,1,1,911.2771,19.7392,-1.104537,1.32e-11
317,1,1,912.8945,19.7392,-1.104537,1.15e-11
318,1,1,915.2347,19.7392,-1.104537,1.74e-11
319,1,1,918.3853,19.7392,-1.104537,2.52e-12
320,1,1,918.4989,19.7392,-1.104537,7.72e-12
321,1,1,921.9278,19.7392,-1.104537,5.57e-12
322,1,1,922.9651,19.7392,-1.104537,2.07e-12
323,1,1,923.3412,19.7392,-1.104537,5.43e-12
324,1,1,928.8942,19.7392,-1.104537,4.37e-12
325,1,1,928.9025,19.7392,-1.104537,7.48e-12
326,1,1,933.4760,19.7392,-1.104537,2.42e-12
327,1,1,933.4812,19.7392,-1.104537,2.03e-12
328,1,1,933.6541,19.7392,-1.104537,3.53e-12
329,1,1,940.5058,19.7392,-1.104537,5.29e-12
330,1,1,942.4562,19.7392,-1.104537,2.50e-12
331,1,1,942.7167,19.7392,-1.104537,6.44e-12
332,1,1,946.5647,19.7392,-1.104537,3.67e-12
333,1,1,948.8018,19.7392,-1.104537,2.77e-12
334,1,1,949.3549,19.7392,-1.104537,1.50e-11
335,1,1,950.2958,19.7392,-1.104537,7.78e-12
336,1,1,950.5042,19.7392,-1.104537,2.05e-12
337,1,1,951.1042,19.7392,-1.104537,7.76e-12
338,1,1,956.6295,19.7392,-1.104537,3.26e-12
339,1,1,960.9292,19.7392,-1.104537,3.50e-12
340,1,1,962.1531,19.7392,-1.104537,1.80e-12
341,1,1,962.1936,19.7392,-1.104537,1.44e-12
342,1,1,962.8408,19.7392,-1.104537,4.01e-12
343,1,1,963.4848,19.7392,-1.104537,2.36e-12
344,1,1,966.0774,19.7392,-1.104537,6.00e-12
345,1,1,970.9531,19.7392,-1.104537,7.63e-12
346,1,1,971.7333,19.7392,-1.104537,1.93e-12
347,1,1,971.8266,19.7392,-1.104537,1.15e-11
348,1,1,979.8211,19.7392,-1.104537,1.57e-12
349,1,1,981.6440,19.7392,-1.104537,3.90e-12
350,1,1,983.8794,19.7392,-1.104537,8.61e-12
351,1,1,984.0619,19.7392,-1.104537,1.83e-12
352,1,1,984.1090,19.7392,-1.104537,5.19e-12
353,1,1,984.2787,19.7392,-1.104537,1.32e-11
354,1,1,985.1264,19.7392,-1.104537,1.65e-12
355,1,1,986.6755,19.7392,-1.104537,3.94e-12
356,1,1,988.0898,19.7392,-1.104537,2.42e-12
357,1,1,989.2899,19.7392,-1.104537,1.97e-12
358,1,1,991.6316,19.7392,-1.104537,2.78e-12
359,1,1,993.4248,19.7392,-1.104537,5.30e-12
360,1,1,993.7386,19.7392,-1.104537,2.24e-12
361,1,1,999.4448,19.7392,-1.104537,1.04e-11
362,1,1,1000.9630,19.7392,-1.104537,6.83e-12
363,1,1,1008.4175,19.7392,-1.104537,1.53e-11
