mode_rank,omega_num,freq_num_hz,m,n,omega_exact,freq_exact_hz,Omega_num,Omega_exact,rel_error_percent,abs_rel_error_percent,relative_residual,residual_within_tolerance,vector_norm,w_norm
25,145421.6557144126,23144.575339556533,2,6,78855.43433539786,12550.232164136936,480.55201677016703,260.58112058345426,84.41551548100907,84.41551548100907,2.542353341609354e-07,1,8462.722823903208,1.9999993098928843
26,147834.03147460808,23528.516866386715,6,2,78855.43433539795,12550.23216413695,488.52381458167076,260.58112058345455,87.47475392224916,87.47475392224916,3.971845720499781e-07,1,13158.060696072467,2.2264744762144657
27,147834.03147759993,23528.516866862883,5,4,80295.71783734502,12779.460402925532,488.5238145915575,265.340598380494,84.11197441072417,84.11197441072417,2.471493861059175e-07,1,13158.090051965562,2.2264784807490607
28,150461.63599812236,23946.71311479464,4,5,80295.71783734512,12779.460402925548,497.2068449518446,265.3405983804943,87.38438368894367,87.38438368894367,3.987844761277018e-07,1,39255.33773971978,1.9999978139913397
29,153608.05991105386,24447.482033600227,3,6,85915.4831162536,13673.873826080036,507.6043359551275,283.91135062016076,78.78972955689999,78.78972955689999,2.571513233627176e-07,1,7133.770263890405,1.3288866164548565
30,156775.73089245002,24951.63252837818,6,3,85915.4831162536,13673.873826080036,518.0720387955057,283.91135062016076,82.47669128545121,82.47669128545121,1.502740381574853e-07,1,33054279423.507786,1.716257408863007
31,156970.55756612326,24982.64015653943,1,7,92648.6154110613,14745.485113290359,518.7158517853547,306.16127129087903,69.42569175986041,69.42569175986041,1.6603248626096005e-07,1,2141.6141335720304,1.9999996830167728
32,158010.45885290182,25148.14558665786,5,5,92648.6154110613,14745.485113290359,522.1522496048427,306.16127129087903,70.54810603681942,70.54810603681942,1.4664439878401172e-07,1,941.725216174536,1.8254262067065583
33,158010.45907398828,25148.145621844862,7,1,92648.6154110613,14745.485113290359,522.1522503354322,306.16127129087903,70.54810627544839,70.54810627544839,3.4020928493290814e-08,1,941.7252036391768,1.825426216327178
34,164682.77607799452,26210.077854908563,6,4,95259.16266436674,15160.96661282889,544.2012043034848,314.78793518964125,72.87867274062951,72.87867274062951,9.66392639766748e-08,1,1565.339079684442,1.727628334629749
35,164682.77621391416,26210.077876540843,4,6,95259.16266436681,15160.9666128289,544.2012047526371,314.7879351896415,72.87867288331347,72.87867288331347,1.0382317901408325e-07,1,1565.3390895398868,1.7276283414696436
36,165356.63337817875,26317.325575171442,7,2,96547.8184360837,15366.062548841546,546.4279942752258,319.04635273398037,71.26915559220808,71.26915559220808,3.471876543704459e-08,1,508.4392922530174,1.99999993902742
37,167311.98943511295,26628.530157137197,2,7,96547.81843608378,15366.062548841557,552.8895511324029,319.04635273398065,73.29442772016252,73.29442772016252,5.949901568969205e-08,1,243.71769850160783,1.230415726012028
38,167606.5866059473,26675.416753096368,7,3,102834.68041805105,16366.64770980816,553.8630599532435,339.8215542660221,62.9864418546163,62.9864418546163,1.8419675658018541e-07,1,127711.28683470258,1.999982599479161
39,168770.6031108146,26860.675733686556,3,7,102834.68041805121,16366.647709808185,557.7096017645008,339.8215542660226,64.11837176399612,64.11837176399612,4.855352155116074e-07,1,52996214611.79724,1.4808865405282818
40,168770.60318824364,26860.675746009765,6,5,106489.6197884536,16948.349377308903,557.7096020203683,351.8994561231493,58.48549701230412,58.48549701230412,2.941179186546711e-07,1,1955682764.5135224,1.244042134180952
41,174046.26150478827,27700.322845151713,5,6,106489.61978845367,16948.349377308914,575.143238237416,351.89945612314955,63.439649658378784,63.439649658378784,4.235505428522268e-08,1,399.2078229749943,1.9999993350466492
42,174713.3101833953,27806.48693963494,1,8,111237.22265879717,17703.953841961353,577.3475288309573,367.58811076649846,57.063711235672564,57.063711235672564,5.491450760972215e-08,1,618.898895778549,2.94288037125231
43,175157.54475312098,27877.18906729908,4,7,111237.22265879717,17703.953841961353,578.8155207703418,367.58811076649846,57.46306907570807,57.46306907570807,1.5577260016416465e-07,1,1743.954018306112,2.32306177938557
44,175157.54476647617,27877.189069424625,7,4,111237.22265879724,17703.953841961367,578.8155208144746,367.5881107664987,57.46306908771401,57.46306908771401,4.1994299836791146e-08,1,1743.9545675821576,2.3230628158697377
45,177584.60713317548,28263.468042277134,8,1,111237.22265879724,17703.953841961367,586.8358511388303,367.5881107664987,59.644948775724515,59.644948775724515,4.0555352379311255e-08,1,496.5854505884169,2.296685132268341
46,177584.6071625826,28263.468046957423,2,8,114709.78150400179,18256.628747353152,586.8358512360074,379.0633284582385,54.81208736884165,54.81208736884165,2.6289084555456825e-08,1,496.5855010042037,2.2966853484416405
47,178567.18587582157,28419.85030614628,8,2,114709.78150400179,18256.628747353152,590.0828241848625,379.0633284582385,55.66866533486687,55.66866533486687,2.786339761757724e-07,1,7805544590.995293,2.535278063910465
48,180435.5441489496,28717.20876078124,6,6,119230.33221895191,18976.096739135068,596.2568931829775,394.00167964334196,51.33359170517265,51.33359170517265,6.121462998196323e-08,1,393.4032121592066,1.33214482046401
49,186514.71298887648,29684.738531545827,3,8,120341.85801586579,19153.00156408807,616.3457639358339,397.6747636883209,54.9873967911369,54.9873967911369,4.3681823034604194e-08,1,413.133863639766,1.4230202412898396
50,186514.71320541512,29684.738566009022,8,3,120341.85801586584,19153.001564088077,616.345764651395,397.67476368832115,54.98739697107307,54.98739697107307,4.29733383024651e-08,1,413.13384555132296,1.4230202182878902
51,189929.73001445804,30228.255371910116,5,7,121446.20454378017,19328.763772892016,627.6308322489781,401.3241235350043,56.39000883390328,56.39000883390328,3.4043012043564684e-08,1,411.6141209349999,1.9999999221655829
52,190944.6137933344,30389.77914198207,7,5,121446.20454378023,19328.763772892024,630.9845586546528,401.3241235350045,57.225674125123135,57.225674125123135,1.4235993350475986e-07,1,3661116447.564581,1.2326121691884284
53,192388.15318868417,30619.525572299874,4,8,127928.34042864678,20360.427740761894,635.7547956892581,422.7446159448029,50.387437642084045,50.387437642084045,4.2584278176648094e-08,1,460.0446377401739,1.66640588766703
54,192388.1533764512,30619.525602183923,8,4,127928.34042864678,20360.427740761894,635.7547963097422,422.7446159448029,50.387437788859216,50.387437788859216,2.4645826383869755e-08,1,460.0446694757909,1.6664059508366589
55,192723.82172681915,30672.948879384487,9,1,130036.94439953807,20696.02248575244,636.8640265818278,429.71258702038574,48.20697503832131,48.20697503832131,7.858538252493065e-07,1,4159.752809181249,1.9999793942240471
56,193122.8196279456,30736.45136763205,1,9,130036.94439953813,20696.022485752448,638.1825320350316,429.7125870203859,48.51380930220592,48.51380930220592,9.087681750782137e-08,1,1544.1410979711409,1.9999990571847317
57,195937.4420242422,31184.412434939808,2,9,133153.88030371806,21192.098242203294,647.4835708819766,440.0126336505699,47.15113189140085,47.15113189140085,5.296483225104233e-08,1,970.943887395898,2.697737993182918
58,196116.13502325484,31212.85230902859,6,7,133153.88030371806,21192.098242203294,648.0740694609975,440.0126336505699,47.285332260631584,47.285332260631584,3.54793451618792e-08,1,2873875696.245116,2.323711485314217
59,196116.1350627913,31212.852315321008,7,6,133153.88030371806,21192.098242203294,648.0740695916475,440.0126336505699,47.2853322903239,47.2853322903239,2.0022664637578238e-07,1,2060954130.3799603,1.5141505026299935
60,1171080088.3823855,186383184.82255033,9,2,133153.88030371812,21192.0982422033,3869883.7219728185,440.0126336505701,879393.7749551147,879393.7749551147,1.6508106536188428e-15,1,2.9987660363513764,2.998766036351354
61,1171080088.767884,186383184.88390434,8,5,137227.97021242074,21840.509789774133,3869883.7232467146,453.4756362034697,853282.9415061097,853282.9415061097,8.075494330882414e-16,1,2.911216149693,2.9112161496929474
62,1171080088.7678845,186383184.8839044,5,8,137227.9702124208,21840.50978977414,3869883.723246716,453.47563620346995,853282.9415061097,853282.9415061097,8.076600822647158e-16,1,2.9112061152720283,2.911206115271976
63,1171080088.8816311,186383184.90200773,3,9,138232.47483721378,22000.381666168614,3869883.723622597,456.7950642551434,847081.5977111935,847081.5977111935,1.0054070908827149e-15,1,2.913261513266164,2.913261513266129
64,1171080088.8816311,186383184.90200773,9,3,138232.47483721378,22000.381666168614,3869883.723622597,456.7950642551434,847081.5977111935,847081.5977111935,8.468761695862565e-16,1,2.9132662960994207,2.913266296099386
65,1171080089.2269146,186383184.95696133,9,4,145116.1058334765,23095.945565644415,3869883.7247636006,479.54231425518475,806895.255627071,806895.255627071,1.0967011896213829e-15,1,2.8273233486181755,2.827323348618098
66,1183215957.0242472,188314668.30561656,4,9,145116.10583347655,23095.945565644422,3909987.2135914085,479.542314255185,815258.1232272106,815258.1232272106,1.028520849366606e-15,1,3.6848912075618983,3.68489120756189
67,1183215957.96621,188314668.45553458,7,7,146079.25477793632,23249.235481088937,3909987.216704164,482.72508071067875,809882.1975166056,809882.1975166056,7.2925923274862e-16,1,2.9107982505168164,2.9107982505167698
68,1183215957.9662104,188314668.45553464,6,8,147991.08738764893,23553.513091288976,3909987.216704166,489.0428124942353,799418.3891492641,799418.3891492641,1.0014240514289691e-15,1,2.9107919049170614,2.9107919049170152
69,1183215957.9901123,188314668.45933875,8,6,147991.08738764893,23553.513091288976,3909987.216783151,489.0428124942353,799418.389165415,799418.389165415,1.497024209889523e-15,1,2.1772862473631207,2.1772862473630883
70,1183215957.9927006,188314668.45975068,1,10,148939.90339629748,23704.521849150115,3909987.216791704,492.1782151566511,794325.0875767079,794325.0875767079,3.120584893607511e-16,1,2.255507096857877,2.255507096857841
71,1183215958.7781758,188314668.58476296,10,1,148939.90339629748,23704.521849150115,3909987.21938734,492.1782151566511,794325.0881040853,794325.0881040853,1.4107797429328918e-15,1,3.282816788616881,3.282816788616804
72,1656157343.3453026,263585627.73134622,10,2,151758.71409850894,24153.149506047404,5472842.04352811,501.4930944377759,1091209.552260877,1091209.552260877,8.378953845647533e-16,1,2.1249999999645324,2.1249999999645275
73,1664760816.009128,264954912.93355003,2,10,151758.714098509,24153.149506047415,5501272.58311671,501.4930944377761,1096878.7309402907,1096878.7309402907,6.41999285319728e-16,1,1.5232048651464645,1.5232048651464611
74,1664760816.009128,264954912.93355003,5,9,153615.49945040984,24448.666073063057,5501272.58311671,507.6289202278329,1083619.3004385252,1083619.3004385252,9.449205783143248e-16,1,1.523204865147032,1.523204865147029
75,1673320053.9823189,266317157.9660832,9,5,153615.49945040984,24448.666073063057,5529556.947297725,507.6289202278329,1089191.1587495767,1089191.1587495767,6.309308342995733e-16,1,2.183673469110969,2.1836734691109645
