mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
58,58,w58,3.8461538416459526e10,196116.13502325484,true,true,2.873875696245116e9,2.323711485314217,-0.20511914877339035,14,1.0,19,1.0,true,0.0,0.0
59,59,w59,3.846153843196699e10,196116.13506279126,true,true,2.0609541303799605e9,1.5141505026299935,-0.82176752596077,23,1.0,17,1.0,true,0.0,0.0
60,60,w60,1.3714285734056957e18,1.1710800883823855e9,true,true,2.9987660363513764,2.9987660363513546,-1.0,14,0.9999999997560481,10,1.0,true,0.0,0.0
61,61,w61,1.3714285743085952e18,1.171080088767884e9,true,true,2.911216149693,2.9112161496929474,-1.0,15,0.9999999999676636,9,1.0,true,0.0,0.0
62,62,w62,1.371428574308596e18,1.1710800887678845e9,true,true,2.9112061152720283,2.911206115271976,-0.9999999999939286,12,1.0,6,1.0,true,0.0,0.0
63,63,w63,1.3714285745750093e18,1.1710800888816311e9,true,true,2.913261513266164,2.913261513266129,-1.0,15,0.9999999999722079,9,1.0,true,0.0,0.0
64,64,w64,1.3714285745750093e18,1.1710800888816311e9,true,true,2.9132662960994207,2.913266296099386,-1.0,6,0.9999999999833497,12,1.0,true,0.0,0.0
65,65,w65,1.3714285753837181e18,1.1710800892269146e9,true,true,2.8273233486181755,2.827323348618098,-0.9999999997969903,7,1.0,11,1.0,true,0.0,0.0
66,66,w66,1.400000000956805e18,1.1832159570242472e9,true,true,3.6848912075618987,3.6848912075618903,-1.0,10,0.9390370052886721,12,1.0,true,0.0,0.0
67,67,w67,1.400000003185896e18,1.18321595796621e9,true,true,2.9107982505168164,2.9107982505167698,-0.9983019536154655,16,1.0,10,1.0,true,0.0,0.0
68,68,w68,1.4000000031858967e18,1.1832159579662104e9,true,true,2.9107919049170614,2.9107919049170152,-0.9982994450182777,7,1.0,13,1.0,true,0.0,0.0
69,69,w69,1.4000000032424596e18,1.1832159579901125e9,true,true,2.1772862473631207,2.1772862473630883,-0.999943779900589,15,1.0,12,1.0,true,0.0,0.0
70,70,w70,1.4000000032485844e18,1.1832159579927006e9,true,true,2.2555070968578774,2.2555070968578415,-0.24508657356186228,18,1.0,9,1.0,true,0.0,0.0
