n_div,mode_rank,m,n,w_h_exact
25,6,3,1,98.6942
25,7,2,3,128.3018
25,8,3,2,128.3018
25,9,1,4,167.7781
25,10,4,1,167.7781
25,11,3,3,177.6471
25,12,2,4,197.3849
25,13,4,2,197.3849
25,14,3,4,246.7289
25,15,4,3,246.7289
25,16,1,5,256.5976
25,17,5,1,256.5976
25,18,2,5,286.2034
25,19,5,2,286.2034
25,20,4,4,315.8089
