mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
126,15,15,6474440.0790,4437.6877,3.163748,0.000000,0.000000,0.000000
127,15,15,6474448.3828,4437.6877,3.163748,0.000000,0.000000,0.000000
128,15,15,6474593.6559,4437.6877,3.163758,0.009415,3.211495,6.107574
129,15,15,6474613.6062,4437.6877,3.163759,0.004334,3.107169,6.003291
130,15,15,6475460.5612,4437.6877,3.163816,-0.000000,0.000000,0.000000
131,15,15,6475463.3894,4437.6877,3.163816,0.000000,0.000000,0.000000
132,15,15,6475467.1596,4437.6877,3.163817,0.000000,0.000000,0.000000
133,15,15,6475472.2763,4437.6877,3.163817,0.000000,0.000000,0.000000
134,15,15,6475482.3348,4437.6877,3.163818,0.000000,0.000000,0.000000
135,15,15,6475498.9711,4437.6877,3.163819,0.000000,0.000000,0.000000
136,15,15,6475499.7246,4437.6877,3.163819,0.000000,0.000000,0.000000
137,15,15,6475500.9499,4437.6877,3.163819,0.000000,0.000000,0.000000
138,15,15,6475891.8184,4437.6877,3.163845,0.000000,0.000000,0.000000
139,15,15,6475894.1312,4437.6877,3.163845,0.000000,0.000000,0.000000
140,15,15,6475909.4874,4437.6877,3.163846,0.000000,0.000000,0.000000
141,15,15,6475914.7958,4437.6877,3.163847,0.001068,3.545096,6.441252
142,15,15,6476013.3681,4437.6877,3.163853,0.000000,0.000000,0.000000
143,15,15,6476016.7668,4437.6877,3.163854,0.000000,0.000000,0.000000
144,15,15,6476052.9336,4437.6877,3.163856,0.006344,3.109465,6.005645
145,15,15,6476085.7979,4437.6877,3.163858,0.003741,3.113132,6.009330
146,15,15,6476760.5825,4437.6877,3.163903,-0.000000,0.000000,0.000000
147,15,15,6476768.0249,4437.6877,3.163904,0.000000,0.000000,0.000000
148,15,15,6476790.1259,4437.6877,3.163905,0.000000,0.000000,0.000000
149,15,15,6476792.9720,4437.6877,3.163906,0.000000,0.000000,0.000000
150,15,15,6476823.8177,4437.6877,3.163908,0.000000,0.000000,0.000000
151,15,15,6476830.9791,4437.6877,3.163908,0.000000,0.000000,0.000000
152,15,15,6476845.8637,4437.6877,3.163909,0.000000,0.000000,0.000000
153,15,15,6476846.8056,4437.6877,3.163909,0.013312,3.535689,6.431944
154,15,15,6476952.0886,4437.6877,3.163916,-0.000000,0.000000,0.000000
155,15,15,6476957.0835,4437.6877,3.163917,0.000000,0.000000,0.000000
156,15,15,6476982.0823,4437.6877,3.163918,0.000000,0.000000,0.000000
