mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
126,6,8,981.7778,986.7808,-2.294996,0.000824,0.000650
127,6,8,985.1743,986.7808,-2.788353,0.004165,0.001176
128,10,1,998.0840,996.6468,-2.841008,-0.000005,0.000002
129,10,1,1009.5458,996.6468,-1.887985,0.018603,0.015259
130,5,9,1043.3855,1045.9762,-2.606115,0.000203,0.000192
131,9,5,1058.7002,1045.9762,-1.914896,-0.001094,-0.001687
132,3,10,1066.5437,1075.5734,-2.075968,0.009392,0.006881
133,3,10,1069.1762,1075.5734,-2.225649,0.006687,0.003714
134,3,10,1071.2987,1075.5734,-2.400737,0.003929,0.003179
135,10,3,1077.5367,1075.5734,-2.738658,0.020556,0.017301
136,7,8,1113.3606,1115.0359,-2.823215,0.004778,0.004779
137,7,8,1124.1301,1115.0359,-2.088522,0.001980,0.004190
138,10,4,1132.8314,1144.6323,-1.986749,0.000555,0.000473
139,10,4,1140.2802,1144.6323,-2.419966,0.008838,0.006764
140,6,9,1156.5086,1154.4978,-2.759016,0.000809,0.000687
141,6,9,1160.4745,1154.4978,-2.285930,0.000471,0.000374
142,6,9,1175.2619,1154.4978,-1.745079,0.001954,0.001174
143,1,11,1189.8937,1203.8243,-1.936592,0.001663,0.001358
144,1,11,1190.1273,1203.8243,-1.943939,0.010874,0.009132
145,15,15,68214.5112,4437.6877,1.157506,-0.000000,-0.000000
146,15,15,68214.6765,4437.6877,1.157507,-0.000000,0.000000
147,15,15,68215.0628,4437.6877,1.157510,0.000000,0.000000
148,15,15,68215.6535,4437.6877,1.157514,0.000000,0.000000
149,15,15,68215.7971,4437.6877,1.157515,0.000000,0.000000
150,15,15,68216.9380,4437.6877,1.157523,-0.000000,0.000000
151,15,15,68217.3820,4437.6877,1.157526,0.000000,0.000000
152,15,15,68219.1561,4437.6877,1.157538,0.000000,0.000000
153,15,15,68219.3526,4437.6877,1.157539,0.000000,0.000000
154,15,15,68221.7992,4437.6877,1.157556,-0.000000,0.000000
155,15,15,68222.3123,4437.6877,1.157559,0.000000,0.000000
156,15,15,68225.3885,4437.6877,1.157580,0.000000,0.000000
157,15,15,68225.9974,4437.6877,1.157584,0.000000,0.000000
158,15,15,68229.9730,4437.6877,1.157611,-0.000000,0.000000
159,15,15,68230.5491,4437.6877,1.157615,-0.000000,0.000000
160,15,15,68235.1970,4437.6877,1.157647,0.000000,0.000000
161,15,15,68236.7377,4437.6877,1.157657,0.000000,0.000000
162,15,15,68242.5810,4437.6877,1.157697,0.000000,0.000000
163,15,15,68243.2666,4437.6877,1.157702,0.000000,0.000000
164,15,15,68250.1005,4437.6877,1.157748,0.000000,0.000000
165,15,15,68252.8273,4437.6877,1.157767,0.000000,0.000000
166,15,15,68261.2960,4437.6877,1.157825,0.000000,0.000000
167,15,15,68262.1169,4437.6877,1.157830,0.000000,0.000000
168,15,15,68271.7779,4437.6877,1.157896,0.000000,0.000000
169,15,15,68276.4228,4437.6877,1.157928,0.000000,0.000000
170,15,15,68288.2483,4437.6877,1.158008,0.000000,0.000000
171,15,15,68289.2744,4437.6877,1.158015,0.000000,0.000000
172,15,15,68302.7825,4437.6877,1.158107,0.000000,0.000000
173,15,15,68309.7203,4437.6877,1.158154,-0.000000,0.000000
174,15,15,68325.9278,4437.6877,1.158264,0.000000,0.000000
175,15,15,68327.2337,4437.6877,1.158273,0.000000,0.000000
176,15,15,68345.3038,4437.6877,1.158396,0.000000,0.000000
177,15,15,68355.1266,4437.6877,1.158463,0.000000,0.000000
178,15,15,68376.0052,4437.6877,1.158604,0.000000,0.000000
179,15,15,68377.6903,4437.6877,1.158616,0.000000,0.000000
180,15,15,68400.2134,4437.6877,1.158769,0.000000,0.000000
181,15,15,68412.6603,4437.6877,1.158853,-0.000000,0.000000
182,15,15,68436.6853,4437.6877,1.159016,0.000000,0.000000
183,15,15,68438.8008,4437.6877,1.159031,0.000000,0.000000
184,15,15,68462.2498,4437.6877,1.159190,0.000000,0.000000
185,15,15,68476.7809,4437.6877,1.159288,0.000000,0.000000
186,15,15,68497.6082,4437.6877,1.159430,0.000000,0.000000
187,15,15,68500.1074,4437.6877,1.159447,0.000000,0.000000
188,15,15,68515.8615,4437.6877,1.159553,0.000000,0.000000
189,15,15,68532.8911,4437.6877,1.159669,-0.000000,0.000000
190,15,15,68539.7925,4437.6877,1.159716,0.000000,0.000000
191,15,15,68545.6889,4437.6877,1.159756,-0.000000,-0.000000
192,15,15,68548.5081,4437.6877,1.159775,0.000000,0.000000
193,15,15,96155.7487,4437.6877,1.315298,0.000000,0.000000
194,15,15,96155.7488,4437.6877,1.315298,0.000000,0.000000
195,15,15,96175.0809,4437.6877,1.315390,0.000000,0.000000
196,15,15,96175.0810,4437.6877,1.315390,0.000000,0.000000
197,15,15,6474873.8720,4437.6877,3.163777,0.007684,4.249697
198,15,15,6474874.9473,4437.6877,3.163777,0.000000,-0.000000
199,15,15,6474897.6293,4437.6877,3.163778,0.000000,-0.000000
200,15,15,6474899.0072,4437.6877,3.163779,0.000000,-0.000000
201,15,15,6475460.2529,4437.6877,3.163816,0.002642,3.416716
202,15,15,6475461.0052,4437.6877,3.163816,0.000570,2.966092
203,15,15,6475660.4413,4437.6877,3.163830,-0.000137,1.981729
204,15,15,6475661.4033,4437.6877,3.163830,0.000446,2.460882
205,15,15,6476049.7049,4437.6877,3.163856,0.008281,3.977998
206,15,15,6476059.1963,4437.6877,3.163856,0.002209,3.633451
207,15,15,6476060.4901,4437.6877,3.163856,0.000000,0.000000
208,15,15,6476066.3435,4437.6877,3.163857,0.011002,3.943554
209,15,15,6476092.8929,4437.6877,3.163859,0.000000,-0.000000
210,15,15,6476105.4474,4437.6877,3.163859,-0.000000,0.000000
211,15,15,6476121.8141,4437.6877,3.163861,0.000430,2.693011
212,15,15,6476123.7659,4437.6877,3.163861,-0.000613,2.241885
213,15,15,6476598.6141,4437.6877,3.163893,0.000000,0.000000
214,15,15,6476599.9567,4437.6877,3.163893,0.007445,3.587967
215,15,15,6476615.0528,4437.6877,3.163894,-0.000000,-0.000000
216,15,15,6476623.2543,4437.6877,3.163894,-0.000596,3.360553
217,15,15,6476773.5914,4437.6877,3.163904,0.014436,3.255170
218,15,15,6476775.4510,4437.6877,3.163904,0.008079,3.134199
219,15,15,6476784.4752,4437.6877,3.163905,0.007710,3.108177
220,15,15,6476801.1827,4437.6877,3.163906,0.006584,3.222290
221,15,15,6477182.8617,4437.6877,3.163932,0.013576,3.810378
222,15,15,6477183.7688,4437.6877,3.163932,0.016972,3.863193
223,15,15,6477197.7655,4437.6877,3.163933,0.006252,3.810862
224,15,15,6477201.8278,4437.6877,3.163933,-0.004240,3.518849
225,15,15,6477207.3090,4437.6877,3.163933,0.000000,0.000000
226,15,15,6477238.3545,4437.6877,3.163935,0.000000,0.000000
227,15,15,6477246.8358,4437.6877,3.163936,0.000000,0.000000
228,15,15,6477262.8822,4437.6877,3.163937,0.000000,0.000000
229,15,15,6477267.7583,4437.6877,3.163937,-0.000507,3.496812
230,15,15,6477270.6801,4437.6877,3.163938,0.005870,3.281794
231,15,15,6477295.2547,4437.6877,3.163939,0.000000,0.000000
232,15,15,6477313.5780,4437.6877,3.163941,0.000000,0.000000
233,15,15,6477629.5536,4437.6877,3.163962,0.000633,2.388696
234,15,15,6477631.0296,4437.6877,3.163962,0.000000,-0.000000
235,15,15,6477636.1082,4437.6877,3.163962,-0.000000,-0.000000
236,15,15,6477637.2068,4437.6877,3.163962,0.000000,0.000000
237,15,15,6477739.1183,4437.6877,3.163969,0.000000,0.000000
238,15,15,6477746.8246,4437.6877,3.163970,0.000000,0.000000
239,15,15,6477747.3154,4437.6877,3.163970,0.000000,0.000000
240,15,15,6477769.7479,4437.6877,3.163971,0.000000,0.000000
241,15,15,6477771.0849,4437.6877,3.163971,0.001336,3.134008
242,15,15,6477772.3514,4437.6877,3.163971,-0.000054,3.175387
243,15,15,6477795.6330,4437.6877,3.163973,0.000000,0.000000
244,15,15,6477796.5418,4437.6877,3.163973,-0.000000,0.000000
245,15,15,6477800.6557,4437.6877,3.163973,0.000000,0.000000
246,15,15,6477800.8768,4437.6877,3.163973,0.000000,0.000000
247,15,15,6477805.8452,4437.6877,3.163974,0.000000,-0.000000
248,15,15,6477807.9941,4437.6877,3.163974,0.005026,3.452491
249,15,15,6477813.2126,4437.6877,3.163974,0.008889,3.630505
250,15,15,6477814.5015,4437.6877,3.163974,0.002352,3.362434
251,15,15,6477826.1268,4437.6877,3.163975,0.003595,3.287456
252,15,15,6477826.7085,4437.6877,3.163975,0.001346,3.049633
253,15,15,6477830.0703,4437.6877,3.163975,0.011320,3.720565
254,15,15,6477831.1110,4437.6877,3.163975,0.002104,3.361525
255,15,15,6477843.9530,4437.6877,3.163976,-0.000000,0.000000
256,15,15,6477845.0278,4437.6877,3.163976,0.000000,0.000000
257,15,15,6477846.5015,4437.6877,3.163976,-0.000000,-0.000000
258,15,15,6477846.6579,4437.6877,3.163976,-0.000000,-0.000000
259,15,15,6477862.4177,4437.6877,3.163977,0.000062,2.485946
260,15,15,6477863.3048,4437.6877,3.163977,0.000942,3.045409
261,15,15,6477865.0270,4437.6877,3.163978,0.000000,-0.000000
262,15,15,6477865.4268,4437.6877,3.163978,0.000000,0.000000
263,15,15,6477893.3467,4437.6877,3.163979,0.007382,3.324374
264,15,15,6477927.6773,4437.6877,3.163982,0.019552,3.347103
265,15,15,6478062.6700,4437.6877,3.163991,0.000000,-0.000000
266,15,15,6478075.2536,4437.6877,3.163992,-0.000537,1.992421
267,15,15,6478080.0244,4437.6877,3.163992,0.000547,2.608695
268,15,15,6478088.7469,4437.6877,3.163993,-0.000000,0.000000
269,15,15,6478160.3570,4437.6877,3.163997,0.001213,2.909608
270,15,15,6478163.5811,4437.6877,3.163998,-0.000000,0.000000
271,15,15,6478187.4947,4437.6877,3.163999,0.000000,0.000000
