mode_rank,m,n,w_h_exact
191,15,6,2574.7434
192,3,16,2614.1840
193,16,3,2614.1840
194,11,12,2614.1840
195,12,11,2614.1840
196,10,13,2653.6241
197,13,10,2653.6241
198,4,16,2683.2038
199,16,4,2683.2038
200,7,15,2702.9234
201,15,7,2702.9234
202,9,14,2732.5026
203,14,9,2732.5026
204,5,16,2771.9409
205,16,5,2771.9409
206,12,12,2840.9567
207,8,15,2850.8159
208,15,8,2850.8159
209,1,17,2860.6751
210,17,1,2860.6751
211,11,13,2860.6751
212,13,11,2860.6751
213,6,16,2880.3934
214,16,6,2880.3934
215,2,17,2890.2525
216,17,2,2890.2525
217,10,14,2919.8296
218,14,10,2919.8296
219,3,17,2939.5475
220,17,3,2939.5475
221,4,17,3008.5590
222,17,4,3008.5590
223,7,16,3008.5590
224,16,7,3008.5590
225,9,15,3018.4176
226,15,9,3018.4176
227,12,13,3087.4271
228,13,12,3087.4271
229,5,17,3097.2855
230,17,5,3097.2855
231,11,14,3126.8603
232,14,11,3126.8603
233,8,16,3156.4348
234,16,8,3156.4348
235,1,18,3205.7250
236,18,1,3205.7250
237,6,17,3205.7250
238,17,6,3205.7250
239,10,15,3205.7250
240,15,10,3205.7250
241,2,18,3235.2986
242,18,2,3235.2986
243,3,18,3284.5873
244,18,3,3284.5873
245,9,16,3324.0177
246,16,9,3324.0177
247,7,17,3333.8752
248,17,7,3333.8752
249,13,13,3333.8752
250,4,18,3353.5900
251,18,4,3353.5900
252,12,14,3353.5900
253,14,12,3353.5900
254,11,15,3412.7338
255,15,11,3412.7338
256,5,18,3442.3052
257,18,5,3442.3052
258,8,17,3481.7333
259,17,8,3481.7333
260,10,16,3511.3039
261,16,10,3511.3039
262,6,18,3550.7309
263,18,6,3550.7309
264,1,19,3570.4442
265,19,1,3570.4442
266,2,19,3600.0139
267,19,2,3600.0139
268,13,14,3600.0139
269,14,13,3600.0139
270,12,15,3639.4397
271,15,12,3639.4397
272,3,19,3649.2960
273,19,3,3649.2960
274,9,17,3649.2960
275,17,9,3649.2960
276,7,18,3678.8648
277,18,7,3678.8648
278,4,19,3718.2894
279,19,4,3718.2894
280,11,16,3718.2894
281,16,11,3718.2894
282,5,19,3806.9927
283,19,5,3806.9927
284,8,18,3826.7041
285,18,8,3826.7041
286,10,17,3836.5598
287,17,10,3836.5598
288,14,14,3866.1266
289,13,15,3885.8376
290,15,13,3885.8376
291,6,19,3915.4038
292,19,6,3915.4038
293,12,16,3944.9697
294,16,12,3944.9697
295,1,20,3954.8250
296,20,1,3954.8250
297,2,20,3984.3905
298,20,2,3984.3905
299,9,18,3994.2456
300,18,9,3994.2456
301,3,20,4033.6656
302,20,3,4033.6656
303,7,19,4043.5205
304,19,7,4043.5205
305,11,17,4043.5205
306,17,11,4043.5205
307,4,20,4102.6492
308,20,4,4102.6492
309,14,15,4151.9222
310,15,14,4151.9222
311,10,18,4181.4855
312,18,10,4181.4855
313,5,20,4191.3399
314,20,5,4191.3399
315,8,19,4191.3399
316,19,8,4191.3399
317,13,16,4191.3399
318,16,13,4191.3399
319,12,17,4270.1736
320,17,12,4270.1736
321,6,20,4299.7357
322,20,6,4299.7357
323,9,19,4358.8588
324,19,9,4358.8588
