mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
146,15,15,6863.7729,4437.6877,-0.262251,0.000000,0.000000
147,15,15,6885.4031,4437.6877,-0.258396,0.000000,0.000000
148,15,15,6885.4031,4437.6877,-0.258396,0.000000,0.000000
149,15,15,6926.6991,4437.6877,-0.251130,0.000000,0.000000
150,15,15,6926.8699,4437.6877,-0.251100,0.000000,0.000000
151,15,15,6978.4430,4437.6877,-0.242194,0.000000,0.000000
152,15,15,6978.4430,4437.6877,-0.242194,0.000000,0.000000
153,15,15,7065.6197,4437.6877,-0.227543,0.000000,0.000000
154,15,15,7066.2228,4437.6877,-0.227443,0.000000,0.000000
155,15,15,7153.1240,4437.6877,-0.213317,0.000000,0.000000
156,15,15,7153.1240,4437.6877,-0.213317,0.000000,0.000000
157,15,15,7156.4734,4437.6877,-0.212782,0.000000,0.000000
158,15,15,7311.7586,4437.6877,-0.188659,0.000000,0.000000
159,15,15,7313.4772,4437.6877,-0.188400,0.000000,0.000000
160,15,15,7447.7290,4437.6877,-0.168584,0.000000,0.000000
161,15,15,7447.7290,4437.6877,-0.168584,0.000000,0.000000
162,15,15,7731.9751,4437.6877,-0.129395,0.000000,0.000000
163,15,15,7736.7924,4437.6877,-0.128761,0.000000,0.000000
164,15,15,7954.8612,4437.6877,-0.100963,0.000000,0.000000
165,15,15,7954.8612,4437.6877,-0.100963,0.000000,0.000000
166,15,15,8513.1840,4437.6877,-0.036976,0.000000,0.000000
167,15,15,8528.5179,4437.6877,-0.035345,0.000000,0.000000
168,15,15,9034.4244,4437.6877,0.015293,0.000000,0.000000
169,15,15,9034.4244,4437.6877,0.015293,0.000000,0.000000
170,15,15,10748.8208,4437.6877,0.152951,0.000000,0.000000
171,15,15,13330.5330,4437.6877,0.301884,0.000000,0.000000
172,15,15,13330.5330,4437.6877,0.301884,0.000000,0.000000
173,15,15,14216.7860,4437.6877,0.343142,0.000000,0.000000
174,15,15,14385.5280,4437.6877,0.350572,0.000000,0.000000
175,15,15,14385.5280,4437.6877,0.350572,0.000000,0.000000
176,15,15,14413.8382,4437.6877,0.351806,0.000000,0.000000
177,15,15,14422.0115,4437.6877,0.352162,0.000000,0.000000
178,15,15,14464.5367,4437.6877,0.354008,0.000000,0.000000
179,15,15,14464.5367,4437.6877,0.354008,0.000000,0.000000
180,15,15,14533.8069,4437.6877,0.356998,0.000000,0.000000
181,15,15,14559.9118,4437.6877,0.358119,0.000000,0.000000
182,15,15,14633.8897,4437.6877,0.361282,0.000000,0.000000
183,15,15,14633.8897,4437.6877,0.361282,0.000000,0.000000
184,15,15,14753.6368,4437.6877,0.366352,0.000000,0.000000
185,15,15,14799.3336,4437.6877,0.368272,0.000000,0.000000
186,15,15,14911.4628,4437.6877,0.372947,0.000000,0.000000
187,15,15,14911.4628,4437.6877,0.372947,0.000000,0.000000
188,15,15,15094.9893,4437.6877,0.380491,0.000000,0.000000
189,15,15,15153.2758,4437.6877,0.382859,0.000000,0.000000
190,15,15,15296.0880,4437.6877,0.388609,0.000000,0.000000
191,15,15,15296.0880,4437.6877,0.388609,0.000000,0.000000
192,15,15,15539.0545,4437.6877,0.398220,0.000000,0.000000
193,15,15,15575.9194,4437.6877,0.399660,0.000000,0.000000
194,15,15,15660.1699,4437.6877,0.402932,0.000000,0.000000
195,15,15,15660.1699,4437.6877,0.402932,0.000000,0.000000
196,15,15,16003.5907,4437.6877,0.416023,0.000000,0.000000
197,15,15,72096.1882,4437.6877,1.183166,0.000000,0.000000
198,15,15,72096.7258,4437.6877,1.183169,0.000000,0.000000
199,15,15,72096.8143,4437.6877,1.183170,0.000000,0.000000
200,15,15,72096.8143,4437.6877,1.183170,0.000000,0.000000
201,15,15,72096.8226,4437.6877,1.183170,0.000000,0.000000
202,15,15,72097.5727,4437.6877,1.183175,0.000000,0.000000
203,15,15,72097.7123,4437.6877,1.183175,0.000000,0.000000
204,15,15,72097.7123,4437.6877,1.183175,0.000000,0.000000
205,15,15,72098.2844,4437.6877,1.183179,0.000000,0.000000
206,15,15,72099.8830,4437.6877,1.183189,0.000000,0.000000
207,15,15,72100.0159,4437.6877,1.183190,0.000000,0.000000
208,15,15,72100.0159,4437.6877,1.183190,0.000000,0.000000
209,15,15,72100.8005,4437.6877,1.183195,0.000000,0.000000
210,15,15,72101.7068,4437.6877,1.183201,0.000000,0.000000
211,15,15,72101.7068,4437.6877,1.183201,0.000000,0.000000
212,15,15,72101.8790,4437.6877,1.183202,0.000000,0.000000
213,15,15,72102.0165,4437.6877,1.183203,0.000000,0.000000
214,15,15,72102.2122,4437.6877,1.183204,0.000000,0.000000
215,15,15,72102.2122,4437.6877,1.183204,0.000000,0.000000
216,15,15,72102.3065,4437.6877,1.183205,0.000000,0.000000
217,15,15,72102.8309,4437.6877,1.183208,0.000000,0.000000
218,15,15,72103.4561,4437.6877,1.183212,0.000000,0.000000
219,15,15,72103.4561,4437.6877,1.183212,0.000000,0.000000
220,15,15,72103.6587,4437.6877,1.183214,0.000000,0.000000
221,15,15,72105.5250,4437.6877,1.183226,0.000000,0.000000
222,15,15,72105.6318,4437.6877,1.183226,0.000000,0.000000
223,15,15,72105.9189,4437.6877,1.183228,0.000000,0.000000
224,15,15,72105.9189,4437.6877,1.183228,0.000000,0.000000
225,15,15,72108.9139,4437.6877,1.183247,0.000000,0.000000
226,15,15,72109.5232,4437.6877,1.183251,0.000000,0.000000
227,15,15,72109.5232,4437.6877,1.183251,0.000000,0.000000
228,15,15,72112.7751,4437.6877,1.183272,0.000000,0.000000
229,15,15,72113.9961,4437.6877,1.183280,0.000000,0.000000
230,15,15,72117.9202,4437.6877,1.183305,0.000000,0.000000
231,15,15,72117.9202,4437.6877,1.183305,0.000000,0.000000
232,15,15,72120.9734,4437.6877,1.183325,0.000000,0.000000
233,15,15,72127.0055,4437.6877,1.183363,0.000000,0.000000
234,15,15,72132.0475,4437.6877,1.183396,0.000000,0.000000
235,15,15,72132.0475,4437.6877,1.183396,0.000000,0.000000
236,15,15,72133.6427,4437.6877,1.183406,0.000000,0.000000
237,15,15,72156.2556,4437.6877,1.183551,0.000000,0.000000
238,15,15,72157.4564,4437.6877,1.183559,0.000000,0.000000
239,15,15,72157.4564,4437.6877,1.183559,0.000000,0.000000
240,15,15,72170.4937,4437.6877,1.183642,0.000000,0.000000
241,15,15,72209.5922,4437.6877,1.183893,0.000000,0.000000
242,15,15,72217.7432,4437.6877,1.183945,0.000000,0.000000
243,15,15,72228.2168,4437.6877,1.184012,0.000000,0.000000
244,15,15,72228.2168,4437.6877,1.184012,0.000000,0.000000
245,15,15,72392.3445,4437.6877,1.185062,0.000000,0.000000
246,15,15,72392.3445,4437.6877,1.185062,0.000000,0.000000
247,15,15,72408.9562,4437.6877,1.185169,0.000000,0.000000
248,15,15,72443.2664,4437.6877,1.185388,0.000000,0.000000
249,15,15,73240.9624,4437.6877,1.190452,0.000000,0.000000
250,15,15,73276.3486,4437.6877,1.190676,0.000000,0.000000
251,15,15,73319.3793,4437.6877,1.190947,0.000000,0.000000
252,15,15,73319.3793,4437.6877,1.190947,0.000000,0.000000
253,15,15,101968.3724,4437.6877,1.341985,0.000000,0.000000
254,15,15,101968.3724,4437.6877,1.341985,0.000000,0.000000
255,15,15,101969.2240,4437.6877,1.341988,0.000000,0.000000
256,15,15,101969.4357,4437.6877,1.341989,0.000000,0.000000
257,15,15,106140.7850,4437.6877,1.360177,0.000000,0.000000
258,15,15,106662.3473,4437.6877,1.362399,0.000000,0.000000
259,15,15,107041.5469,4437.6877,1.364007,0.000000,0.000000
260,15,15,107041.5469,4437.6877,1.364007,0.000000,0.000000
261,15,15,108235.8422,4437.6877,1.369033,0.000000,0.000000
262,15,15,109166.0668,4437.6877,1.372908,0.000000,0.000000
263,15,15,111535.5728,4437.6877,1.382624,0.000000,0.000000
264,15,15,111535.5728,4437.6877,1.382624,0.000000,0.000000
265,15,15,115040.2844,4437.6877,1.396609,0.000000,0.000000
266,15,15,116012.8209,4437.6877,1.400411,0.000000,0.000000
267,15,15,120740.7271,4437.6877,1.418434,0.000000,0.000000
268,15,15,120740.7271,4437.6877,1.418434,0.000000,0.000000
269,15,15,126713.6100,4437.6877,1.440184,0.000000,0.000000
270,15,15,127738.7308,4437.6877,1.443810,0.000000,0.000000
271,15,15,135020.8927,4437.6877,1.468731,0.000000,0.000000
272,15,15,135020.8927,4437.6877,1.468731,0.000000,0.000000
273,15,15,143595.2718,4437.6877,1.496350,0.000000,0.000000
274,15,15,144698.9932,4437.6877,1.499781,0.000000,0.000000
275,15,15,154521.8916,4437.6877,1.529178,0.000000,0.000000
276,15,15,154521.8916,4437.6877,1.529178,0.000000,0.000000
277,15,15,165339.4480,4437.6877,1.559404,0.000000,0.000000
278,15,15,166551.3224,4437.6877,1.562663,0.000000,0.000000
279,15,15,177909.7762,4437.6877,1.592073,0.000000,0.000000
280,15,15,177909.7762,4437.6877,1.592073,0.000000,0.000000
281,15,15,179684.2993,4437.6877,1.596493,0.000000,0.000000
282,15,15,180061.6692,4437.6877,1.597427,0.000000,0.000000
283,15,15,180111.9913,4437.6877,1.597552,0.000000,0.000000
284,15,15,180111.9913,4437.6877,1.597552,0.000000,0.000000
285,15,15,180247.9953,4437.6877,1.597888,0.000000,0.000000
286,15,15,180665.5169,4437.6877,1.598918,0.000000,0.000000
287,15,15,181063.7455,4437.6877,1.599898,0.000000,0.000000
288,15,15,181063.7455,4437.6877,1.599898,0.000000,0.000000
289,15,15,181681.8434,4437.6877,1.601415,0.000000,0.000000
290,15,15,182189.4358,4437.6877,1.602657,0.000000,0.000000
291,15,15,183118.1274,4437.6877,1.604920,0.000000,0.000000
292,15,15,183118.1274,4437.6877,1.604920,0.000000,0.000000
293,15,15,184352.4890,4437.6877,1.607910,0.000000,0.000000
294,15,15,184945.6496,4437.6877,1.609340,0.000000,0.000000
295,15,15,186575.0395,4437.6877,1.613242,0.000000,0.000000
296,15,15,186575.0395,4437.6877,1.613242,0.000000,0.000000
297,15,15,188595.6275,4437.6877,1.618034,0.000000,0.000000
298,15,15,188924.2965,4437.6877,1.618808,0.000000,0.000000
299,15,15,189308.0355,4437.6877,1.619711,0.000000,0.000000
300,15,15,190258.9493,4437.6877,1.621939,0.000000,0.000000
301,15,15,191796.7827,4437.6877,1.625518,0.000000,0.000000
302,15,15,191796.7827,4437.6877,1.625518,0.000000,0.000000
303,15,15,194676.1284,4437.6877,1.632142,0.000000,0.000000
304,15,15,195550.0793,4437.6877,1.634132,0.000000,0.000000
305,15,15,198762.5592,4437.6877,1.641372,0.000000,0.000000
306,15,15,198762.5592,4437.6877,1.641372,0.000000,0.000000
307,15,15,199661.6766,4437.6877,1.643376,0.000000,0.000000
308,15,15,199661.6766,4437.6877,1.643376,0.000000,0.000000
309,15,15,201990.4945,4437.6877,1.648526,0.000000,0.000000
310,15,15,203046.5676,4437.6877,1.650842,0.000000,0.000000
311,15,15,205865.2186,4437.6877,1.656962,0.000000,0.000000
312,15,15,205865.2186,4437.6877,1.656962,0.000000,0.000000
313,15,15,205973.1218,4437.6877,1.657195,0.000000,0.000000
314,15,15,207409.5923,4437.6877,1.660279,0.000000,0.000000
315,15,15,207755.7116,4437.6877,1.661019,0.000000,0.000000
316,15,15,208995.3090,4437.6877,1.663659,0.000000,0.000000
317,15,15,209141.1007,4437.6877,1.663968,0.000000,0.000000
318,15,15,209141.1007,4437.6877,1.663968,0.000000,0.000000
319,15,15,292799.5990,4437.6877,1.812781,0.000000,0.000000
320,15,15,292799.5990,4437.6877,1.812781,0.000000,0.000000
321,15,15,446504.1640,4437.6877,1.998331,0.000000,0.000000
322,15,15,449126.9067,4437.6877,2.000900,0.000000,0.000000
323,15,15,449476.4140,4437.6877,2.001241,0.000000,0.000000
324,15,15,451721.5044,4437.6877,2.003426,0.000000,0.000000
325,15,15,599882.6081,4437.6877,2.127685,0.000000,0.000000
326,15,15,599882.6081,4437.6877,2.127685,0.000000,0.000000
327,15,15,604989.2302,4437.6877,2.131394,0.000000,0.000000
328,15,15,604989.2302,4437.6877,2.131394,0.000000,0.000000
329,15,15,730320.1001,4437.6877,2.213710,0.000000,0.000000
330,15,15,731050.4261,4437.6877,2.214146,0.000000,0.000000
331,15,15,737321.2505,4437.6877,2.217878,0.000000,0.000000
332,15,15,737918.1508,4437.6877,2.218232,0.000000,0.000000
333,15,15,798662.5362,4437.6877,2.252787,0.000000,0.000000
334,15,15,798662.5362,4437.6877,2.252787,0.000000,0.000000
335,15,15,837246.0729,4437.6877,2.273388,0.000000,0.000000
336,15,15,837246.0729,4437.6877,2.273388,0.000000,0.000000
337,15,15,845599.0462,4437.6877,2.277723,0.000000,0.000000
338,15,15,845599.0462,4437.6877,2.277723,0.000000,0.000000
339,15,15,921445.3339,4437.6877,2.315216,0.000000,0.000000
340,15,15,921858.3824,4437.6877,2.315412,0.000000,0.000000
341,15,15,930937.7723,4437.6877,2.319689,0.000000,0.000000
342,15,15,931274.4730,4437.6877,2.319847,0.000000,0.000000
343,15,15,987546.7917,4437.6877,2.345445,0.000000,0.000000
344,15,15,987546.7917,4437.6877,2.345445,0.000000,0.000000
345,15,15,997844.1987,4437.6877,2.349970,0.000000,0.000000
346,15,15,997844.1987,4437.6877,2.349970,0.000000,0.000000
347,15,15,1038407.2553,4437.6877,2.367351,0.000000,0.000000
348,15,15,1038692.1640,4437.6877,2.367471,0.000000,0.000000
349,15,15,1049377.9680,4437.6877,2.371935,0.000000,0.000000
350,15,15,1049610.7248,4437.6877,2.372031,0.000000,0.000000
351,15,15,1077759.7274,4437.6877,2.383573,0.000000,0.000000
352,15,15,1077759.7274,4437.6877,2.383573,0.000000,0.000000
353,15,15,1089197.7015,4437.6877,2.388177,0.000000,0.000000
354,15,15,1089197.7015,4437.6877,2.388177,0.000000,0.000000
355,15,15,1107492.3881,4437.6877,2.395440,0.000000,0.000000
356,15,15,1107715.4419,4437.6877,2.395528,0.000000,0.000000
357,15,15,1113149.2286,4437.6877,2.397662,0.000000,0.000000
358,15,15,1114950.6406,4437.6877,2.398367,0.000000,0.000000
359,15,15,1115144.7334,4437.6877,2.398443,0.000000,0.000000
360,15,15,1116660.3272,4437.6877,2.399035,0.000000,0.000000
361,15,15,1119338.6001,4437.6877,2.400080,0.000000,0.000000
362,15,15,1119522.2326,4437.6877,2.400151,0.000000,0.000000
363,15,15,1129947.8747,4437.6877,2.404193,0.000000,0.000000
364,15,15,1129947.8747,4437.6877,2.404193,0.000000,0.000000
365,15,15,1142039.3227,4437.6877,2.408833,0.000000,0.000000
366,15,15,1142039.3227,4437.6877,2.408833,0.000000,0.000000
367,15,15,1146018.4799,4437.6877,2.410350,0.000000,0.000000
368,15,15,1146207.8841,4437.6877,2.410422,0.000000,0.000000
369,15,15,1157046.0202,4437.6877,2.414525,0.000000,0.000000
370,15,15,1157046.0202,4437.6877,2.414525,0.000000,0.000000
371,15,15,1158327.4689,4437.6877,2.415008,0.000000,0.000000
372,15,15,1158482.6945,4437.6877,2.415066,0.000000,0.000000
373,15,15,1163286.7325,4437.6877,2.416870,0.000000,0.000000
374,15,15,1163462.5982,4437.6877,2.416936,0.000000,0.000000
375,15,15,1165438.8747,4437.6877,2.417676,0.000000,0.000000
376,15,15,1165438.8747,4437.6877,2.417676,0.000000,0.000000
377,15,15,1169475.2248,4437.6877,2.419183,0.000000,0.000000
378,15,15,1169475.2248,4437.6877,2.419183,0.000000,0.000000
379,15,15,1175809.6766,4437.6877,2.421538,0.000000,0.000000
380,15,15,1175953.6426,4437.6877,2.421591,0.000000,0.000000
381,15,15,1177976.8628,4437.6877,2.422341,0.000000,0.000000
382,15,15,1177976.8628,4437.6877,2.422341,0.000000,0.000000
383,15,15,1378614.5160,4437.6877,2.490886,0.000000,0.000000
384,15,15,1378614.5160,4437.6877,2.490886,0.000000,0.000000
385,15,15,1381408.4848,4437.6877,2.491768,0.000000,0.000000
386,15,15,1381408.4848,4437.6877,2.491768,0.000000,0.000000
387,15,15,1570051.8633,4437.6877,2.547528,0.000000,0.000000
388,15,15,1570051.8633,4437.6877,2.547528,0.000000,0.000000
389,15,15,1591487.6383,4437.6877,2.553434,0.000000,0.000000
390,15,15,1591865.9248,4437.6877,2.553537,0.000000,0.000000
391,15,15,1595170.6237,4437.6877,2.554441,0.000000,0.000000
392,15,15,1595462.3357,4437.6877,2.554520,0.000000,0.000000
393,15,15,1759507.2251,4437.6877,2.597138,0.000000,0.000000
394,15,15,1759507.2251,4437.6877,2.597138,0.000000,0.000000
395,15,15,1763782.3001,4437.6877,2.598194,0.000000,0.000000
396,15,15,1763782.3001,4437.6877,2.598194,0.000000,0.000000
397,15,15,1889982.6939,4437.6877,2.628280,0.000000,0.000000
398,15,15,1890181.7512,4437.6877,2.628326,0.000000,0.000000
399,15,15,1894763.2373,4437.6877,2.629380,0.000000,0.000000
400,15,15,1894915.1476,4437.6877,2.629415,0.000000,0.000000
401,15,15,1948023.8720,4437.6877,2.641447,0.000000,0.000000
402,15,15,1949184.6042,4437.6877,2.641706,0.000000,0.000000
403,15,15,1949615.3556,4437.6877,2.641803,0.000000,0.000000
404,15,15,1950531.1968,4437.6877,2.642007,0.000000,0.000000
405,15,15,1990948.7029,4437.6877,2.650934,0.000000,0.000000
406,15,15,1990948.7029,4437.6877,2.650934,0.000000,0.000000
407,15,15,1996070.3598,4437.6877,2.652053,0.000000,0.000000
408,15,15,1996070.3598,4437.6877,2.652053,0.000000,0.000000
409,15,15,2068313.7810,4437.6877,2.667527,0.000000,0.000000
410,15,15,2068450.4078,4437.6877,2.667556,0.000000,0.000000
411,15,15,2073728.3024,4437.6877,2.668665,0.000000,0.000000
412,15,15,2073833.1463,4437.6877,2.668687,0.000000,0.000000
