n_div,mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h
19,1,1,2,38.0622,49.3476,-0.640750
19,2,2,2,77.9428,78.9557,-1.891820
19,3,2,2,78.6142,78.9557,-2.364053
19,4,2,3,120.0558,128.3018,-1.191988
19,5,2,3,139.0457,128.3018,-1.077072
19,6,2,3,140.5759,128.3018,-1.019243
19,7,3,3,181.6916,177.6471,-1.642689
19,8,3,3,185.3906,177.6471,-1.360619
19,9,2,4,221.0811,197.3849,-0.920636
19,10,2,4,221.4531,197.3849,-0.913871
19,11,3,4,245.9430,246.7289,-2.496888
19,12,1,5,267.7353,256.5976,-1.362457
19,13,1,5,270.0102,256.5976,-1.281738
19,14,4,4,321.3000,315.8089,-1.759772
19,15,4,4,324.2197,315.8089,-1.574589
19,16,4,4,324.8371,315.8089,-1.543825
19,17,3,5,337.2605,335.5458,-2.291551
19,18,3,5,346.6297,335.5458,-1.481058
19,19,3,5,347.0462,335.5458,-1.465038
19,20,1,6,372.5621,365.1508,-1.692575
20,1,1,2,37.8709,49.3476,-0.633450
20,2,2,2,77.5036,78.9557,-1.735406
20,3,2,2,78.0725,78.9557,-1.951354
20,4,2,3,118.9487,128.3018,-1.137279
20,5,2,3,138.1559,128.3018,-1.114615
20,6,2,3,139.5493,128.3018,-1.057177
20,7,3,3,180.2292,177.6471,-1.837577
20,8,3,3,183.5945,177.6471,-1.475228
20,9,2,4,220.3001,197.3849,-0.935191
20,10,2,4,220.5761,197.3849,-0.929992
20,11,3,4,244.7449,246.7289,-2.094682
20,12,1,5,265.4410,256.5976,-1.462629
20,13,1,5,267.4699,256.5976,-1.372929
20,14,4,4,319.2991,315.8089,-1.956573
20,15,4,4,322.0781,315.8089,-1.702213
20,16,4,4,323.1423,315.8089,-1.634121
20,17,3,5,334.6802,335.5458,-2.588448
20,18,1,6,359.2812,365.1508,-1.793868
20,19,1,6,359.8026,365.1508,-1.834272
20,20,1,6,370.3797,365.1508,-1.844059
21,1,1,2,37.7035,49.3476,-0.627163
21,2,2,2,76.9867,78.9557,-1.603143
21,3,2,2,77.5213,78.9557,-1.740731
21,4,2,3,117.9878,128.3018,-1.094806
21,5,2,3,137.6571,128.3018,-1.137177
21,6,2,3,138.7670,128.3018,-1.088484
21,7,3,3,179.0883,177.6471,-2.090838
21,8,3,3,181.9717,177.6471,-1.613608
21,9,2,4,218.9557,197.3849,-0.961447
21,10,2,4,219.2830,197.3849,-0.954908
21,11,3,4,242.7557,246.7289,-1.793087
21,12,1,5,263.5185,256.5976,-1.569085
21,13,1,5,265.6142,256.5976,-1.454206
21,14,4,4,319.2098,315.8089,-1.967834
21,15,4,4,321.2991,315.8089,-1.759836
21,16,4,4,322.1651,315.8089,-1.696229
21,17,3,5,331.9033,335.5458,-1.964353
21,18,1,6,367.6763,365.1508,-2.160122
21,19,1,6,369.0567,365.1508,-1.970744
21,20,1,6,372.0250,365.1508,-1.725245
22,1,1,2,37.3830,49.3476,-0.615368
22,2,2,2,76.6631,78.9557,-1.537055
22,3,2,2,77.1027,78.9557,-1.629509
22,4,2,3,117.0610,128.3018,-1.057437
22,5,2,3,136.9494,128.3018,-1.171340
22,6,2,3,137.9412,128.3018,-1.124182
22,7,3,3,177.8889,177.6471,-2.866105
22,8,3,3,180.4853,177.6471,-1.796505
22,9,2,4,218.3884,197.3849,-0.973023
22,10,2,4,218.6298,197.3849,-0.968060
22,11,3,4,241.4684,246.7289,-1.671196
22,12,1,5,261.6974,256.5976,-1.701700
22,13,1,5,263.5582,256.5976,-1.566602
22,14,4,4,317.6057,315.8089,-2.244934
22,15,4,4,319.6321,315.8089,-1.916996
22,16,4,4,320.5413,315.8089,-1.824349
22,17,3,5,329.5594,335.5458,-1.748586
22,18,1,6,365.7862,365.1508,-2.759363
22,19,1,6,366.7593,365.1508,-2.356050
22,20,2,6,384.7541,394.7554,-1.596269
23,1,1,2,37.3375,49.3476,-0.613721
23,2,2,2,76.3643,78.9557,-1.483851
23,3,2,2,76.6998,78.9557,-1.544063
23,4,2,3,116.3177,128.3018,-1.029627
23,5,2,3,136.5745,128.3018,-1.190584
23,6,2,3,137.3891,128.3018,-1.149801
23,7,3,3,176.8874,177.6471,-2.368924
23,8,3,3,179.1884,177.6471,-2.061658
23,9,2,4,217.3152,197.3849,-0.995800
23,10,2,4,217.5977,197.3849,-0.989687
23,11,3,4,239.8160,246.7289,-1.552562
23,12,1,5,260.1175,256.5976,-1.862715
23,13,1,5,261.9483,256.5976,-1.680842
23,14,4,4,317.4573,315.8089,-2.282366
23,15,4,4,319.0509,315.8089,-1.988616
23,16,4,4,319.3488,315.8089,-1.950435
23,17,3,5,327.1552,335.5458,-1.601958
23,18,1,6,363.6643,365.1508,-2.390331
23,19,1,6,364.6098,365.1508,-2.829328
23,20,2,6,397.3087,394.7554,-2.189227
24,1,1,2,37.1519,49.3476,-0.607062
24,2,2,2,76.0685,78.9557,-1.436915
24,3,2,2,76.3563,78.9557,-1.482516
24,4,2,3,115.5741,128.3018,-1.003484
24,5,2,3,136.0334,128.3018,-1.219962
24,6,2,3,136.7028,128.3018,-1.183905
24,7,3,3,175.8895,177.6471,-2.004642
24,8,3,3,177.9601,177.6471,-2.753934
24,9,2,4,216.9101,197.3849,-1.004719
24,10,2,4,217.1660,197.3849,-0.999063
24,11,3,4,238.5675,246.7289,-1.480456
24,12,1,5,258.6544,256.5976,-2.096050
24,13,1,5,260.2945,256.5976,-1.841415
24,14,4,4,316.1597,315.8089,-2.954465
24,15,4,4,317.6411,315.8089,-2.236457
24,16,4,4,317.9353,315.8089,-2.171794
24,17,4,4,325.1280,315.8089,-1.530051
24,18,1,6,361.8892,365.1508,-2.049041
24,19,1,6,362.6800,365.1508,-2.169648
24,20,4,5,400.9398,404.6236,-2.040755
25,1,1,2,36.9826,49.3476,-0.601072
25,2,2,2,75.7217,78.9557,-1.387652
25,3,2,2,75.9973,78.9557,-1.426325
25,4,2,3,114.9328,128.3018,-0.982133
25,5,2,3,135.7359,128.3018,-1.237004
25,6,2,3,136.3000,128.3018,-1.205239
25,7,3,3,175.0332,177.6471,-1.832272
25,8,3,3,176.8898,177.6471,-2.370326
25,9,2,4,216.0596,197.3849,-1.024060
25,10,2,4,216.2759,197.3849,-1.019060
25,11,3,4,237.1970,246.7289,-1.413041
25,12,1,5,257.3523,256.5976,-2.531429
25,13,1,5,258.9085,256.5976,-2.045466
25,14,4,4,316.0389,315.8089,-3.137726
25,15,4,4,316.7408,315.8089,-2.530068
25,16,4,4,317.1847,315.8089,-2.360877
25,17,4,4,323.0466,315.8089,-1.639826
25,18,1,6,360.1332,365.1508,-1.861980
25,19,1,6,360.9131,365.1508,-1.935345
25,20,4,5,399.9818,404.6236,-1.940367
