n_div,mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h
18,7,2,3,124.4139,128.3018,-1.518512
18,8,2,3,126.0595,128.3018,-1.757543
18,9,1,4,166.7558,167.7781,-2.215160
18,10,1,4,166.9159,167.7781,-2.289147
18,11,4,1,171.2426,167.7781,-1.685089
18,12,4,2,192.8852,197.3849,-1.642132
18,13,4,2,193.2305,197.3849,-1.676806
18,14,4,3,233.6898,246.7289,-1.276974
18,15,4,3,239.9055,246.7289,-1.558219
18,16,5,1,255.4285,256.5976,-2.341418
18,17,5,1,255.4664,256.5976,-2.355708
18,18,2,5,279.6846,286.2034,-1.642509
18,19,2,5,280.5836,286.2034,-1.706953
18,20,5,2,297.2025,286.2034,-1.415320
19,1,1,1,19.4505,19.7390,-1.835140
19,2,2,1,48.7055,49.3476,-1.885719
19,3,2,1,48.9038,49.3476,-2.046106
19,4,2,2,77.3127,78.9557,-1.681756
19,5,1,3,97.9407,98.6942,-2.117178
19,6,1,3,97.9680,98.6942,-2.133198
19,7,2,3,124.7125,128.3018,-1.553225
19,8,2,3,126.1919,128.3018,-1.783966
19,9,1,4,166.8301,167.7781,-2.247937
19,10,1,4,166.9743,167.7781,-2.319607
19,11,4,1,171.7602,167.7781,-1.624618
19,12,4,2,193.2285,197.3849,-1.676597
19,13,4,2,193.5287,197.3849,-1.709153
19,14,4,3,234.8389,246.7289,-1.317039
19,15,4,3,240.4178,246.7289,-1.592115
19,16,5,1,255.5422,256.5976,-2.385868
19,17,5,1,255.5792,256.5976,-2.401328
19,18,2,5,280.2556,286.2034,-1.682316
19,19,2,5,281.0474,286.2034,-1.744361
19,20,5,2,298.9985,286.2034,-1.349632
20,1,1,1,19.4629,19.7390,-1.854317
20,2,2,1,48.7422,49.3476,-1.911260
20,3,2,1,48.9215,49.3476,-2.063778
20,4,2,2,77.4080,78.9557,-1.707710
20,5,1,3,97.9836,98.6942,-2.142635
20,6,1,3,98.0109,98.6942,-2.159659
20,7,2,3,124.9718,128.3018,-1.585781
20,8,2,3,126.3084,128.3018,-1.808631
20,9,1,4,166.8941,167.7781,-2.278285
20,10,1,4,167.0244,167.7781,-2.347528
20,11,4,1,172.2049,167.7781,-1.578642
20,12,4,2,193.5268,197.3849,-1.708937
20,13,4,2,193.7896,197.3849,-1.739577
20,14,4,3,235.8255,246.7289,-1.354658
20,15,4,3,240.8602,246.7289,-1.623679
20,16,5,1,255.6335,256.5976,-2.425129
20,17,5,1,255.6689,256.5976,-2.441396
20,18,2,5,280.7423,286.2034,-1.719395
20,19,2,5,281.4449,286.2034,-1.779204
20,20,5,2,300.5192,286.2034,-1.300861
21,1,1,1,19.4744,19.7390,-1.872698
21,2,2,1,48.7748,49.3476,-1.935323
21,3,2,1,48.9376,49.3476,-2.080568
21,4,2,2,77.4926,78.9557,-1.732114
21,5,1,3,98.0219,98.6942,-2.166732
21,6,1,3,98.0487,98.6942,-2.184399
21,7,2,3,125.1987,128.3018,-1.616432
21,8,2,3,126.4120,128.3018,-1.831802
21,9,1,4,166.9497,167.7781,-2.306528
21,10,1,4,167.0679,167.7781,-2.373349
21,11,4,1,172.5909,167.7781,-1.542334
21,12,4,2,193.7876,197.3849,-1.739336
21,13,4,2,194.0196,197.3849,-1.768288
21,14,4,3,236.6797,246.7289,-1.390089
21,15,4,3,241.2456,246.7289,-1.653183
