mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
29,2,8,664.7368,671.1331,-2.020882,1.801182,1.731153,2.122037,99.9960,0.0026,0.0015,3.60e-08
30,2,8,668.8955,671.1331,-2.477017,1.800921,1.734673,2.115321,99.9959,0.0017,0.0024,3.87e-08
31,6,6,704.8595,710.6115,-2.091816,1.801232,1.729569,2.105919,99.9957,0.0021,0.0021,3.26e-08
32,3,8,715.7931,720.4811,-2.186630,1.801096,1.742244,2.083668,99.9954,0.0031,0.0014,3.78e-08
33,5,7,727.7928,730.3507,-2.455639,1.800944,1.735451,2.111271,99.9955,0.0022,0.0023,3.64e-08
34,5,7,736.6404,730.3507,-2.064906,1.801105,1.740245,2.108591,99.9954,0.0017,0.0029,3.28e-08
35,5,7,741.7243,730.3507,-1.807636,1.801583,1.716278,2.124086,99.9959,0.0023,0.0018,3.35e-08
36,5,7,755.7303,730.3507,-1.459046,1.801067,1.751625,2.105716,99.9952,0.0029,0.0019,3.31e-08
37,4,8,776.6274,789.5684,-1.785424,1.801233,1.745873,2.059398,99.9949,0.0025,0.0026,2.90e-08
38,4,8,792.1776,789.5684,-2.480878,1.800998,1.743069,2.084234,99.9950,0.0027,0.0024,3.16e-08
39,1,9,802.9281,809.3076,-2.103332,1.800477,1.745159,2.043661,99.9948,0.0024,0.0028,2.51e-08
40,1,9,810.9973,809.3076,-2.680302,1.801918,1.741937,2.060972,99.9949,0.0025,0.0026,2.66e-08
41,2,9,826.1940,838.9164,-1.819150,1.800937,1.739625,2.069750,99.9947,0.0027,0.0026,2.72e-08
42,2,9,845.5925,838.9164,-2.099194,1.800874,1.728113,2.083243,99.9950,0.0024,0.0026,2.43e-08
43,2,9,856.1056,838.9164,-1.688462,1.801492,1.755510,2.051972,99.9943,0.0024,0.0032,2.97e-08
44,5,8,868.6341,878.3948,-1.954208,1.801046,1.749823,2.022178,99.9942,0.0014,0.0044,2.43e-08
45,5,8,883.0316,878.3948,-2.277471,1.800149,1.734252,2.052691,99.9946,0.0020,0.0034,2.45e-08
46,3,9,890.9194,888.2644,-2.524470,1.801310,1.748840,2.052866,99.9942,0.0033,0.0025,2.48e-08
47,3,9,911.7690,888.2644,-1.577390,1.800647,1.740669,2.069575,99.9944,0.0033,0.0023,2.18e-08
48,3,9,915.3381,888.2644,-1.515995,1.801351,1.756486,2.064469,99.9940,0.0039,0.0021,2.40e-08
49,4,9,928.6334,957.3516,-1.522914,1.800960,1.741403,2.015656,99.9939,0.0027,0.0033,1.85e-08
50,4,9,937.1619,957.3516,-1.675941,1.801541,1.742114,2.039647,99.9939,0.0040,0.0021,2.24e-08
51,4,9,942.1950,957.3516,-1.800468,1.800332,1.754995,2.002747,99.9935,0.0043,0.0022,2.42e-08
52,4,9,952.9582,957.3516,-2.338268,1.801458,1.753739,2.023233,99.9936,0.0041,0.0023,1.90e-08
53,7,7,975.5832,967.2212,-2.063216,1.800868,1.754717,2.034021,99.9935,0.0032,0.0033,1.65e-08
54,6,8,981.9891,986.9604,-2.297824,1.801390,1.752732,2.008824,99.9934,0.0021,0.0045,2.52e-08
55,1,10,1008.5296,996.8300,-1.930452,1.801046,1.757679,2.019003,99.9932,0.0031,0.0037,2.11e-08
56,2,10,1012.4417,1026.4389,-1.865293,1.800619,1.754899,1.995614,99.9931,0.0035,0.0035,1.71e-08
57,2,10,1034.7284,1026.4389,-2.092804,1.799994,1.757769,2.011097,99.9929,0.0022,0.0049,1.57e-08
58,5,9,1045.6073,1046.1781,-3.263173,1.801132,1.763121,1.994764,99.9927,0.0037,0.0036,2.10e-08
59,5,9,1052.4537,1046.1781,-2.221945,1.801014,1.755926,2.002403,99.9929,0.0034,0.0036,1.78e-08
60,3,10,1062.0198,1075.7869,-1.892885,1.801179,1.745636,2.003057,99.9931,0.0034,0.0035,1.60e-08
61,3,10,1087.0147,1075.7869,-1.981429,1.800385,1.761952,1.994772,99.9925,0.0038,0.0037,1.47e-08
62,7,8,1100.1901,1115.2653,-1.869114,1.802086,1.744961,2.002064,99.9929,0.0031,0.0041,1.53e-08
63,7,8,1116.1797,1115.2653,-3.086231,1.801369,1.749526,1.992833,99.9927,0.0038,0.0035,1.57e-08
64,7,8,1119.7155,1115.2653,-2.398998,1.800113,1.759307,1.992828,99.9923,0.0051,0.0026,1.63e-08
65,4,10,1136.6130,1144.8741,-2.141718,1.800982,1.739918,1.999259,99.9928,0.0038,0.0034,1.52e-08
66,4,10,1149.4270,1144.8741,-2.400469,1.800838,1.750323,2.001783,99.9924,0.0039,0.0037,1.67e-08
67,6,9,1166.2797,1154.7437,-2.000430,1.800898,1.750747,1.994621,99.9924,0.0042,0.0034,1.44e-08
68,6,9,1176.8579,1154.7437,-1.717815,1.800413,1.748554,2.005442,99.9924,0.0045,0.0031,1.74e-08
69,1,11,1185.2218,1204.0917,-1.804890,1.801815,1.742939,1.969424,99.9924,0.0032,0.0045,1.25e-08
70,1,11,1192.6706,1204.0917,-2.022949,1.801707,1.754839,1.985544,99.9919,0.0031,0.0050,1.53e-08
71,1,11,1208.5396,1204.0917,-2.432505,1.800679,1.764724,1.968224,99.9915,0.0045,0.0040,1.44e-08
72,1,11,1216.6604,1204.0917,-1.981370,1.801532,1.755550,1.979110,99.9919,0.0047,0.0034,1.52e-08
73,2,11,1223.9491,1233.7006,-2.102139,1.801064,1.756188,1.966036,99.9916,0.0042,0.0042,1.57e-08
74,2,11,1230.7086,1233.7006,-2.615259,1.800637,1.746138,1.977368,99.9920,0.0042,0.0038,1.25e-08
75,8,8,1249.2987,1263.3094,-1.955052,1.801200,1.755993,1.977672,99.9915,0.0048,0.0037,1.13e-08
76,8,8,1256.9949,1263.3094,-2.301177,1.802249,1.735486,1.986424,99.9923,0.0045,0.0033,1.45e-08
77,8,8,1258.7735,1263.3094,-2.444849,1.801295,1.752627,1.969880,99.9916,0.0030,0.0054,1.49e-08
78,3,11,1274.6401,1283.0486,-2.183525,1.800888,1.756955,1.954926,99.9913,0.0054,0.0033,1.16e-08
79,3,11,1288.6082,1283.0486,-2.363197,1.800733,1.754240,1.967572,99.9914,0.0042,0.0044,1.33e-08
80,3,11,1295.6635,1283.0486,-2.007360,1.800600,1.749352,1.975710,99.9916,0.0039,0.0045,1.14e-08
81,3,11,1305.6284,1283.0486,-1.754522,1.801692,1.749305,1.983799,99.9916,0.0044,0.0040,1.24e-08
82,6,10,1315.2737,1342.2662,-1.696596,1.801239,1.753386,1.943499,99.9910,0.0032,0.0057,1.46e-08
83,6,10,1319.5882,1342.2662,-1.772233,1.800802,1.722158,1.974752,99.9922,0.0031,0.0047,1.29e-08
84,6,10,1337.9508,1342.2662,-2.492813,1.801279,1.749605,1.958130,99.9912,0.0045,0.0043,9.73e-09
85,4,11,1350.5836,1352.1358,-2.940064,1.801488,1.753863,1.952777,99.9910,0.0032,0.0059,1.12e-08
86,4,11,1367.1632,1352.1358,-1.954137,1.801928,1.743133,1.984666,99.9914,0.0030,0.0056,1.28e-08
87,4,11,1381.2993,1352.1358,-1.666180,1.801274,1.719466,2.007394,99.9923,0.0039,0.0039,1.25e-08
88,4,11,1390.5054,1352.1358,-1.547034,1.801194,1.759637,1.990550,99.9907,0.0049,0.0044,1.37e-08
89,1,12,1398.0071,1431.0926,-1.636029,1.800627,1.724325,1.961241,99.9916,0.0046,0.0038,1.35e-08
90,1,12,1402.4098,1431.0926,-1.698045,1.800749,1.706810,1.983800,99.9923,0.0032,0.0046,1.33e-08
91,1,12,1411.7728,1431.0926,-1.869665,1.799776,1.749009,1.947641,99.9905,0.0056,0.0039,1.31e-08
92,1,12,1419.8758,1431.0926,-2.105798,1.801250,1.728276,1.985594,99.9915,0.0036,0.0050,1.17e-08
93,5,11,1438.2661,1440.9622,-2.727915,1.800047,1.731971,1.978416,99.9912,0.0048,0.0040,1.38e-08
94,5,11,1439.4526,1440.9622,-2.979764,1.801246,1.718671,1.995253,99.9918,0.0039,0.0043,1.08e-08
95,5,11,1450.4185,1440.9622,-2.182932,1.800024,1.752657,1.963905,99.9903,0.0046,0.0051,1.26e-08
96,2,12,1459.6114,1460.7015,-3.127104,1.800144,1.746631,1.963825,99.9905,0.0050,0.0045,1.08e-08
97,7,10,1469.9130,1470.5711,-3.349238,1.800144,1.751721,1.955814,99.9902,0.0055,0.0043,8.79e-09
98,7,10,1479.2343,1470.5711,-2.229807,1.801296,1.749643,1.974832,99.9903,0.0049,0.0048,1.08e-08
99,3,12,1491.1657,1510.0495,-1.902901,1.802348,1.747765,1.937746,99.9902,0.0051,0.0047,1.15e-08
100,3,12,1500.0197,1510.0495,-2.177700,1.800116,1.719369,1.973327,99.9913,0.0046,0.0041,1.03e-08
101,3,12,1504.3374,1510.0495,-2.422195,1.801876,1.726462,1.971494,99.9911,0.0043,0.0046,1.09e-08
102,3,12,1511.5669,1510.0495,-2.997878,1.800596,1.749493,1.950645,99.9900,0.0044,0.0055,9.27e-09
103,3,12,1514.8858,1510.0495,-2.494473,1.800950,1.750944,1.950101,99.9900,0.0050,0.0050,1.18e-08
104,6,11,1543.0880,1549.5279,-2.381319,1.800452,1.757977,1.932487,99.9894,0.0063,0.0043,1.08e-08
105,6,11,1544.9705,1549.5279,-2.531480,1.800309,1.742731,1.953439,99.9901,0.0056,0.0043,1.04e-08
106,6,11,1550.6469,1549.5279,-3.141373,1.801383,1.754635,1.944288,99.9896,0.0054,0.0050,1.06e-08
107,6,11,1557.5431,1549.5279,-2.286285,1.801481,1.757815,1.943214,99.9894,0.0056,0.0049,8.53e-09
108,4,12,1566.7326,1579.1367,-2.104856,1.801637,1.742190,1.950047,99.9900,0.0040,0.0060,1.09e-08
109,4,12,1573.3443,1579.1367,-2.435558,1.800408,1.760034,1.923967,99.9891,0.0054,0.0056,8.98e-09
110,9,9,1590.5621,1598.8759,-2.284012,1.801363,1.757919,1.925337,99.9891,0.0067,0.0042,1.08e-08
111,9,9,1597.7532,1598.8759,-3.153532,1.800703,1.748779,1.947837,99.9895,0.0047,0.0058,8.12e-09
112,8,10,1611.3650,1618.6151,-2.348798,1.801153,1.748393,1.954026,99.9894,0.0047,0.0059,8.48e-09
113,8,10,1612.8389,1618.6151,-2.447503,1.800404,1.761327,1.918382,99.9887,0.0062,0.0051,1.01e-08
114,8,10,1629.3943,1618.6151,-2.176559,1.800839,1.756415,1.940979,99.9890,0.0065,0.0045,9.46e-09
115,8,10,1634.5873,1618.6151,-2.005781,1.801006,1.742938,1.954706,99.9897,0.0058,0.0045,9.34e-09
116,5,12,1647.2481,1667.9631,-1.905900,1.801291,1.754384,1.933150,99.9888,0.0063,0.0050,1.05e-08
117,5,12,1654.3859,1667.9631,-2.089375,1.801967,1.744102,1.937766,99.9893,0.0054,0.0053,9.06e-09
118,5,12,1664.0988,1667.9631,-2.635114,1.801264,1.745352,1.942229,99.9892,0.0050,0.0057,7.71e-09
119,1,13,1676.6165,1677.8327,-3.139740,1.800899,1.744350,1.941852,99.9892,0.0049,0.0059,9.80e-09
120,1,13,1680.1663,1677.8327,-2.856733,1.802151,1.761647,1.928344,99.9884,0.0057,0.0059,8.31e-09
121,1,13,1688.7714,1677.8327,-2.185785,1.801861,1.753743,1.939119,99.9888,0.0064,0.0048,7.23e-09
122,2,13,1695.3391,1707.4416,-2.149472,1.800193,1.756618,1.921419,99.9883,0.0060,0.0056,9.93e-09
123,2,13,1705.9891,1707.4416,-3.070229,1.801106,1.741035,1.944531,99.9892,0.0049,0.0059,8.73e-09
124,2,13,1723.0872,1707.4416,-2.037953,1.801460,1.748769,1.951723,99.9888,0.0056,0.0055,8.20e-09
125,3,13,1736.6250,1756.7896,-1.940130,1.802692,1.752903,1.912629,99.9884,0.0062,0.0054,8.51e-09
126,3,13,1744.2932,1756.7896,-2.147937,1.801003,1.748692,1.923754,99.9885,0.0057,0.0058,9.30e-09
127,3,13,1752.0673,1756.7896,-2.570565,1.801194,1.751249,1.927218,99.9884,0.0046,0.0070,8.18e-09
128,3,13,1755.4745,1756.7896,-3.125769,1.801223,1.756349,1.925000,99.9881,0.0065,0.0054,7.17e-09
129,3,13,1763.5749,1756.7896,-2.413150,1.800429,1.754476,1.930510,99.9881,0.0067,0.0051,9.89e-09
130,9,10,1786.6597,1786.3984,-3.834883,1.801549,1.748430,1.939432,99.9883,0.0054,0.0063,9.69e-09
131,9,10,1789.5291,1786.3984,-2.756331,1.801411,1.753328,1.927296,99.9881,0.0056,0.0063,8.09e-09
132,9,10,1793.2190,1786.3984,-2.418154,1.801771,1.739614,1.945635,99.9888,0.0058,0.0054,7.41e-09
133,4,13,1810.9250,1825.8768,-2.086779,1.801664,1.748453,1.914624,99.9881,0.0050,0.0069,6.78e-09
134,4,13,1828.1766,1825.8768,-2.899786,1.802317,1.734929,1.943700,99.9889,0.0051,0.0060,7.86e-09
135,4,13,1843.4033,1825.8768,-2.017777,1.800687,1.748757,1.934232,99.9880,0.0059,0.0061,9.72e-09
136,4,13,1846.4709,1825.8768,-1.947729,1.800307,1.709750,1.974901,99.9900,0.0051,0.0049,9.70e-09
137,4,13,1848.6953,1825.8768,-1.903185,1.800695,1.740620,1.949553,99.9885,0.0067,0.0049,7.36e-09
138,4,13,1859.7596,1825.8768,-1.731492,1.800774,1.765270,1.920561,99.9871,0.0063,0.0066,7.64e-09
139,4,13,1864.5860,1825.8768,-1.673657,1.800123,1.752193,1.934070,99.9878,0.0055,0.0067,6.90e-09
140,7,12,1869.1548,1904.8336,-1.727446,1.801470,1.754572,1.905214,99.9872,0.0075,0.0053,8.34e-09
141,7,12,1888.5739,1904.8336,-2.068744,1.801716,1.742559,1.927543,99.9879,0.0063,0.0058,8.83e-09
142,7,12,1889.3646,1904.8336,-2.090395,1.801152,1.743937,1.922527,99.9878,0.0071,0.0051,8.53e-09
143,7,12,1895.1890,1904.8336,-2.295573,1.801026,1.745342,1.924788,99.9877,0.0054,0.0069,8.28e-09
144,7,12,1904.4865,1904.8336,-3.739285,1.801561,1.741424,1.937087,99.9880,0.0069,0.0051,8.53e-09
145,5,13,1918.6375,1914.7033,-2.687245,1.801374,1.746722,1.930508,99.9876,0.0068,0.0056,6.22e-09
146,5,13,1929.2760,1914.7033,-2.118561,1.800825,1.755457,1.922232,99.9870,0.0060,0.0070,6.99e-09
147,1,14,1939.4395,1944.3121,-2.601009,1.799447,1.740508,1.934569,99.9877,0.0047,0.0077,8.25e-09
148,1,14,1951.3821,1944.3121,-2.439347,1.800316,1.742366,1.927542,99.9876,0.0061,0.0063,5.89e-09
149,1,14,1953.9832,1944.3121,-2.303289,1.800549,1.739997,1.936277,99.9878,0.0061,0.0061,7.55e-09
150,2,14,1963.4486,1973.9209,-2.275288,1.801615,1.752368,1.909329,99.9869,0.0072,0.0059,6.47e-09
151,2,14,1980.2244,1973.9209,-2.495747,1.799922,1.753549,1.917996,99.9867,0.0062,0.0071,6.75e-09
152,2,14,1981.8360,1973.9209,-2.396873,1.800905,1.744467,1.937351,99.9873,0.0059,0.0068,8.28e-09
153,9,11,2008.3691,1993.6601,-2.132068,1.801893,1.743551,1.932453,99.9873,0.0066,0.0061,8.19e-09
154,3,14,2016.6407,2023.2689,-2.484659,1.802097,1.744506,1.919497,99.9871,0.0071,0.0058,6.17e-09
155,3,14,2021.8469,2023.2689,-3.153166,1.800417,1.741152,1.923780,99.9872,0.0065,0.0063,5.95e-09
156,3,14,2033.6388,2023.2689,-2.290281,1.800279,1.757376,1.912973,99.9862,0.0075,0.0063,5.90e-09
157,8,12,2039.0209,2052.8777,-2.170701,1.800798,1.750850,1.904694,99.9864,0.0070,0.0066,6.36e-09
158,8,12,2044.0533,2052.8777,-2.366675,1.801493,1.742211,1.917948,99.9870,0.0059,0.0071,7.96e-09
159,8,12,2057.0284,2052.8777,-2.694243,1.799629,1.754567,1.911330,99.9861,0.0080,0.0059,6.83e-09
160,8,12,2058.5092,2052.8777,-2.561740,1.800315,1.760023,1.906902,99.9858,0.0056,0.0086,7.23e-09
161,8,12,2070.2261,2052.8777,-2.073103,1.800299,1.745988,1.921773,99.9867,0.0077,0.0057,5.89e-09
162,4,14,2078.0857,2092.3561,-2.166199,1.800968,1.753731,1.904675,99.9859,0.0065,0.0076,6.60e-09
163,4,14,2087.9326,2092.3561,-2.674869,1.800913,1.750441,1.913856,99.9862,0.0072,0.0067,7.07e-09
164,4,14,2096.5225,2092.3561,-2.700880,1.801550,1.748818,1.916145,99.9863,0.0065,0.0072,5.47e-09
165,4,14,2104.9866,2092.3561,-2.219216,1.801226,1.748597,1.923847,99.9863,0.0076,0.0061,6.52e-09
166,4,14,2111.3703,2092.3561,-2.041559,1.799863,1.751401,1.922887,99.9860,0.0064,0.0076,5.55e-09
167,4,14,2117.0873,2092.3561,-1.927390,1.799885,1.761402,1.910187,99.9854,0.0074,0.0072,6.04e-09
168,4,14,2121.6072,2092.3561,-1.854494,1.801431,1.762530,1.912788,99.9854,0.0051,0.0095,6.99e-09
169,7,13,2129.8034,2151.5738,-1.994890,1.801892,1.754580,1.898495,99.9856,0.0072,0.0072,6.66e-09
170,7,13,2146.8657,2151.5738,-2.659914,1.801702,1.753203,1.912241,99.9857,0.0065,0.0078,4.99e-09
171,7,13,2155.4908,2151.5738,-2.739803,1.802757,1.753189,1.909245,99.9857,0.0059,0.0084,5.94e-09
172,7,13,2162.1271,2151.5738,-2.309365,1.800181,1.750144,1.915120,99.9858,0.0077,0.0066,5.30e-09
173,5,14,2180.4963,2181.1826,-3.502224,1.801482,1.753977,1.904197,99.9854,0.0062,0.0084,8.04e-09
174,5,14,2188.2413,2181.1826,-2.489964,1.799682,1.752879,1.912172,99.9854,0.0076,0.0070,5.61e-09
175,5,14,2195.1817,2181.1826,-2.192591,1.802277,1.752020,1.912616,99.9856,0.0072,0.0072,5.85e-09
176,9,12,2208.1902,2220.6610,-2.250588,1.799551,1.758893,1.895369,99.9846,0.0072,0.0082,6.63e-09
177,9,12,2213.8829,2220.6610,-2.515374,1.800292,1.753179,1.903419,99.9851,0.0066,0.0083,5.77e-09
178,9,12,2219.7088,2220.6610,-3.367751,1.801434,1.754611,1.908930,99.9851,0.0069,0.0080,6.22e-09
179,1,15,2236.6384,2230.5306,-2.562520,1.801644,1.754720,1.908316,99.9850,0.0063,0.0088,4.52e-09
180,1,15,2243.4589,2230.5306,-2.236866,1.801342,1.758536,1.902417,99.9847,0.0080,0.0073,5.73e-09
181,2,15,2255.5550,2260.1394,-2.692853,1.800148,1.739265,1.915187,99.9857,0.0066,0.0077,4.45e-09
182,2,15,2273.2165,2260.1394,-2.237625,1.799989,1.751651,1.906250,99.9849,0.0060,0.0091,5.29e-09
183,6,14,2288.8614,2289.7482,-3.411961,1.801472,1.763422,1.889662,99.9840,0.0072,0.0088,4.87e-09
184,6,14,2291.1510,2289.7482,-3.212812,1.801017,1.751951,1.905686,99.9848,0.0069,0.0083,6.29e-09
185,8,13,2298.5354,2299.6178,-3.327243,1.801162,1.752267,1.899000,99.9847,0.0066,0.0087,4.07e-09
186,3,15,2309.1569,2309.4874,-3.844310,1.800309,1.739191,1.914824,99.9854,0.0067,0.0079,6.18e-09
187,3,15,2324.6517,2309.4874,-2.182693,1.801162,1.754416,1.904277,99.9844,0.0088,0.0068,5.31e-09
188,3,15,2326.7492,2309.4874,-2.126431,1.801447,1.759025,1.901889,99.9841,0.0088,0.0071,6.12e-09
189,3,15,2333.0526,2309.4874,-1.991246,1.801226,1.760057,1.895627,99.9840,0.0067,0.0093,5.35e-09
190,3,15,2338.1346,2309.4874,-1.906433,1.801866,1.758089,1.900787,99.9842,0.0063,0.0095,6.04e-09
191,4,15,2353.5851,2378.5747,-1.978558,1.801417,1.737370,1.914572,99.9852,0.0077,0.0072,5.14e-09
192,4,15,2359.5076,2378.5747,-2.096034,1.801720,1.731019,1.918181,99.9856,0.0084,0.0060,6.25e-09
193,4,15,2374.5778,2378.5747,-2.774593,1.801755,1.753064,1.893075,99.9841,0.0097,0.0063,4.41e-09
194,4,15,2382.0396,2378.5747,-2.836627,1.801139,1.754498,1.897922,99.9839,0.0087,0.0074,3.70e-09
195,11,11,2394.4717,2388.4443,-2.597986,1.801017,1.757843,1.891445,99.9837,0.0085,0.0078,5.52e-09
196,10,12,2409.0620,2408.1835,-3.437953,1.801789,1.756102,1.896876,99.9837,0.0102,0.0061,4.35e-09
197,7,14,2418.2129,2418.0531,-4.179695,1.800119,1.752267,1.896881,99.9838,0.0081,0.0081,5.83e-09
198,7,14,2420.7646,2418.0531,-2.950246,1.800689,1.747887,1.904921,99.9842,0.0080,0.0077,5.07e-09
199,7,14,2431.6218,2418.0531,-2.250927,1.801194,1.753141,1.905812,99.9839,0.0082,0.0079,5.39e-09
200,7,14,2440.7526,2418.0531,-2.027449,1.800912,1.749927,1.909486,99.9841,0.0075,0.0085,5.78e-09
201,5,15,2444.5218,2467.4011,-2.032797,1.801772,1.741206,1.898688,99.9843,0.0083,0.0074,4.34e-09
202,5,15,2454.2402,2467.4011,-2.272954,1.801557,1.741980,1.902603,99.9843,0.0087,0.0070,5.92e-09
203,5,15,2460.7826,2467.4011,-2.571478,1.801475,1.751143,1.892791,99.9836,0.0086,0.0078,5.28e-09
204,5,15,2471.7315,2467.4011,-2.755717,1.803494,1.736670,1.918971,99.9848,0.0077,0.0074,6.44e-09
205,5,15,2477.1017,2467.4011,-2.405441,1.800703,1.750453,1.901937,99.9836,0.0080,0.0084,4.60e-09
206,5,15,2486.1295,2467.4011,-2.119740,1.802346,1.758474,1.894696,99.9831,0.0085,0.0084,5.41e-09
207,5,15,2493.8210,2467.4011,-1.970309,1.801533,1.752125,1.913719,99.9835,0.0087,0.0078,5.38e-09
208,5,15,2498.4790,2467.4011,-1.899788,1.802427,1.750199,1.911891,99.9837,0.0077,0.0086,5.54e-09
209,5,15,2501.4559,2467.4011,-1.860062,1.802680,1.753817,1.904938,99.9835,0.0080,0.0085,5.31e-09
210,5,15,2510.4606,2467.4011,-1.758171,1.801567,1.736141,1.942611,99.9847,0.0077,0.0076,4.24e-09
211,8,14,2519.1991,2566.0971,-1.738118,1.800796,1.745799,1.888873,99.9835,0.0076,0.0089,5.48e-09
212,8,14,2521.7605,2566.0971,-1.762510,1.800385,1.750522,1.889729,99.9831,0.0078,0.0092,5.14e-09
213,8,14,2531.8640,2566.0971,-1.874826,1.801442,1.754216,1.888899,99.9829,0.0086,0.0085,5.36e-09
214,8,14,2543.7171,2566.0971,-2.059412,1.799933,1.745742,1.893812,99.9834,0.0071,0.0095,5.96e-09
215,8,14,2551.1254,2566.0971,-2.234001,1.800481,1.754234,1.888853,99.9828,0.0095,0.0077,3.95e-09
216,8,14,2559.9056,2566.0971,-2.617475,1.799951,1.747983,1.900851,99.9832,0.0083,0.0085,4.36e-09
217,8,14,2568.3385,2566.0971,-3.058766,1.801208,1.762561,1.885417,99.9822,0.0086,0.0092,5.39e-09
218,8,14,2570.8785,2566.0971,-2.729720,1.799300,1.746588,1.907231,99.9833,0.0080,0.0088,5.07e-09
219,6,15,2579.1748,2575.9667,-2.904700,1.801093,1.749399,1.901428,99.9830,0.0095,0.0075,4.68e-09
220,6,15,2585.2143,2575.9667,-2.444913,1.802094,1.751042,1.899501,99.9830,0.0078,0.0092,4.78e-09
221,11,12,2601.8549,2615.4452,-2.284317,1.800528,1.747626,1.890551,99.9829,0.0087,0.0084,4.43e-09
222,11,12,2603.6380,2615.4452,-2.345401,1.801435,1.754133,1.886063,99.9825,0.0093,0.0082,4.67e-09
223,11,12,2611.1495,2615.4452,-2.784515,1.801525,1.735946,1.901669,99.9839,0.0083,0.0078,4.51e-09
224,11,12,2626.4461,2615.4452,-2.376115,1.801944,1.759015,1.891723,99.9821,0.0099,0.0080,5.24e-09
225,11,12,2633.3382,2615.4452,-2.164861,1.801360,1.753618,1.897035,99.9825,0.0090,0.0085,5.10e-09
226,10,13,2636.3679,2654.9236,-2.155576,1.801870,1.749833,1.890069,99.9826,0.0080,0.0094,3.85e-09
227,10,13,2664.3124,2654.9236,-2.451440,1.800985,1.753195,1.895849,99.9823,0.0102,0.0075,4.41e-09
