mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,lambda_isfinite,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,phi_1_norm,phi_2_norm,rebuild_error,relative_rebuild_error
121,121,w121,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
122,122,w122,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
123,123,w123,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
124,124,w124,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
125,125,w125,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
126,126,w126,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
127,127,w127,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
128,128,w128,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
129,129,w129,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
130,130,w130,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
131,131,w131,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
132,132,w132,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
133,133,w133,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
134,134,w134,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
135,135,w135,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
136,136,w136,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
137,137,w137,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
138,138,w138,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
139,139,w139,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
140,140,w140,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
141,141,w141,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
142,142,w142,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
143,143,w143,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
144,144,w144,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
145,145,w145,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
146,146,w146,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
147,147,w147,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
148,148,w148,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
149,149,w149,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
150,150,w150,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
151,151,w151,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
152,152,w152,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
153,153,w153,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
154,154,w154,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
155,155,w155,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
156,156,w156,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
157,157,w157,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
158,158,w158,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
159,159,w159,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
160,160,w160,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
161,161,w161,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
162,162,w162,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
163,163,w163,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
164,164,w164,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
165,165,w165,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
166,166,w166,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
167,167,w167,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
168,168,w168,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
169,169,w169,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
170,170,w170,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
171,171,w171,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
172,172,w172,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
173,173,w173,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
174,174,w174,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
175,175,w175,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
176,176,w176,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
177,177,w177,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
178,178,w178,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
179,179,w179,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
180,180,w180,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
181,181,w181,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
182,182,w182,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
183,183,w183,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
184,184,w184,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
185,185,w185,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
186,186,w186,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
187,187,w187,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
188,188,w188,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
189,189,w189,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
190,190,w190,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
191,191,w191,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
192,192,w192,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
193,193,w193,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
194,194,w194,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
195,195,w195,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
196,196,w196,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
197,197,w197,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
198,198,w198,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
199,199,w199,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
200,200,w200,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
201,201,w201,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
202,202,w202,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
203,203,w203,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
204,204,w204,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
205,205,w205,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
206,206,w206,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
207,207,w207,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
208,208,w208,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
209,209,w209,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
210,210,w210,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
211,211,w211,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
212,212,w212,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
213,213,w213,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
214,214,w214,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
215,215,w215,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
216,216,w216,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
217,217,w217,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
218,218,w218,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
219,219,w219,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
220,220,w220,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
221,221,w221,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
222,222,w222,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
223,223,w223,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
224,224,w224,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
225,225,w225,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
226,226,w226,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
227,227,w227,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
228,228,w228,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
229,229,w229,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
230,230,w230,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
231,231,w231,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
232,232,w232,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
233,233,w233,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
234,234,w234,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
235,235,w235,-Inf,0.0,false,false,true,1.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,0.0
