mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
21.0,21.0,-Inf,0.0,0.0,1.0,0.0,1.0,4.1771998405246995,1.9028711849163986e11,4697.931686153379,NaN,NaN,1124.6605059630735,0.0
22.0,22.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.2872351997449973,1.381287188529078e11,3438.2491389672055,NaN,NaN,1045.939499319648,0.0
23.0,23.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.8725182575683585,1.924472528547287e11,4074.2473525751743,NaN,NaN,1052.0924839056759,0.0
24.0,24.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.4581090146026345,2.8080132298735724e11,7083.2744959981665,NaN,NaN,2048.3086178276812,0.0
25.0,25.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.080229641549061,3.300905247650356e11,4433.620263101224,NaN,NaN,1439.3797797723732,0.0
26.0,26.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.454573343071522,2.190244518124282e11,1689.0658517873242,NaN,NaN,688.1301210880573,0.0
27.0,27.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.5131494108733508,3.511905014159611e11,2689.3845970802076,NaN,NaN,765.5195616663626,0.0
28.0,28.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.8604993544208317,3.0920470289956964e11,2353.563825315474,NaN,NaN,1265.017275992623,0.0
29.0,29.0,1.0000000000000002,0.0,1.0,0.0,0.0,1.0,5.311329774733262,8.113037750425241e18,8.11303775042524e18,7263.813484478014,8.95325981208122e-16,1.5274965205550019e18,1.0
30.0,30.0,1.000000000000001,0.0,1.0,0.0,0.0,1.0,5.511679778597396,8.643624966084915e18,8.643624966084907e18,11948.6925366225,1.3823705428573906e-15,1.5682378718098394e18,1.0
31.0,31.0,1.000000000000001,0.0,1.0,0.0,0.0,1.0,4.631254742510474,1.2568227728002982e19,1.2568227728002976e19,14247.395311242297,1.1336041659635105e-15,2.7137845846912087e18,1.0
32.0,32.0,1.0000000043853159,0.0,1.0,0.0,0.0,1.0,3.990068795648193,1.0938798066642485e19,1.0938798018672413e19,18231.818645295152,1.6667113273525433e-15,2.74150611904309e18,1.0
33.0,33.0,1.000000011498777,0.0,1.0,0.0,0.0,1.0,5.308570021275674,1.1239386258924323e19,1.123938612968513e19,14025.03501546329,1.247847052531636e-15,2.117215386561719e18,1.0
34.0,34.0,1.000000013345539,0.0,1.0,0.0,0.0,1.0,4.0614531807915775,8.107772925272681e18,8.107772817070085e18,11297.495141918516,1.3934153368680533e-15,1.9962738596656381e18,1.0
35.0,35.0,1.0000000136118707,0.0,1.0,0.0,0.0,1.0,3.953364409432538,8.134585387485915e18,8.134585276758994e18,12046.452197623299,1.480893201533703e-15,2.0576360877206925e18,1.0
36.0,36.0,1.000000014940638,0.0,1.0,0.0,0.0,1.0,3.1827759542075813,7.985694051906542e18,7.985693932595184e18,15899.802519805764,1.991035771776125e-15,2.509034266781555e18,1.0
37.0,37.0,1.0000000270057825,0.0,1.0,0.0,0.0,1.0,4.387664482128494,4.801449028914851e18,4.801448899247967e18,8314.98705389692,1.731766182213569e-15,1.0943063032291711e18,1.0
38.0,38.0,1.0000000299326266,0.0,1.0,0.0,0.0,1.0,3.7143107117356298,6.61256187113285e18,6.612561673201508e18,11728.31931924781,1.7736422808303401e-15,1.780293084342311e18,1.0
39.0,39.0,1.0000000303085361,0.0,1.0,0.0,0.0,1.0,3.8876054449748985,7.231201004582931e18,7.231200785415825e18,13622.43506607666,1.883841295165649e-15,1.8600655050431734e18,1.0
40.0,40.0,1.0000000314848831,0.0,1.0,0.0,0.0,1.0,3.1661441853998196,6.669200918265924e18,6.669200708286923e18,15273.002605836851,2.290079845099046e-15,2.1064109269062674e18,1.0
41.0,41.0,1.0000000504438284,0.0,1.0,0.0,0.0,1.0,3.8411328581606594,6.36598621863217e18,6.365985897507474e18,16648.9509736275,2.6152979918333487e-15,1.6573198930056927e18,1.0
42.0,42.0,1.0000000507210318,0.0,1.0,0.0,0.0,1.0,3.8206767180802275,6.021089112585861e18,6.021088807190031e18,13830.833043561794,2.2970649968709542e-15,1.575922081734108e18,1.0
43.0,43.0,1.0000000510049738,0.0,1.0,0.0,0.0,1.0,3.72448620091093,6.03443315971608e18,6.034432851929994e18,18057.40433627582,2.9923944566693004e-15,1.6202054528901466e18,1.0
44.0,44.0,1.0000000514164833,0.0,1.0,0.0,0.0,1.0,3.442317616620505,5.798392805909348e18,5.798392507776398e18,12855.510032308252,2.2170816056488517e-15,1.6844443638146819e18,1.0
45.0,45.0,1.5115916560756003e11,0.0,1.0,0.0,0.0,1.0,1.5755879726339128,2.5760437929111946e10,0.15419437525715393,1.9604674029785034e10,0.7610380725565902,0.09786465620157468,1.0
46.0,46.0,Inf,0.0,0.0,1.0,0.0,1.0,1.9502003379573536,4.04043185436804e10,4.024389527538552e-17,NaN,NaN,2.0635774946863723e-17,0.0
47.0,47.0,Inf,0.0,0.0,1.0,0.0,1.0,2.202469887140867,5.220051191445251e10,5.624808899723639e-17,NaN,NaN,2.5538641561294968e-17,0.0
48.0,48.0,Inf,0.0,0.0,1.0,0.0,1.0,1.7538697054916192,2.2512280283181667e10,7.347727842468208e-17,NaN,NaN,4.1894376871106283e-17,0.0
49.0,49.0,Inf,0.0,0.0,1.0,0.0,1.0,2.4565453771541867,5.619530593868471e10,9.563625923810787e-17,NaN,NaN,3.893119993936313e-17,0.0
50.0,50.0,Inf,0.0,0.0,1.0,0.0,1.0,2.749066595228832,7.230968345417233e10,1.6863984717940234e-16,NaN,NaN,6.134440230443555e-17,0.0
51.0,51.0,Inf,0.0,0.0,1.0,0.0,1.0,3.0866595346197405,7.864106609145886e10,2.289193959151153e-16,NaN,NaN,7.416412252390413e-17,0.0
52.0,52.0,Inf,0.0,0.0,1.0,0.0,1.0,3.1313717333475766,8.551650168952522e10,1.5917622954025952e-16,NaN,NaN,5.0832747784336997e-17,0.0
53.0,53.0,Inf,0.0,0.0,1.0,0.0,1.0,2.89669185749226,8.873275152308607e10,4.1479683349064056e-16,NaN,NaN,1.431967409366562e-16,0.0
54.0,54.0,Inf,0.0,0.0,1.0,0.0,1.0,3.0043963355522774,8.37073596318831e10,2.467575081428493e-16,NaN,NaN,8.213214256150715e-17,0.0
55.0,55.0,Inf,0.0,0.0,1.0,0.0,1.0,2.381191102741223,6.364976670457693e10,2.3676075293018324e-16,NaN,NaN,9.942954711094993e-17,0.0
56.0,56.0,Inf,0.0,0.0,1.0,0.0,1.0,2.3295174553013482,7.767691983425607e10,2.5718120017568504e-16,NaN,NaN,1.1040106164064604e-16,0.0
57.0,57.0,Inf,0.0,0.0,1.0,0.0,1.0,1.906256741167834,6.637219216865275e10,1.1645840001196136e-15,NaN,NaN,6.1092715108572e-16,0.0
58.0,58.0,Inf,0.0,0.0,1.0,0.0,1.0,1.8122226368034378,5.3731069854182014e10,3.8754497578096897e-16,NaN,NaN,2.1385064280212053e-16,0.0
59.0,59.0,Inf,0.0,0.0,1.0,0.0,1.0,2.5253460463028103,4.672746449727137e10,3775.643742761954,NaN,NaN,1495.0995521146974,0.0
60.0,60.0,Inf,0.0,0.0,1.0,0.0,1.0,3.0672726213403605,7.122829851958673e10,2601.194296374705,NaN,NaN,848.0479623092698,0.0
61.0,61.0,Inf,0.0,0.0,1.0,0.0,1.0,3.238450562571286,1.1047483082256151e11,4836.575502873619,NaN,NaN,1493.48443319556,0.0
62.0,62.0,Inf,0.0,0.0,1.0,0.0,1.0,2.7020891011024477,7.904496006366501e10,3516.5972285456423,NaN,NaN,1301.4364430509995,0.0
63.0,63.0,Inf,0.0,0.0,1.0,0.0,1.0,2.316061486609245,7.202329254133463e10,3318.439099146986,NaN,NaN,1432.794042098269,0.0
64.0,64.0,Inf,0.0,0.0,1.0,0.0,1.0,2.9094241984617915,9.965134380556511e10,5704.961309980317,NaN,NaN,1960.855798544785,0.0
65.0,65.0,Inf,0.0,0.0,1.0,0.0,1.0,2.931321178898936,1.0083780721904779e11,5752.505817274733,NaN,NaN,1962.4276789196779,0.0
66.0,66.0,Inf,0.0,0.0,1.0,0.0,1.0,2.9352566425296875,1.397408777972515e11,2983.733880547596,NaN,NaN,1016.5155023637489,0.0
67.0,67.0,Inf,0.0,0.0,1.0,0.0,1.0,3.8770721694850088,4.7222741497002527e11,4423.6278193676735,NaN,NaN,1140.9712344754375,0.0
68.0,68.0,Inf,0.0,0.0,1.0,0.0,1.0,2.9875274205884836,2.4406104880798557e11,2355.9078646026333,NaN,NaN,788.5811686168779,0.0
69.0,69.0,Inf,0.0,0.0,1.0,0.0,1.0,2.6120009472143737,4.221158563091481e11,2660.3778353271746,NaN,NaN,1018.521007109279,0.0
70.0,70.0,Inf,0.0,0.0,1.0,0.0,1.0,2.1828941961475894,3.802197413473316e11,906.4597062181417,NaN,NaN,415.2559055852904,0.0
71.0,71.0,Inf,0.0,0.0,1.0,0.0,1.0,2.134237203495888,2.2451663491059988e11,1804.6914068485298,NaN,NaN,845.5908293100875,0.0
72.0,72.0,Inf,0.0,0.0,1.0,0.0,1.0,2.005147100687219,3.332507916668519e11,1018.1952448891791,NaN,NaN,507.7907972638095,0.0
73.0,73.0,Inf,0.0,0.0,1.0,0.0,1.0,2.194213201761361,3.7106698543409564e11,2702.378728413406,NaN,NaN,1231.593505245582,0.0
74.0,74.0,Inf,0.0,0.0,1.0,0.0,1.0,2.2064697108585354,4.025997858218844e11,1512.167404490833,NaN,NaN,685.3334070479716,0.0
75.0,75.0,Inf,0.0,0.0,1.0,0.0,1.0,2.2320856542533276,3.1548934127763513e11,3762.3981792824143,NaN,NaN,1685.5975809499137,0.0
