mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
41.0,41.0,1.9099566578560406e11,0.0,1.0,0.0,0.0,1.0,3.9864961599049242,8.705911401554553e10,0.45581722786581486,2995.2847431501136,3.440518257222054e-8,0.1143403153000117,1.0
42.0,42.0,2.322015984497727e11,0.0,1.0,0.0,0.0,1.0,2.3614601932369874,4.6084292069865936e11,1.9846673049110286,5261.523114947293,1.141717248682171e-8,0.8404407199388496,1.0
43.0,43.0,2.6664334383534357e11,0.0,1.0,0.0,0.0,1.0,3.040552156742153,6.069668115207775e10,0.22763246343436822,8659.173907167007,1.4266305395523187e-7,0.07486550195483854,1.0
44.0,44.0,3.479374471814938e11,0.0,1.0,0.0,0.0,1.0,3.0531351254686117,4.4006634017959717e11,1.2647857953499828,6189.901890084845,1.4065838068667164e-8,0.41425804734268246,1.0
45.0,45.0,3.554812100424843e11,0.0,1.0,0.0,0.0,1.0,3.599594948157986,1.2605127865421687e11,0.35459336576977885,3467.9555586524566,2.751226003737361e-8,0.09850924086645756,1.0
46.0,46.0,4.249274719428479e11,0.0,1.0,0.0,0.0,1.0,3.4988688137812805,6.31267323916013e10,0.1485588407317739,3582.2235728209075,5.674653864935972e-8,0.04245910568199444,1.0
47.0,47.0,8.401489602853699e11,0.0,1.0,0.0,0.0,1.0,2.108039977505261,6.877076851461531e11,0.8185544664323893,7455.368229352407,1.0840897070632527e-8,0.38830120641312477,1.0
48.0,48.0,8.517230550961578e11,0.0,1.0,0.0,0.0,1.0,2.6308812968181745,4.714862006153338e10,0.055356749912508496,9320.1736075434,1.9767648717544593e-7,0.021041143125483365,1.0
49.0,49.0,1.2129753203484077e12,0.0,1.0,0.0,0.0,1.0,3.16432957813699,6.922744656972214e10,0.057072427791030084,2736.234942715926,3.952529059352404e-8,0.01803618314140074,1.0
50.0,50.0,1.7794613850307133e18,0.0,1.0,0.0,0.0,1.0,2.6522741008777313,4.4455354462061307e18,2.498247775199346,9486.335683747675,2.133901708475504e-15,0.9419266939162085,1.0
51.0,51.0,1.8125170529421665e18,0.0,1.0,0.0,0.0,1.0,2.6272907498641045,4.4456968110738836e18,2.4527751636087545,9962.231399542721,2.2408706267884892e-15,0.933575838051279,1.0
52.0,52.0,3.2341393599651743e18,0.0,1.0,0.0,0.0,1.0,3.2434394149141657,6.317150627712468e18,1.9532710018347776,16452.00133453904,2.6043389344503488e-15,0.6022221327314261,1.0
53.0,53.0,3.2853274408539044e18,0.0,1.0,0.0,0.0,1.0,3.304228643445894,6.305239137497595e18,1.91921178360802,12486.507551987532,1.980338458176725e-15,0.5808350422162445,1.0
54.0,54.0,8.090668763371663e18,0.0,1.0,0.0,0.0,1.0,2.8926965745488435,7.613352573234638e18,0.9410041117616935,20038.12669380014,2.6319714608050347e-15,0.3253034279644267,1.0
55.0,55.0,8.213524916263574e18,0.0,1.0,0.0,0.0,1.0,2.7479817454640987,7.580846787858063e18,0.9229711804790728,20072.950734176553,2.6478507343436327e-15,0.33587238416068693,1.0
56.0,56.0,1.0000000062441732e19,0.0,1.0,0.0,0.0,1.0,4.5700581213305105,6.350688987554493e18,0.6350688947899689,19918.548487809996,3.1364389795886034e-15,0.13896297988548933,1.0
57.0,57.0,1.0000000293179884e19,0.0,1.0,0.0,0.0,1.0,3.421210280927005,6.212679122172052e18,0.621267894002881,28538.828842953815,4.593642820068285e-15,0.18159301621020013,1.0
58.0,58.0,1.0000000731134163e19,0.0,1.0,0.0,0.0,1.0,2.603365596849657,4.41035573297382e18,0.44103554105176734,21352.87991991304,4.841532341772162e-15,0.1694097600373402,1.0
59.0,59.0,3.533728989364037e19,0.0,1.0,0.0,0.0,1.0,3.1904728505685207,9.445791345759607e18,0.2673037851569817,63383.56329548752,6.710243850976176e-15,0.08378187111335236,1.0
60.0,60.0,3.5881339995423605e19,0.0,1.0,0.0,0.0,1.0,3.4142499437349,9.404816555280388e18,0.26210884422041963,66776.27073315892,7.100220439245774e-15,0.0767690850230182,1.0
61.0,61.0,Inf,0.0,0.0,1.0,0.0,1.0,1.929337613082068,1.2444759616152396e13,3.06923998222327e-17,NaN,NaN,1.5908257639367932e-17,0.0
62.0,62.0,Inf,0.0,0.0,1.0,0.0,1.0,1.4258870738983593,1.3679217842403058e15,2.184723634071492e-17,NaN,NaN,1.5321855945425482e-17,0.0
63.0,63.0,Inf,0.0,0.0,1.0,0.0,1.0,2.6776469292770124,4.510067926497793e16,1.076479457861913e-16,NaN,NaN,4.0202442155156416e-17,0.0
