mode_rank,omega_num,freq_num_hz,m,n,omega_exact,freq_exact_hz,Omega_num,Omega_exact,rel_error_percent,abs_rel_error_percent,relative_residual,residual_within_tolerance,vector_norm,w_norm
79,195912.27846033525,31180.40752935821,8,7,159980.15804507784,25461.632949496787,647.4004168199134,528.6612039595478,22.460360618679193,22.460360618679193,4.385727757054075e-08,1,70.58229240780528,6.902512298915013
80,196116.13507585207,31212.852317399695,10,4,162647.17366624242,25886.10166890843,648.0740696348073,537.4744699701146,20.57764709658534,20.57764709658534,6.279803425613777e-08,1,1871275279.7120771,6.490233022698572
81,196116.13507924555,31212.852317939785,4,10,162647.17366624248,25886.10166890844,648.0740696460213,537.4744699701148,20.577647098671704,20.577647098671704,8.22171412986251e-08,1,1123679712.8560612,6.776530348804522
82,196116.13508422868,31212.852318732876,6,9,163528.447345442,26026.360731169825,648.0740696624882,540.3866761459094,19.927840242956364,19.927840242956364,1.5192994108504466e-07,1,2473330362.817162,5.664422811214952
83,196737.03243640283,31311.67120148406,9,6,163528.447345442,26026.360731169825,650.1258512443216,540.3866761459094,20.30752791336061,20.30752791336061,3.70160733057706e-08,1,52.95646408022007,5.190250901967469
84,197649.73702904748,31456.93264898613,11,1,167878.8765471823,26718.75304319812,653.141922204015,554.7628535896444,17.733535686068347,17.733535686068347,2.3619802473187958e-07,1,4356.388536550163,5.70991362757032
85,197954.9105949452,31505.502530499733,1,11,167878.87654718236,26718.753043198132,654.1503811700242,554.7628535896446,17.91531767804628,17.91531767804628,3.834079133840143e-08,1,46.05911629128669,4.490762322825299
86,198036.2341889577,31518.44558247682,11,2,170445.9290566148,27127.31213925076,654.4191184287338,563.2457872662168,16.187130596224797,16.187130596224797,4.3300855275887176e-08,1,811.7367612562139,5.439352439467424
87,198041.4610723389,31519.277466803902,10,5,170445.9290566149,27127.312139250775,654.4363908861123,563.2457872662171,16.19019718948988,16.19019718948988,1.341940673943877e-07,1,1512.575755024106,5.115804189115971
88,198054.01029621865,31521.274737816333,2,11,170445.92905661493,27127.31213925078,654.4778603276112,563.2457872662172,16.197559773007814,16.197559773007814,5.005200298934077e-08,1,179357.63854668217,6.922861937445414
89,198861.67623558687,31649.818764433745,5,10,170445.92905661496,27127.312139250786,657.1468266114376,563.2457872662173,16.671414410568524,16.671414410568524,8.886647096576254e-08,1,3215.6396891236345,7.1408392951666055
90,200113.9766703992,31849.128568870256,8,8,172981.9177757457,27530.927279525727,661.2851064061132,571.6260693328579,15.684910448170411,15.684910448170411,7.911513958714302e-08,1,5046.079654100667,6.066101840532303
91,200119.75287653407,31850.04788062894,3,11,174655.82908822704,27797.338539204575,661.3041941237832,577.1575801188926,14.579486937961839,14.579486937961839,2.591469946522734e-07,1,3628.122662022366,6.556138158036501
92,200526.33651007907,31914.757675687888,11,3,174655.82908822704,27797.338539204575,662.6477669508558,577.1575801188926,14.812278271447552,14.812278271447552,8.52616423660425e-08,1,2152.1534791864824,6.420632267566859
93,201785.2099933732,32115.11361328146,7,9,174655.82908822712,27797.338539204586,666.807767662466,577.157580118893,15.533052086937035,15.533052086937035,1.0394597419349603e-07,1,344.9823801051687,6.612390187054682
94,202002.89721218083,32149.759610202625,9,7,174655.82908822712,27797.338539204586,667.5271242913614,577.157580118893,15.657689907469036,15.657689907469036,5.144007713105963e-08,1,158.53620579749156,7.269407212959178
95,202097.6535677632,32164.84055258293,6,10,179600.33427219873,28584.28098037717,667.8402506792654,593.4969067921802,12.526323732487016,12.526323732487016,4.2925415560534216e-08,1,54.236995772468646,4.899883046185659
96,202879.50090883108,32289.275421657137,10,6,179600.33427219873,28584.28098037717,670.4238983121492,593.4969067921802,12.961649949576879,12.961649949576879,4.246323539608981e-08,1,59.892206745912205,5.52999863773647
97,203514.1947981712,32390.29009149584,4,11,180413.51370560334,28713.702506824182,672.5212711350324,596.184092650427,12.804296428849158,12.804296428849158,2.523847478970556e-07,1,1627.9116942357457,6.1342863238487135
98,203546.439179194,32395.42194412256,11,4,180413.51370560334,28713.702506824182,672.6278240569744,596.184092650427,12.822168915427643,12.822168915427643,1.3752270610789418e-07,1,1429.437299408548,6.596929291753114
99,203849.21136745316,32443.609634514753,8,9,186812.49085383755,29732.131350697735,673.6283475689305,617.3297834950499,9.11969024969812,9.11969024969812,4.7196819417893936e-08,1,1263.405374877107,5.414628745942766
100,203898.91773401535,32451.520648456262,12,1,186812.49085383755,29732.131350697735,673.7926043612248,617.3297834950499,9.146297874453293,9.146297874453293,8.422924253348926e-08,1,27090.257042064997,7.562467700499102
101,204504.60409700443,32547.918627089326,1,12,186812.49085383763,29732.131350697746,675.7941205854397,617.3297834950502,9.470519429564884,9.470519429564884,7.437106563456038e-08,1,741.4462253909746,6.477813983678196
102,207119.53403887147,32964.09765317647,9,8,186812.49085383763,29732.131350697746,684.4352672640657,617.3297834950502,10.870281260219421,10.870281260219421,4.6293177891424213e-08,1,1385.3606369629515,6.492399263290205
103,207248.46864521265,32984.61823311127,5,11,187599.50025331968,29857.3877868851,684.8613371283121,619.930489368465,10.473891649690174,10.473891649690174,3.5450823455569846e-08,1,1427.31874388108,4.9544185568731125
104,207273.39856026444,32988.58595232263,11,5,187599.50025331974,29857.38778688511,684.9437190878435,619.9304893684651,10.487180552388798,10.487180552388798,2.857071818138705e-07,1,2272.848403928352,7.091530132882529
