mode_rank,omega_num,freq_num_hz,m,n,omega_exact,freq_exact_hz,Omega_num,Omega_exact,rel_error_percent,abs_rel_error_percent,relative_residual,residual_within_tolerance,boundary_max_abs_w,vector_norm,w_norm
13,197823.83947587275,31484.64191400277,4,2,46181.48317046337,7350.01132589442,653.7172511090222,152.60866592377968,328.36181494144046,328.36181494144046,9.575154989710625e-08,1,5.675356647763517e-07,9742.092909844596,1.8164874561528483
14,198162.8441125039,31538.59617765369,4,3,55173.682376701785,8781.164278834282,654.8375062802841,182.32376882594457,259.1618967165081,259.1618967165081,9.932387527268129e-08,1,2.65787087644516e-07,4118.474765934068,2.3209944534316254
15,198187.8223953944,31542.57159484566,3,4,55173.68237670185,8781.164278834292,654.9200480733858,182.3237688259448,259.2071688133019,259.2071688133019,1.065955444778034e-07,1,2.540381176296491e-07,3607.639259837406,2.229060383805965
16,198197.16416883573,31544.05838426609,1,5,56894.84205927859,9055.095350166857,654.9509183591447,188.01141385090637,248.35699862271275,248.35699862271275,2.2467381169976814e-07,1,6.694352508473285e-07,8566.32767518806,1.999994291416401
17,199151.1072240988,31695.8831369394,5,1,56894.84205927866,9055.095350166868,658.1032635641178,188.0114138509066,250.03367619265657,250.03367619265657,3.432494561592401e-07,1,1.196827452255463e-07,3087.8393888396818,1.999999133561742
18,200840.53956298315,31964.76464469214,2,5,61920.728574696885,9854.99003251458,663.6860642388809,204.61966857869848,224.35106011503564,224.35106011503564,6.25864029349477e-08,1,8.096641309662609e-08,1237.105601265013,2.884831009973438
19,201211.00731046184,32023.72641795949,5,2,61920.728574696885,9854.99003251458,664.9102905917208,204.61966857869848,224.94935370105475,224.94935370105475,4.75260936445314e-08,1,2.346378208879207e-07,3804.168634351377,1.4421656925608095
20,201212.02907436385,32023.88903673517,4,4,66756.69035149952,10624.657253896185,664.9136670537846,220.60030896853021,201.41103163578887,201.41103163578887,1.6668348750447713e-07,1,2.2195277083565014e-07,3297.074136271255,1.4170563261630431
21,203761.3839836324,32429.63147224085,3,5,69884.34945913962,11122.439661183493,673.3381182615046,230.93579087844404,191.5694079727662,191.5694079727662,3.1523343376491613e-07,1,4.166784952093828e-07,12363.553340420056,1.999998460409764
22,206253.80429888843,32826.312485676506,5,3,69884.34945913962,11122.439661183493,681.5744266933616,230.93579087844404,195.13590080634876,195.13590080634876,7.914737458469049e-08,1,1.378960327574582e-07,5647.455138421421,2.3118224162007643
23,206362.0220896112,32843.53588200052,6,1,74443.24920110803,11848.011090178132,681.9320369634878,246.0008680465813,177.2071669415252,177.2071669415252,1.357560155827959e-07,1,1.0879657815568253e-07,2994.856121212774,2.317389034283902
24,206409.8044885571,32851.14068698555,1,6,74443.24920110813,11848.011090178148,682.0899359233557,246.00086804658164,177.27135328408602,177.27135328408602,4.028188855093395e-08,1,1.210561710740489e-07,1625.7716269142552,1.567647813050166
25,207235.3815624153,32982.535359193425,2,6,78855.43433539786,12550.232164136936,684.8180903092534,260.58112058345426,162.80418503685578,162.80418503685578,7.375306366646277e-08,1,6.553174057864268e-06,94937.6026524018,1.9999918943328847
26,208301.127556202,33152.15410218496,6,2,78855.43433539795,12550.23216413695,688.339893057014,260.58112058345455,164.155703803785,164.155703803785,1.1372872241053648e-07,1,1.5013659123120433e-08,1583.4676288471348,1.862813298078388
27,210962.82564269347,33575.77650966832,5,4,80295.71783734502,12779.460402925532,697.135587049171,265.340598380494,162.73234902767882,162.73234902767882,1.9449776252019493e-08,1,4.671779640140176e-08,617.8856295415303,1.6456328121398154
28,211053.0045130874,33590.12892265395,4,5,80295.71783734512,12779.460402925548,697.4335869435124,265.3405983804943,162.84465747054787,162.84465747054787,4.4196899526256256e-08,1,4.5032478297726505e-08,596.245775577768,1.5786879509103486
29,213200.8711454741,33931.97251430045,3,6,85915.4831162536,13673.873826080036,704.5313031459315,283.91135062016076,148.1518620537682,148.1518620537682,1.2374403010029752e-07,1,2.8592492499856537e-07,30325.592132088863,1.9999946596084344
30,213870.31322947907,34038.51753108357,6,3,85915.4831162536,13673.873826080036,706.7435028489192,283.91135062016076,148.93104883096308,148.93104883096308,3.205132146229364e-08,1,4.166750123505836e-08,2307.6195631681253,2.079738963847849
31,214031.87006678543,34064.23010033117,1,7,92648.6154110613,14745.485113290359,707.2773742562359,306.16127129087903,131.01464508365683,131.01464508365683,3.3847902274490855e-08,1,5.150733806380204e-08,1923.9937302010887,2.1796781813064405
32,214929.70711503064,34207.125304650435,5,5,92648.6154110613,14745.485113290359,710.2443147861425,306.16127129087903,131.98372275876474,131.98372275876474,1.6291057964277577e-07,1,3.382188723472967e-07,11493.30262320935,1.999999293151808
33,216496.8528731349,34456.54429859822,7,1,92648.6154110613,14745.485113290359,715.423014278526,306.16127129087903,133.67521674510354,133.67521674510354,3.7311267116410343e-08,1,7.699476936013484e-08,1560.4498639043377,1.813115764162584
34,216521.6624156624,34460.49285992732,6,4,95259.16266436674,15160.96661282889,715.5049984619558,314.78793518964125,127.29746552418091,127.29746552418091,4.0290672015004144e-08,1,4.4496184494135214e-08,648.9412241150168,1.9220417802230123
35,216621.47811388547,34476.37902169769,4,6,95259.16266436681,15160.9666128289,715.8348436617698,314.7879351896415,127.40224882841231,127.40224882841231,3.6363510325377e-08,1,8.905339587448625e-08,1715.9086584614158,2.403559500157376
36,218939.11874232447,34845.24298402437,7,2,96547.8184360837,15366.062548841546,723.4935852204004,319.04635273398037,126.76754616394146,126.76754616394146,1.653601364579485e-07,1,3.551618131461776e-08,1980.227659198638,1.4742430214118365
37,225324.16313365227,35861.45436076537,2,7,96547.81843608378,15366.062548841557,744.5932346800752,319.04635273398065,133.38089537757966,133.38089537757966,1.3057849184886746e-07,1,8.05026905617569e-08,8613.148820004086,1.605630528527065
38,225335.91127260524,35863.324135151866,7,3,102834.68041805105,16366.64770980816,744.6320569025248,339.8215542660221,119.12443385495362,119.12443385495362,3.195257953588536e-08,1,1.0684987778795197e-07,2324.89845456258,1.999999824466845
39,225384.4337203693,35871.04672256443,3,7,102834.68041805121,16366.647709808185,744.7924013850375,339.8215542660226,119.17161876141367,119.17161876141367,1.0569039706994629e-07,1,1.2044019427330336e-07,5232.15878989443,2.050658388818596
40,228149.81079156365,36311.170152958,6,5,106489.6197884536,16948.349377308903,753.9307069707075,351.8994561231493,114.24605632435674,114.24605632435674,5.968812603381577e-08,1,4.871360782821041e-08,1748.032200331685,1.79416882657799
41,231412.67411735115,36830.47097989034,5,6,106489.61978845367,16948.349377308914,764.7129769424639,351.89945612314955,117.31007639717623,117.31007639717623,1.7172526031584034e-08,1,4.1561130281195416e-08,876.2680446701681,1.7244356170842492
42,231984.45290144268,36921.47239973358,1,8,111237.22265879717,17703.953841961353,766.6024441369593,367.58811076649846,108.54930333258932,108.54930333258932,5.46388584207206e-08,1,2.697634774307333e-08,499.6781787677949,1.706106431886478
