ndiv,lambda_numeric,lambda_exact
9,4.2049515165756138e+12,428.171598
9,4.2249572511160010e+12,429.410494
9,4.2386558425391245e+12,431.173010
9,4.2468500244812173e+12,432.640000
9,4.2514270700904043e+12,436.590028
9,4.2537226509798076e+12,443.002268
9,4.2631768327333901e+12,443.628906
9,4.2631771645852476e+12,447.020408
9,5.3613677868988477e+12,449.036281
9,5.3739577117679922e+12,449.440000
9,5.4011866676105820e+12,451.562500
9,5.4267029362426357e+12,453.081633
9,5.4362795000667891e+12,459.183673
9,5.4442250604532734e+12,464.641975
9,5.4547524598188838e+12,465.650970
9,5.4606659028715391e+12,469.444444
9,5.4636474970117314e+12,473.580499
9,5.4754907067485381e+12,473.702422
9,5.4754907353372490e+12,475.240000
9,7.7082121689594854e+12,484.000000
9,7.7261792121979590e+12,486.002066
9,7.7650685156337246e+12,487.673611
9,7.8015515189974443e+12,488.410000
9,7.8266576371242734e+12,492.033058
9,7.8417876752284912e+12,492.417234
9,7.8503165689384346e+12,495.062500
9,7.8546311244735078e+12,497.633136
9,7.8713213340183828e+12,500.346260
9,7.8713214161522676e+12,502.167355
9,1.2032559745113580e+13,503.753086
9,1.2060556610876301e+13,504.002500
9,1.2121095080021375e+13,506.250000
9,1.2177900872689379e+13,512.698980
9,1.2217035927085920e+13,513.777778
9,1.2240661626220004e+13,515.938776
9,1.2254004499132096e+13,516.528926
9,1.2260765394573918e+13,523.602076
9,1.2286508444290555e+13,531.001890
9,1.2286508479552525e+13,532.071111
9,2.0378712973189379e+13,534.765625
9,2.0426128081898047e+13,535.291322
9,2.0528622059423188e+13,537.030246
9,2.0624767138668566e+13,538.240000
9,2.0691039314689992e+13,541.174515
9,2.0731093541622277e+13,544.444444
9,2.0753744042291383e+13,547.153119
9,2.0765234312914891e+13,554.864198
9,2.0808510859472449e+13,555.191406
9,2.0808510878498660e+13,558.677686
9,3.8781280906523508e+13,561.483932
9,3.8871683618287547e+13,576.000000
9,3.9066909660870758e+13,578.001736
9,3.9249927924294047e+13,578.287982
9,3.9376092233157734e+13,578.402500
9,3.9452395510421383e+13,579.698225
9,3.9495581027349234e+13,580.181474
9,3.9517504910868023e+13,580.371901
9,3.9599509264473453e+13,581.660900
9,3.9599509314124031e+13,584.027778
9,9.1762711874413031e+13,586.960744
9,9.1976957117008031e+13,588.062500
9,9.2439346339055125e+13,588.700831
9,9.2872579354959469e+13,589.795918
9,9.3171221204683406e+13,589.795918
9,9.3351915222613422e+13,592.111111
9,9.3454244536880875e+13,594.140625
9,9.3506223111522141e+13,595.360000
9,9.3699722057454094e+13,603.449905
9,9.3699722287896047e+13,605.160000
9,3.7846023570283956e+14,608.444444
9,3.7934513167090356e+14,611.188272
9,3.8125370587269656e+14,617.877551
9,3.8304119154653512e+14,620.462810
9,3.8427324416586900e+14,625.000000
9,3.8501884240141231e+14,625.000000
9,3.8544121131578000e+14,625.000000
9,3.8565581655524194e+14,625.000000
9,3.8645282920577575e+14,627.001600
9,3.8645283047264425e+14,627.085069
9,2.8532531536991575e+24,631.538752
9,4.0915556459879795e+25,633.025600
9,1.0290971682705025e+26,643.129600
9,3.8601193429288254e+26,643.556787
9,5.2789181762913219e+27,648.750865
9,1.2862303268809995e+28,650.250000
9,1.3756198073811867e+28,657.409600
9,3.4104281709738056e+28,659.555785
9,6.7016680778773420e+28,663.675737
9,7.0307315974539786e+28,664.742911
9,1.0335049697587425e+29,676.000000
9,1.1047534379889845e+29,676.000000
9,1.5646683522046081e+29,676.000000
9,2.5120662572381427e+29,676.000000
9,8.1272165030471886e+29,676.000000
9,Inf,678.001479
9,Inf,678.168403
9,Inf,678.602500
9,Inf,679.719388
9,Inf,680.340278
9,Inf,684.023669
9,Inf,684.694444
9,Inf,689.937778
9,Inf,694.119822
9,Inf,695.041322
9,Inf,699.073600
9,Inf,702.250000
9,Inf,703.402647
9,Inf,704.661157
9,Inf,705.566406
9,Inf,706.440443
9,Inf,708.378698
9,Inf,711.111111
9,Inf,716.199546
9,Inf,723.610000
9,Inf,725.826990
9,Inf,726.841600
9,Inf,726.924556
9,Inf,731.001372
9,Inf,737.021948
9,Inf,739.840000
9,Inf,747.111111
9,Inf,747.903592
9,Inf,749.390625
9,Inf,749.917160
9,Inf,750.151235
9,Inf,756.250000
9,Inf,759.553600
9,Inf,760.183673
9,Inf,761.351166
9,Inf,771.604938
9,Inf,776.020408
9,Inf,777.551775
9,Inf,778.116343
9,Inf,779.857339
9,Inf,784.000000
9,Inf,786.001276
9,Inf,787.737778
9,Inf,788.313609
9,Inf,792.020408
9,Inf,793.361111
9,Inf,797.497600
9,Inf,798.062500
9,Inf,798.676749
10,-Inf,4.000000
10,-Inf,6.250000
10,-Inf,11.111111
10,-Inf,16.000000
10,-Inf,18.062500
10,-Inf,18.777778
10,-Inf,25.000000
10,-Inf,25.000000
10,-Inf,27.040000
10,-Inf,33.640000
10,-Inf,36.000000
10,-Inf,38.027778
10,-Inf,39.062500
10,-Inf,42.250000
10,-Inf,44.444444
10,-Inf,46.240000
10,-Inf,51.020408
10,-Inf,56.250000
10,-Inf,57.326531
10,-Inf,64.000000
10,-Inf,66.015625
10,-Inf,67.240000
10,-Inf,68.653061
10,-Inf,69.444444
10,-Inf,72.250000
10,-Inf,75.111111
10,-Inf,83.012346
10,-Inf,83.265625
10,-Inf,86.224490
10,-Inf,89.197531
10,-Inf,100.000000
10,-Inf,100.000000
10,-Inf,100.000000
10,-Inf,100.000000
10,-Inf,100.000000
10,-Inf,102.010000
10,-Inf,103.361111
10,-Inf,105.062500
10,-Inf,108.160000
10,-Inf,111.755102
10,-Inf,116.160494
10,-Inf,118.810000
10,-Inf,123.008264
10,-Inf,123.765625
10,-Inf,128.444444
10,-Inf,129.132231
10,-Inf,134.560000
10,-Inf,138.716049
10,-Inf,139.669421
10,-Inf,144.000000
10,-Inf,146.006944
10,-Inf,147.448980
10,-Inf,148.840000
10,-Inf,152.111111
10,-2.2104155916769117e+30,155.115702
10,-5.0897049040476714e+28,156.250000
10,-3.4905690666848072e+28,156.250000
10,-3.1206080888694496e+28,162.562500
10,-1.7690944808408753e+28,169.000000
10,-1.2874193030284475e+28,169.000000
10,-8.3776045668059278e+27,171.005917
10,-3.2044566527766894e+27,176.165289
10,-9.8618523123742500e+26,177.094675
10,-3.5443296003965126e+26,177.777778
10,-1.7587017886172707e+25,184.960000
10,-2.9416985832939386e+21,187.479290
10,7.2470294507572046e-05,196.000000
10,2.9943992000121826e+08,198.005102
10,1.0142618976601013e+09,198.340278
10,1.5841568432469089e+09,199.515625
10,2.1276607177293737e+09,200.694444
10,2.4695693857672310e+09,202.514793
10,3.3856322964451847e+09,203.710744
10,4.5516474022510786e+09,204.081633
10,4.9966528557589245e+09,208.641975
10,6.9385954781217356e+09,210.250000
10,7.1688523268981047e+09,214.413265
10,7.9567066864908314e+09,219.040000
10,9.6504408104813499e+09,222.010000
10,9.7233580169390945e+09,222.698225
10,1.0220403486131207e+10,225.000000
10,1.0281462843726025e+10,225.000000
10,1.3303998741693556e+10,227.004444
10,1.3563714476580147e+10,229.306122
10,1.5015297345542368e+10,233.071111
10,1.6303364357565880e+10,238.842975
10,1.7684018294720726e+10,243.360000
10,1.8934479206154194e+10,248.668639
10,2.0240000697960125e+10,249.188776
10,2.0704452632502865e+10,256.000000
10,2.2112447457947647e+10,258.003906
10,2.3217985401052914e+10,258.137778
10,2.3997248273554012e+10,258.673611
10,2.5813713682140591e+10,259.567901
10,2.6522753867338066e+10,260.591837
10,2.8506634859812687e+10,264.062500
10,3.0432521025005188e+10,264.062500
10,3.2316748064938793e+10,268.960000
10,3.4037097850752308e+10,274.316406
10,3.4499594036373711e+10,274.612245
10,3.6266695160183449e+10,277.777778
10,3.7313078111885117e+10,277.777778
10,3.7589211059845848e+10,281.207101
10,3.7709056401416832e+10,282.851240
10,4.0463986465013344e+10,289.000000
10,4.1113635628283928e+10,289.000000
10,4.3028715632706116e+10,291.003460
10,4.4389136951482780e+10,297.055363
10,4.6682177578796227e+10,300.444444
10,4.8242871999834404e+10,302.760000
10,4.9869238816687302e+10,306.250000
10,4.9904716857186829e+10,307.280277
10,5.3293019568843002e+10,308.441406
10,5.3334516021440498e+10,316.840000
10,5.5161482982490181e+10,321.236686
10,5.5541331885965797e+10,321.885813
10,5.8224334616827271e+10,324.000000
10,5.9556120797178528e+10,326.003086
10,6.0240259795494576e+10,327.610000
10,6.0325044977654434e+10,328.515625
10,6.1198255196963303e+10,332.049383
10,6.3281643583184532e+10,333.062500
10,6.3915682416892120e+10,333.671111
10,6.6297255525172264e+10,337.223140
10,6.6529305698956406e+10,341.162630
10,6.9557757036298767e+10,342.250000
10,7.0293197848641418e+10,344.897959
10,7.1853473976357040e+10,344.897959
10,7.4614135484458923e+10,351.562500
10,7.6971002227814926e+10,356.790123
10,7.8808645714287613e+10,363.002770
10,8.1693271091024475e+10,363.378906
10,8.1927886097618958e+10,365.484429
10,8.3644074683622345e+10,369.044321
10,8.3897629614949448e+10,369.822485
10,9.0165759017681549e+10,371.204444
10,9.0797426282966965e+10,373.777778
10,9.3082273423524551e+10,375.929012
10,9.5606542199177155e+10,379.224377
10,9.5752136882535461e+10,380.250000
10,9.9794087370181168e+10,391.474490
10,1.0166920768811267e+11,393.709141
10,1.0428059660543666e+11,395.307958
10,1.0934767409042867e+11,400.000000
10,1.1689114365192290e+11,400.000000
10,1.2055066858301053e+11,400.000000
10,1.2176024623303320e+11,400.000000
10,1.2325029144806090e+11,400.000000
10,1.2930343261569388e+11,402.002500
10,1.3407148133751375e+11,403.644628
10,1.3935754493560098e+11,404.456790
10,1.4998011854364453e+11,408.040000
10,1.5129789155151422e+11,412.731302
10,1.6751143803268817e+11,413.444444
10,1.6836429421997717e+11,416.160000
10,1.8005749894745609e+11,418.202500
10,1.9627783596976224e+11,420.250000
10,2.0788489203436615e+11,428.171598
10,2.3912358613315295e+11,429.410494
10,2.4621795167440512e+11,431.173010
10,2.7962372900572577e+11,432.640000
10,3.0218398465901837e+11,436.590028
10,3.3568991995191266e+11,443.002268
10,3.6946877671670526e+11,443.628906
10,3.9600571445505164e+11,447.020408
10,4.3769578748238123e+11,449.036281
10,4.6306493583511188e+11,449.440000
10,5.5027389708136133e+11,451.562500
10,7.2928167966706982e+11,453.081633
10,7.5848428554850671e+11,459.183673
10,7.8777003239311475e+11,464.641975
10,1.2404837128585449e+12,465.650970
10,1.5787051542543071e+12,469.444444
10,1.6910284917812112e+12,473.580499
10,2.9791816616567568e+12,473.702422
10,3.0567765567765034e+12,475.240000
10,3.0642842744038584e+12,484.000000
10,3.0813856369066855e+12,486.002066
10,3.0988097085383896e+12,487.673611
10,3.1118805626691289e+12,488.410000
10,3.1203757968454502e+12,492.033058
10,3.1255411429901787e+12,492.417234
10,3.1285274535574146e+12,495.062500
10,3.1300692812342388e+12,497.633136
10,3.1388444190734111e+12,500.346260
10,3.1388444233871475e+12,502.167355
10,3.2948432636862993e+12,503.753086
10,3.3028873640594106e+12,504.002500
10,3.3212318262061724e+12,506.250000
10,3.3399412443993462e+12,512.698980
